protein_class	platemap	protein_class_False_in_other_platemaps	protein_class_False_in_platemap	protein_class_True_in_other_platemaps	protein_class_True_in_platemap	odds_ratio	pvalue	adjusted_pvalue
Transporters	platemap_29	6365	146	54	1	0.8073313039066464	1.0	1.0
G-protein coupled receptors	platemap_1	5970	359	237	0	0.0	2.7578138222600985e-06	3.860939351164138e-06
G-protein coupled receptors	platemap_2	5975	359	232	0	0.0	2.6201533438181446e-06	3.860939351164138e-06
G-protein coupled receptors	platemap_3	5965	359	242	0	0.0	1.7526413306391335e-06	3.860939351164138e-06
G-protein coupled receptors	platemap_4	5971	359	236	0	0.0	2.6996940965014693e-06	3.860939351164138e-06
G-protein coupled receptors	platemap_5	5965	359	242	0	0.0	1.7526413306391335e-06	3.860939351164138e-06
G-protein coupled receptors	platemap_6	5972	359	235	0	0.0	2.6574316524132824e-06	3.860939351164138e-06
G-protein coupled receptors	platemap_7	5959	359	248	0	0.0	1.1447188242798454e-06	3.860939351164138e-06
G-protein coupled receptors	platemap_8	5973	359	234	0	0.0	2.6304243387233164e-06	3.860939351164138e-06
G-protein coupled receptors	platemap_9	5970	358	237	1	0.07036277490983664	3.140685701814151e-05	3.823443463078097e-05
G-protein coupled receptors	platemap_10	5963	359	244	0	0.0	1.8170585119598098e-06	3.860939351164138e-06
G-protein coupled receptors	platemap_11	5974	359	233	0	0.0	2.6181479527922336e-06	3.860939351164138e-06
G-protein coupled receptors	platemap_12	6079	359	128	0	0.0	0.0012493299435415153	0.0013454322468908625
G-protein coupled receptors	platemap_13	5921	359	286	0	0.0	1.4655460756114613e-07	5.862184302445845e-07
G-protein coupled receptors	platemap_14	5925	359	282	0	0.0	1.41465757128872e-07	5.862184302445845e-07
G-protein coupled receptors	platemap_15	6114	138	93	221	105.28237494156147	7.326898427332642e-236	2.0515315596531397e-234
G-protein coupled receptors	platemap_16	6013	282	194	77	8.46313153469328	2.5452978644419916e-36	3.5634170102187884e-35
G-protein coupled receptors	platemap_17	5902	357	305	2	0.10840795334527253	7.627730711023798e-06	9.70802090493938e-06
G-protein coupled receptors	platemap_18	5901	359	306	0	0.0	4.0606326881596396e-08	2.8424428817117477e-07
G-protein coupled receptors	platemap_19	5921	359	286	0	0.0	1.4655460756114613e-07	5.862184302445845e-07
G-protein coupled receptors	platemap_20	5968	359	239	0	0.0	1.7309396484732215e-06	3.860939351164138e-06
G-protein coupled receptors	platemap_21	5988	358	219	1	0.07637560266319737	0.00010616046783723575	0.00012385387914344172
G-protein coupled receptors	platemap_22	5974	359	233	0	0.0	2.6181479527922336e-06	3.860939351164138e-06
G-protein coupled receptors	platemap_23	5972	359	235	0	0.0	2.6574316524132824e-06	3.860939351164138e-06
G-protein coupled receptors	platemap_24	5981	359	226	0	0.0	3.963151164205136e-06	5.2842015522735144e-06
G-protein coupled receptors	platemap_25	6012	358	195	1	0.08611946712505372	0.0003297778084091396	0.00036935114541823634
G-protein coupled receptors	platemap_26	5999	304	208	55	5.218006705465587	6.809985503934673e-19	6.355986470339029e-18
G-protein coupled receptors	platemap_27	6109	359	98	0	0.0	0.006331739795493925	0.006566248676808515
G-protein coupled receptors	platemap_29	6153	358	54	1	0.31828057107386715	0.3689221513910769	0.3689221513910769
Transcription factors	platemap_1	5328	1001	236	1	0.022553717468971706	2.9840319466875863e-16	4.641827472625134e-16
Transcription factors	platemap_2	5333	1001	231	1	0.023063516570010077	7.267677960322849e-16	9.690237280430466e-16
Transcription factors	platemap_3	5323	1001	241	1	0.022065071857602977	1.228207241049663e-16	2.1493626718369101e-16
Transcription factors	platemap_4	5329	1001	235	1	0.022653941802877973	5.045265557448517e-16	7.063371780427924e-16
Transcription factors	platemap_5	5323	1001	241	1	0.022065071857602977	1.228207241049663e-16	2.1493626718369101e-16
Transcription factors	platemap_6	5330	1001	234	1	0.022755022755022756	4.718882214933899e-16	6.954142211481535e-16
Transcription factors	platemap_7	5319	999	245	3	0.06519580805295092	1.9618292925070675e-14	2.496873645008995e-14
Transcription factors	platemap_8	5330	1002	234	0	0.0	1.0300993745761398e-17	2.2186755760101473e-17
Transcription factors	platemap_9	5326	1002	238	0	0.0	6.839777260833902e-18	1.5959480275279104e-17
Transcription factors	platemap_10	5321	1001	243	1	0.02187524409746632	1.3442460208392319e-16	2.2140522696175584e-16
Transcription factors	platemap_11	5331	1002	233	0	0.0	1.7200859112213953e-17	3.4401718224427906e-17
Transcription factors	platemap_12	5436	1002	128	0	0.0	9.290631705724387e-10	1.083907032334512e-09
Transcription factors	platemap_13	5278	1002	286	0	0.0	1.1757890965701736e-21	4.115261837995608e-21
Transcription factors	platemap_14	5282	1002	282	0	0.0	2.92337636145943e-21	8.185453812086404e-21
Transcription factors	platemap_15	5250	1002	314	0	0.0	1.2111832633966276e-23	5.652188562517596e-23
Transcription factors	platemap_16	5293	1002	271	0	0.0	1.7970039891480846e-20	4.574191972376943e-20
Transcription factors	platemap_17	5258	1001	306	1	0.01716584069525246	2.738684688217817e-21	8.185453812086404e-21
Transcription factors	platemap_18	5258	1002	306	0	0.0	4.791015336975242e-23	1.9164061347900969e-22
Transcription factors	platemap_19	5330	950	234	52	1.246783625730994	0.17794907143046124	0.1916374615404967
Transcription factors	platemap_20	5527	800	37	202	37.71804054054054	2.5830402789189677e-132	7.23251278097311e-131
Transcription factors	platemap_21	5530	816	34	186	37.07396193771626	2.0713566701568886e-121	2.899899338219644e-120
Transcription factors	platemap_22	5522	811	42	191	30.964182960483825	8.953449548635807e-120	8.356552912060086e-119
Transcription factors	platemap_23	5519	812	45	190	28.6975916803503	5.723457822018368e-117	4.0064204754128576e-116
Transcription factors	platemap_24	5447	893	117	109	5.6825930073410476	7.815505509296187e-33	4.376683085205865e-32
Transcription factors	platemap_25	5370	1000	194	2	0.05536082474226804	5.26684072875069e-12	6.411806104566057e-12
Transcription factors	platemap_26	5347	956	217	46	1.1856333031255424	0.294446916758926	0.3053523581203677
Transcription factors	platemap_27	5470	998	94	4	0.2332324222913913	0.0009198923184158428	0.0010302793966257438
Transcription factors	platemap_29	5518	993	46	9	1.087219230264022	0.8501016786930972	0.8501016786930972
Predicted secreted proteins	platemap_1	6064	265	217	20	2.1090339970437353	0.004836998550570108	0.007524219967553501
Predicted secreted proteins	platemap_2	6069	265	212	20	2.160555357778569	0.002823315769184125	0.005142227353278184
Predicted secreted proteins	platemap_3	6063	261	218	24	2.5574185384372035	0.00013508562434316662	0.0006303995802681109
Predicted secreted proteins	platemap_4	6074	256	207	29	3.3240111714975846	2.8843510390695315e-07	8.076182909394689e-06
Predicted secreted proteins	platemap_5	6058	266	223	19	1.940422805893658	0.014282424038865107	0.01999539365441115
Predicted secreted proteins	platemap_6	6067	264	214	21	2.2551508071367885	0.0015407379364345798	0.0030814758728691595
Predicted secreted proteins	platemap_7	6044	274	237	11	1.0238073239089593	0.8738452696345168	0.8738452696345168
Predicted secreted proteins	platemap_8	6068	264	213	21	2.2661118224498504	0.0014875544042103712	0.0030814758728691595
Predicted secreted proteins	platemap_9	6062	266	219	19	1.9771689497716896	0.008861204565318394	0.013058617254153422
Predicted secreted proteins	platemap_10	6060	262	221	23	2.407170736762115	0.0005464829068265627	0.0015301521391143755
Predicted secreted proteins	platemap_11	6068	265	213	20	2.1500575781734432	0.0029384156304446763	0.005142227353278184
Predicted secreted proteins	platemap_12	6163	275	118	10	1.8992295839753466	0.0732285294701027	0.08914777500708154
Predicted secreted proteins	platemap_13	5997	283	284	2	0.14923107549892997	0.0004985913839640557	0.0015301521391143755
Predicted secreted proteins	platemap_14	6000	284	281	1	0.07518420129316826	7.0485333547353e-05	0.0004933973348314711
Predicted secreted proteins	platemap_15	5967	285	314	0	0.0	1.181299459027687e-06	1.653819242638762e-05
Predicted secreted proteins	platemap_16	6011	284	270	1	0.07839071465832029	0.00010409257868209724	0.0005829184406197446
Predicted secreted proteins	platemap_17	5980	279	301	6	0.4272496695602472	0.03105152128175502	0.04140202837567336
Predicted secreted proteins	platemap_18	5992	268	289	17	1.3151887620719929	0.3118951396345694	0.33588707345261315
Predicted secreted proteins	platemap_19	6005	275	276	10	0.7911725955204216	0.5545442161366615	0.5750828908083897
Predicted secreted proteins	platemap_20	6043	284	238	1	0.08940407148775004	0.0005037360744268712	0.0015301521391143755
Predicted secreted proteins	platemap_21	6062	284	219	1	0.09746607498874525	0.0010788154863978928	0.0025172361349284165
Predicted secreted proteins	platemap_22	6050	283	231	2	0.1850917045263335	0.004534338657630847	0.007468322494921396
Predicted secreted proteins	platemap_23	6046	285	235	0	0.0	5.0492447628074774e-05	0.0004712628445286979
Predicted secreted proteins	platemap_24	6056	284	225	1	0.09477308294209702	0.0007244591563838776	0.0018440778526135067
Predicted secreted proteins	platemap_25	6085	285	196	0	0.0	0.0002520831216411264	0.0010083324865645055
Predicted secreted proteins	platemap_26	6023	280	258	5	0.41687430786268	0.04422147955546904	0.056281883070596964
Predicted secreted proteins	platemap_27	6184	284	97	1	0.22448090605488602	0.13089385981985074	0.1527095031231592
Predicted secreted proteins	platemap_29	6226	285	55	0	0.0	0.17515100032019143	0.1961691203586144
Predicted membrane proteins	platemap_1	5092	1237	168	69	1.6906686684374639	0.0006301246330469405	0.000928604722384965
Predicted membrane proteins	platemap_2	5076	1258	184	48	1.0526024745973594	0.7380818671280447	0.7380818671280447
Predicted membrane proteins	platemap_3	5080	1244	180	62	1.406573776348696	0.026543788053733326	0.029729042620181324
Predicted membrane proteins	platemap_4	5092	1238	168	68	1.6648203707977536	0.0008408289042627364	0.001177160465967831
Predicted membrane proteins	platemap_5	5090	1234	170	72	1.7469730193536086	0.0002019248066979725	0.0003769263058362153
Predicted membrane proteins	platemap_6	5095	1236	165	70	1.7487986662743944	0.00022940701673891513	0.0004014622792931015
Predicted membrane proteins	platemap_7	5078	1240	182	66	1.4850584898971997	0.009252340914209388	0.011263719373820126
Predicted membrane proteins	platemap_8	5085	1247	175	59	1.3747966548287318	0.04493026995113682	0.048386444562762726
Predicted membrane proteins	platemap_9	5092	1236	168	70	1.7165587918015102	0.00034842909877498757	0.0005738832215117442
Predicted membrane proteins	platemap_10	5083	1239	177	67	1.5529244925970005	0.004074860203378709	0.005186185713391084
Predicted membrane proteins	platemap_11	5093	1240	167	66	1.6232277380722426	0.00188736122627764	0.0025164816350368535
Predicted membrane proteins	platemap_12	5168	1270	92	36	1.5923313933584389	0.024658753322278883	0.0287685455426587
Predicted membrane proteins	platemap_13	4981	1299	279	7	0.09620579381437609	2.181948311198504e-19	2.0364850904519372e-18
Predicted membrane proteins	platemap_14	4981	1303	279	3	0.04110448179965175	1.8101129279060337e-23	2.534158099068447e-22
Predicted membrane proteins	platemap_15	4960	1292	300	14	0.17915376676986583	1.0746039631946404e-15	7.522227742362483e-15
Predicted membrane proteins	platemap_16	4999	1296	261	10	0.14778747457546948	2.656157178866192e-15	1.4874480201650674e-14
Predicted membrane proteins	platemap_17	5233	1026	27	280	52.89293191827305	5.365121472846382e-172	1.5022340123969871e-170
Predicted membrane proteins	platemap_18	5045	1215	215	91	1.7574696143171595	2.5900693984845223e-05	5.5786110121205094e-05
Predicted membrane proteins	platemap_19	4993	1287	267	19	0.27607390528738845	2.7156245823460884e-10	8.448609811743385e-10
Predicted membrane proteins	platemap_20	5031	1296	229	10	0.16951722464822902	1.1954733106001986e-12	4.7818932424007945e-12
Predicted membrane proteins	platemap_21	5054	1292	206	14	0.2658480868075386	1.4466133675541229e-08	4.050517429151544e-08
Predicted membrane proteins	platemap_22	5034	1299	226	7	0.12003106542132477	1.620866429421814e-14	7.564043337301799e-14
Predicted membrane proteins	platemap_23	5037	1294	223	12	0.20946624988737256	6.321835920195509e-11	2.2126425720684283e-10
Predicted membrane proteins	platemap_24	5051	1289	209	17	0.3187330410800257	2.549473677183526e-07	6.489569360103521e-07
Predicted membrane proteins	platemap_25	5081	1289	179	17	0.37436235269643003	2.3911655935032752e-05	5.5786110121205094e-05
Predicted membrane proteins	platemap_26	5028	1275	232	31	0.5269371196754564	0.0004956531633398548	0.0007710160318619962
Predicted membrane proteins	platemap_27	5167	1301	93	5	0.2135247493656658	5.4924004488608986e-05	0.00010984800897721797
Predicted membrane proteins	platemap_29	5221	1290	39	16	1.6604253627509442	0.09070428830482052	0.09406370639018424
