Symbol	Homologue
ACBD5	True
ACBD6	True
ACBD7	True
ACCS	True
ACCSL	True
ACD	True
ACE	True
ACE2	True
ACER1	True
ACER2	True
ACER3	True
ACHE	True
ACIN1	True
ACKR2	True
ACKR3	True
ACKR4	True
ACLY	True
ACMSD	True
ACN9	True
ACO1	True
ACO2	True
ACOT1	False
ACOT11	True
ACOT12	True
ACOT13	True
ACOT2	True
ACOT4	True
ACOT6	True
ACOT7	True
ACOT8	True
ACOT9	True
ACOX1	True
ACOX2	True
ACOX3	True
ACOXL	True
ACP1	True
ACP2	True
ACP5	True
ACP6	True
ACPL2	True
ACPP	True
ACPT	True
ACR	True
ACRBP	True
ACRV1	True
ACSBG1	True
ACSBG2	True
ACSF2	True
ACSF3	True
ACSL1	True
ACSL3	True
ACSL4	True
ACSL5	True
ACSL6	True
ACSM1	True
ACSM2A	True
ACSM2B	True
ACSM3	True
ACSM4	True
ACSM5	True
ACSS1	True
ACSS2	True
ACSS3	True
ACTA1	True
ACTA2	True
ACTB	True
ACTBL2	True
ACTC1	True
ACTG1	True
ACTG2	True
ACTL10	True
ACTL6A	True
ACTL6B	True
ACTL7A	True
ACTL7B	True
ACTL8	True
ACTL9	True
ACTN1	True
ACTN2	True
ACTN4	True
ACTR10	True
ACTR1A	True
ACTR1B	True
ACTR2	True
ACTR3	True
ACTR3B	True
ACTR5	True
ACTR6	True
ACTR8	True
ACTRT1	True
ACTRT2	True
ACTRT3	True
ACVR1	True
ACVR1B	True
ACVR1C	True
ACVR2A	True
ACVR2B	True
ACVRL1	True
ACY1	True
ACY3	True
ACYP1	True
ACYP2	True
ADA	True
ADAD1	True
ADAD2	True
ADAL	True
ADAM10	True
ADAM11	True
ADAM12	True
ADAM15	True
ADAM17	True
ADAM18	True
ADAM19	True
ADAM2	True
ADAM20	True
ADAM21	True
ADAM22	True
ADAM23	True
ADAM28	True
ADAM29	True
ADAM30	True
ADAM32	True
ADAM33	True
ADAM7	True
ADAM8	True
ADAM9	True
ADAMDEC1	True
ADAMTS1	True
ADAMTS10	True
ADAMTS12	True
ADAMTS13	True
ADAMTS14	True
ADAMTS15	True
ADAMTS16	True
ADAMTS17	True
ADAMTS18	True
ADAMTS19	True
ADAMTS2	True
ADAMTS20	True
ADAMTS3	True
ADAMTS4	True
ADAMTS5	True
ADAMTS6	True
ADAMTS7	True
ADAMTS8	True
ADAMTS9	True
ADAMTSL1	True
ADAMTSL2	True
ADAMTSL3	True
ADAMTSL4	True
ADAMTSL5	True
ADAP1	True
ADAP2	True
ADAR	True
ADARB1	True
ADARB2	True
ADAT1	True
ADAT2	True
ADAT3	True
ADC	True
ADCK1	True
ADCK2	True
ADCK3	True
ADCK4	True
ADCK5	True
ADCY1	True
ADCY10	True
ADCY2	True
ADCY3	True
ADCY4	True
ADCY5	True
ADCY6	True
ADCY7	True
ADCY8	True
ADCY9	True
ADCYAP1	True
ADCYAP1R1	True
ADD1	True
ADD2	True
ADD3	True
ADGB	True
ADH1A	True
ADH1B	True
ADH1C	True
ADH4	True
ADH5	True
ADH6	True
ADH7	True
ADHFE1	True
ADI1	True
ADIG	True
ADIPOQ	True
ADIPOR1	True
ADIPOR2	True
ADIRF	False
ADK	True
ADM	True
ADM2	True
ADM5	True
ADNP	True
ADNP2	True
ADO	True
ADORA1	True
ADORA2A	True
ADORA2B	True
ADORA3	True
ADPGK	True
ADPRH	True
ADPRHL1	True
ADPRHL2	True
ADPRM	True
ADRA1A	True
ADRA1B	True
ADRA1D	True
ADRA2A	True
ADRA2B	True
ADRA2C	True
ADRB1	True
ADRB2	True
ADRB3	True
ADRBK1	True
ADRBK2	True
ADRM1	True
ADSL	True
ADSS	True
ADSSL1	True
ADTRP	True
AEBP1	True
AEBP2	True
AEN	True
AES	True
AFAP1	True
AFAP1L1	True
AFAP1L2	True
AFF1	True
AFF2	True
AFF3	True
AFF4	True
AFG3L2	True
AFM	True
AFMID	True
AFP	True
AFTPH	True
AGA	True
AGAP1	True
AGAP11	False
AGAP2	True
AGAP3	True
AGAP4	False
AGAP5	False
AGAP6	False
AGAP7	False
AGAP9	False
AGBL1	True
AGBL2	True
AGBL3	True
AGBL4	True
AGBL5	True
AGER	True
AGFG1	True
AGFG2	True
AGGF1	True
AGK	True
AGL	True
AGMAT	True
AGMO	True
AGO1	True
AGO2	True
AGO3	True
AGO4	True
AGPAT1	True
AGPAT2	True
AGPAT3	True
AGPAT4	True
AGPAT5	True
AGPAT6	True
AGPAT9	True
AGPS	True
AGR2	True
AGR3	True
AGRN	True
AGRP	True
AGT	True
AGTPBP1	True
AGTR1	True
AGTR2	True
AGTRAP	True
AGXT	True
AGXT2	True
AHCTF1	True
AHCY	True
AHCYL1	True
AHCYL2	True
AHDC1	True
AHI1	True
AHNAK	True
AHNAK2	True
AHR	True
AHRR	True
AHSA1	True
AHSA2	True
AHSG	True
AHSP	True
AICDA	True
AIDA	True
AIF1	True
AIF1L	True
AIFM1	True
AIFM2	True
AIFM3	True
AIG1	True
AIM1	True
AIM1L	True
AIM2	True
AIMP1	True
AIMP2	True
AIP	True
AIPL1	True
AIRE	True
AJAP1	True
AJUBA	True
AK1	True
AK2	True
AK3	True
AK4	True
AK5	True
AK6	True
AK7	True
AK8	True
AK9	True
AKAP1	True
AKAP10	True
AKAP11	True
AKAP12	True
AKAP13	True
AKAP14	True
AKAP17A	True
AKAP2	True
AKAP3	True
AKAP4	True
AKAP5	True
AKAP6	True
AKAP7	True
AKAP8	True
AKAP8L	True
AKAP9	True
AKIP1	True
AKIRIN1	True
AKIRIN2	True
AKNA	True
AKNAD1	True
AKR1A1	True
AKR1B1	True
AKR1B10	True
AKR1C1	True
AKR1C2	False
AKR1C3	True
AKR1C4	True
AKR1D1	True
AKR1E2	True
AKR7A2	True
AKR7A3	True
AKT1	True
AKT1S1	True
AKT2	True
AKT3	True
AKTIP	True
ALAD	True
ALAS1	True
ALAS2	True
ALB	True
ALCAM	True
ALDH16A1	True
ALDH18A1	True
ALDH1A1	True
ALDH1A2	True
ALDH1A3	True
ALDH1B1	True
ALDH1L1	True
ALDH1L2	True
ALDH2	True
ALDH3A1	True
ALDH3A2	True
ALDH3B1	True
ALDH4A1	True
ALDH5A1	True
ALDH6A1	True
ALDH7A1	True
ALDH8A1	True
ALDH9A1	True
ALDOA	True
ALDOB	True
ALDOC	True
ALG1	True
ALG10	True
ALG10B	True
ALG11	True
ALG12	True
ALG13	True
ALG14	True
ALG1L	True
ALG1L2	False
ALG2	True
ALG3	True
ALG5	True
ALG6	True
ALG8	True
ALG9	True
ALK	True
ALKBH1	True
ALKBH2	True
ALKBH3	True
ALKBH4	True
ALKBH5	True
ALKBH6	True
ALKBH7	True
ALKBH8	True
ALLC	True
ALMS1	True
ALOX12	True
ALOX12B	True
ALOX15	True
ALOX15B	True
ALOX5	True
ALOX5AP	True
ALOXE3	True
ALPI	True
ALPK1	True
ALPK2	True
ALPK3	True
ALPL	True
ALPP	True
ALPPL2	True
ALS2	True
ALS2CL	True
ALS2CR11	True
ALS2CR12	True
ALX1	True
ALX3	True
ALX4	True
ALYREF	True
AMACR	True
AMBN	True
AMBP	True
AMBRA1	True
AMD1	True
AMDHD1	True
AMDHD2	True
AMELX	True
AMELY	True
AMER1	True
AMER2	False
AMER3	True
AMFR	True
AMH	True
AMHR2	True
AMICA1	True
AMIGO1	True
AMIGO2	True
AMIGO3	True
AMMECR1	True
AMMECR1L	True
AMN	True
AMN1	True
AMOT	True
AMOTL1	True
AMOTL2	True
AMPD1	True
AMPD2	True
AMPD3	True
AMPH	True
AMT	True
AMTN	True
AMY1A	True
AMY1B	False
AMY1C	False
AMY2A	True
AMY2B	True
AMZ1	True
AMZ2	True
ANAPC1	True
ANAPC10	True
ANAPC11	True
ANAPC13	True
ANAPC15	True
ANAPC16	True
ANAPC2	True
ANAPC4	True
ANAPC5	True
ANAPC7	True
ANG	True
ANGEL1	True
ANGEL2	True
ANGPT1	True
ANGPT2	True
ANGPT4	True
ANGPTL1	True
ANGPTL2	True
ANGPTL3	True
ANGPTL4	True
ANGPTL5	True
ANGPTL6	True
ANGPTL7	True
ANHX	True
ANK1	True
ANK2	True
ANK3	True
ANKAR	True
ANKDD1A	True
ANKDD1B	True
ANKEF1	True
ANKFN1	True
ANKFY1	True
ANKH	True
ANKHD1	True
ANKHD1-EIF4EBP3	False
ANKIB1	True
ANKK1	True
ANKLE1	True
ANKLE2	True
ANKMY1	True
ANKMY2	True
ANKRA2	True
ANKRD1	True
ANKRD10	True
ANKRD11	True
ANKRD12	True
ANKRD13A	True
ANKRD13B	True
ANKRD13C	True
ANKRD13D	True
ANKRD16	True
ANKRD17	True
ANKRD18A	True
ANKRD18B	True
ANKRD2	True
ANKRD20A1	True
ANKRD20A2	False
ANKRD20A3	False
ANKRD20A4	False
ANKRD22	True
ANKRD23	True
ANKRD24	True
ANKRD26	True
ANKRD27	True
ANKRD28	True
ANKRD29	True
ANKRD30A	True
ANKRD30B	True
ANKRD31	True
ANKRD32	True
ANKRD33	True
ANKRD33B	True
ANKRD34A	True
ANKRD34B	True
ANKRD34C	True
ANKRD35	True
ANKRD36B	True
ANKRD36C	False
ANKRD37	True
ANKRD39	True
ANKRD40	True
ANKRD42	True
ANKRD44	True
ANKRD45	True
ANKRD46	True
ANKRD49	True
ANKRD50	True
ANKRD52	True
ANKRD53	True
ANKRD54	True
ANKRD55	True
ANKRD6	True
ANKRD60	True
ANKRD61	True
ANKRD62	True
ANKRD63	True
ANKRD65	True
ANKRD66	True
ANKRD7	True
ANKRD9	True
ANKS1A	True
ANKS1B	True
ANKS3	True
ANKS4B	True
ANKS6	True
ANKUB1	True
ANKZF1	True
ANLN	True
ANO1	True
ANO10	True
ANO2	True
ANO3	True
ANO4	True
ANO5	True
ANO6	True
ANO7	True
ANO8	True
ANO9	True
ANP32A	True
ANP32B	True
ANP32C	True
ANP32E	True
ANPEP	True
ANTXR1	True
ANTXR2	True
ANTXRL	True
ANXA1	True
ANXA10	True
ANXA11	True
ANXA13	True
ANXA2	True
ANXA2R	True
ANXA3	True
ANXA4	True
ANXA5	True
ANXA6	True
ANXA7	True
ANXA8	True
ANXA8L1	True
ANXA9	True
AOAH	True
AOC1	True
AOC2	True
AOC3	True
AOX1	True
AP1AR	True
AP1B1	True
AP1G1	True
AP1G2	True
AP1M1	True
AP1M2	True
AP1S1	True
AP1S2	True
AP1S3	True
AP2A1	True
AP2A2	True
AP2B1	True
AP2M1	True
AP2S1	True
AP3B1	True
AP3B2	True
AP3D1	True
AP3M1	True
AP3M2	True
AP3S1	True
AP3S2	True
AP4B1	True
AP4E1	True
AP4M1	True
AP4S1	True
AP5B1	True
AP5M1	True
AP5S1	True
AP5Z1	True
APAF1	True
APBA1	True
APBA2	True
APBA3	True
APBB1	True
APBB1IP	True
APBB2	True
APBB3	True
APC	True
APC2	True
APCDD1	True
APCDD1L	True
APCS	True
APEH	True
APEX1	True
APEX2	True
APH1A	True
APH1B	True
API5	True
APIP	True
APITD1	True
APITD1-CORT	False
APLF	True
APLN	True
APLNR	True
APLP1	True
APLP2	True
APMAP	True
APOA1	True
APOA1BP	True
APOA2	True
APOA4	True
APOA5	True
APOB	True
APOBEC1	True
APOBEC2	True
APOBEC3A	True
APOBEC3B	True
APOBEC3C	True
APOBEC3D	True
APOBEC3F	True
APOBEC3G	True
APOBEC3H	True
APOBEC4	True
APOBR	True
APOC1	True
APOC2	True
APOC3	True
APOC4	True
APOD	True
APOE	True
APOF	True
APOH	True
APOL2	True
APOL3	True
APOL5	True
APOL6	True
APOLD1	True
APOM	True
APOO	True
APOOL	True
APOPT1	True
APP	True
APPBP2	True
APPL1	True
APPL2	True
APRT	True
APTX	True
AQP1	True
AQP10	True
AQP11	True
AQP12A	False
AQP12B	True
AQP2	True
AQP3	True
AQP4	True
AQP5	True
AQP6	True
AQP7	True
AQP8	True
AQP9	True
AQPEP	True
AQR	True
AR	True
ARAF	True
ARAP1	True
ARAP2	True
ARAP3	True
ARC	True
ARCN1	True
AREG	True
AREL1	True
ARF1	True
ARF3	True
ARF4	True
ARF5	True
ARF6	True
ARFGAP1	True
ARFGAP2	True
ARFGAP3	True
ARFGEF1	True
ARFGEF2	True
ARFIP1	True
ARFIP2	True
ARFRP1	True
ARG1	True
ARG2	True
ARGFX	True
ARGLU1	True
ARHGAP1	True
ARHGAP10	True
ARHGAP11A	True
ARHGAP12	True
ARHGAP15	True
ARHGAP17	True
ARHGAP18	True
ARHGAP19	True
ARHGAP20	True
ARHGAP21	True
ARHGAP22	True
ARHGAP23	True
ARHGAP24	True
ARHGAP25	True
ARHGAP26	True
ARHGAP27	True
ARHGAP28	True
ARHGAP29	True
ARHGAP30	True
ARHGAP31	True
ARHGAP32	True
ARHGAP33	True
ARHGAP35	True
ARHGAP36	True
ARHGAP39	True
ARHGAP4	True
ARHGAP40	True
ARHGAP42	True
ARHGAP44	True
ARHGAP5	True
ARHGAP6	True
ARHGAP8	True
ARHGAP9	True
ARHGDIA	True
ARHGDIB	True
ARHGDIG	True
ARHGEF1	True
ARHGEF10	True
ARHGEF10L	True
ARHGEF11	True
ARHGEF12	True
ARHGEF15	True
ARHGEF16	True
ARHGEF17	True
ARHGEF18	True
ARHGEF19	True
ARHGEF2	True
ARHGEF25	True
ARHGEF26	True
ARHGEF28	True
ARHGEF3	True
ARHGEF33	True
ARHGEF37	True
ARHGEF38	True
ARHGEF39	True
ARHGEF4	True
ARHGEF40	True
ARHGEF5	True
ARHGEF6	True
ARHGEF7	True
ARHGEF9	True
ARID1A	True
ARID1B	True
ARID2	True
ARID3A	True
ARID3B	True
ARID3C	True
ARID4A	True
ARID4B	True
ARID5A	True
ARID5B	True
ARIH1	True
ARIH2	True
ARL1	True
ARL10	True
ARL11	True
ARL13A	True
ARL13B	True
ARL14	True
ARL14EP	True
ARL14EPL	True
ARL15	True
ARL16	True
ARL17A	False
ARL17B	False
ARL2	True
ARL2BP	True
ARL3	True
ARL4A	True
ARL4C	True
ARL4D	True
ARL5A	True
ARL5B	True
ARL5C	True
ARL6	True
ARL6IP1	True
ARL6IP4	True
ARL6IP5	True
ARL6IP6	True
ARL8A	True
ARL8B	True
ARL9	True
ARMC1	True
ARMC10	True
ARMC12	True
ARMC2	True
ARMC3	True
ARMC4	True
ARMC4P1	False
ARMC5	True
ARMC6	True
ARMC7	True
ARMC8	True
ARMC9	True
ARMCX1	True
ARMCX2	True
ARMCX3	True
ARMCX4	True
ARMCX5	True
ARMCX5-GPRASP2	False
ARMCX6	True
ARMS2	True
ARNT	True
ARNT2	True
ARNTL	True
ARNTL2	True
ARPC1A	True
ARPC1B	True
ARPC2	True
ARPC3	True
ARPC4	True
ARPC4-TTLL3	False
ARPC5	True
ARPC5L	True
ARPP19	True
ARPP21	True
ARR3	True
ARRB1	True
ARRB2	True
ARRDC1	True
ARRDC2	True
ARRDC3	True
ARRDC4	True
ARRDC5	True
ARSA	True
ARSB	True
ARSD	True
ARSE	True
ARSF	True
ARSG	True
ARSH	True
ARSI	True
ARSJ	True
ARSK	True
ART1	True
ART3	True
ART4	True
ART5	True
ARTN	True
ARV1	True
ARVCF	True
ARX	True
AS3MT	True
ASAH1	True
ASAH2	True
ASAP1	True
ASAP2	True
ASAP3	True
ASB1	True
ASB10	True
ASB11	True
ASB12	True
ASB13	True
ASB14	True
ASB15	True
ASB16	True
ASB17	True
ASB18	True
ASB2	True
ASB3	True
ASB4	True
ASB5	True
ASB6	True
ASB7	True
ASB8	True
ASB9	True
ASCC1	True
ASCC2	True
ASCC3	True
ASCL1	True
ASCL2	True
ASCL3	True
ASCL4	True
ASCL5	True
ASF1A	True
ASF1B	True
ASGR1	True
ASGR2	True
ASH1L	True
ASH2L	True
ASIC1	True
ASIC2	True
ASIC3	True
ASIC4	True
ASIC5	True
ASIP	True
ASL	True
ASMT	True
ASMTL	True
ASNA1	True
ASNS	True
ASNSD1	True
ASPA	True
ASPDH	True
ASPG	True
ASPH	True
ASPHD1	True
ASPHD2	True
ASPM	True
ASPN	True
ASPRV1	True
ASPSCR1	True
ASRGL1	True
ASS1	True
ASTE1	True
ASTL	True
ASTN1	True
ASTN2	True
ASUN	True
ASXL1	True
ASXL2	True
ASXL3	True
ASZ1	True
ATAD1	True
ATAD2	True
ATAD2B	True
ATAD3A	True
ATAD3B	True
ATAD3C	True
ATAD5	True
ATAT1	True
ATCAY	True
ATE1	True
ATF1	True
ATF2	True
ATF3	True
ATF4	True
ATF5	True
ATF6	True
ATF6B	True
ATF7	True
ATF7IP	True
ATF7IP2	True
ATG10	True
ATG101	False
ATG12	True
ATG13	True
ATG14	True
ATG16L1	True
ATG16L2	True
ATG2A	True
ATG2B	True
ATG3	True
ATG4A	True
ATG4B	True
ATG4C	True
ATG4D	True
ATG5	True
ATG7	True
ATG9A	True
ATG9B	True
ATHL1	True
ATIC	True
ATL1	True
ATL2	True
ATL3	True
ATM	True
ATMIN	True
ATN1	True
ATOH1	True
ATOH7	True
ATOH8	True
ATOX1	True
ATP10A	True
ATP10B	True
ATP10D	True
ATP11A	True
ATP11AUN	True
ATP11B	True
ATP11C	True
ATP12A	True
ATP13A1	True
ATP13A2	True
ATP13A3	True
ATP13A4	True
ATP13A5	True
ATP1A1	True
ATP1A2	True
ATP1A3	True
ATP1A4	True
ATP1B1	True
ATP1B2	True
ATP1B3	True
ATP1B4	True
ATP2A1	True
ATP2A2	True
ATP2A3	True
ATP2B1	True
ATP2B2	True
ATP2B3	True
ATP2B4	True
ATP2C1	True
ATP2C2	True
ATP4A	True
ATP4B	True
ATP5A1	True
ATP5B	True
ATP5C1	True
ATP5D	True
ATP5E	True
ATP5F1	True
ATP5G1	True
ATP5G2	True
ATP5G3	True
ATP5H	True
ATP5I	True
ATP5J	True
ATP5J2	True
ATP5J2-PTCD1	False
ATP5L	True
ATP5L2	True
ATP5O	True
ATP5S	True
ATP5SL	True
ATP6	True
ATP6AP1	True
ATP6AP1L	True
ATP6AP2	True
ATP6V0A1	True
ATP6V0A2	True
ATP6V0A4	True
ATP6V0B	True
ATP6V0C	True
ATP6V0D1	True
ATP6V0D2	True
ATP6V0E1	True
ATP6V0E2	True
ATP6V1A	True
ATP6V1B1	True
ATP6V1B2	True
ATP6V1C1	True
ATP6V1C2	True
ATP6V1D	True
ATP6V1E1	True
ATP6V1E2	True
ATP6V1F	True
ATP6V1G1	True
ATP6V1G2	True
ATP6V1G3	True
ATP6V1H	True
ATP7A	True
ATP7B	True
ATP8	True
ATP8A1	True
ATP8A2	True
ATP8B1	True
ATP8B2	True
ATP8B3	True
ATP8B4	True
ATP9A	True
ATP9B	True
ATPAF1	True
ATPAF2	True
ATPIF1	True
ATR	True
ATRAID	True
ATRIP	True
ATRN	True
ATRNL1	True
ATRX	True
ATXN1	True
ATXN10	True
ATXN1L	True
ATXN2	True
ATXN2L	True
ATXN3	True
ATXN3L	True
ATXN7	True
ATXN7L1	True
ATXN7L2	True
ATXN7L3	True
ATXN7L3B	True
AUH	True
AUNIP	True
AUP1	True
AURKA	True
AURKAIP1	True
AURKB	True
AURKC	True
AUTS2	True
AVEN	True
AVIL	True
AVL9	True
AVP	True
AVPI1	True
AVPR1A	True
AVPR1B	True
AVPR2	True
AWAT1	True
AWAT2	True
AXDND1	True
AXIN1	True
AXIN2	True
AXL	True
AZGP1	True
AZI2	True
AZIN1	True
AZU1	True
B2M	True
B3GALNT1	True
B3GALNT2	True
B3GALT1	True
B3GALT2	True
B3GALT4	True
B3GALT5	True
B3GALT6	True
B3GALTL	True
B3GAT1	True
B3GAT2	True
B3GAT3	True
B3GNT1	True
B3GNT2	True
B3GNT3	True
B3GNT4	True
B3GNT5	True
B3GNT6	True
B3GNT7	True
B3GNT8	True
B3GNT9	True
B3GNTL1	True
B4GALNT1	True
B4GALNT2	True
B4GALNT3	True
B4GALNT4	True
B4GALT1	True
B4GALT2	True
B4GALT3	True
B4GALT4	True
B4GALT5	True
B4GALT6	True
B4GALT7	True
B9D1	True
B9D2	True
BAALC	True
BAAT	True
BABAM1	True
BACE1	True
BACE2	True
BACH1	True
BACH2	True
BAD	True
BAG1	True
BAG2	True
BAG3	True
BAG4	True
BAG5	True
BAG6	True
BAHCC1	True
BAHD1	True
BAI1	True
BAI2	True
BAI3	True
BAIAP2	True
BAIAP2L1	True
BAIAP2L2	True
BAIAP3	True
BAK1	True
BAMBI	True
BANF1	True
BANF2	True
BANK1	True
BANP	True
BAP1	True
BARD1	True
BARHL1	True
BARHL2	True
BARX1	True
BARX2	True
BASP1	True
BATF	True
BATF2	True
BATF3	True
BAX	True
BAZ1A	True
BAZ1B	True
BAZ2A	True
BAZ2B	True
BBC3	True
BBIP1	True
BBOX1	True
BBS1	True
BBS10	True
BBS12	True
BBS2	True
BBS4	True
BBS5	True
BBS7	True
BBS9	True
BBX	True
BCAM	True
BCAN	True
BCAP29	True
BCAP31	True
BCAR1	True
BCAR3	True
BCAS1	True
BCAS2	True
BCAS3	True
BCAS4	True
BCAT1	True
BCAT2	True
BCCIP	True
BCDIN3D	True
BCHE	True
BCKDHA	True
BCKDHB	True
BCKDK	True
BCL10	True
BCL11A	True
BCL11B	True
BCL2	True
BCL2A1	True
BCL2L1	True
BCL2L10	True
BCL2L11	True
BCL2L12	True
BCL2L13	True
BCL2L14	True
BCL2L15	True
BCL2L2	True
BCL2L2-PABPN1	False
BCL3	True
BCL6	True
BCL6B	True
BCL7A	True
BCL7B	True
BCL7C	True
BCL9	True
BCL9L	True
BCLAF1	True
BCMO1	True
BCO2	True
BCOR	True
BCORL1	True
BCR	True
BCS1L	True
BDH1	True
BDH2	True
BDKRB1	True
BDKRB2	True
BDNF	True
BDP1	True
BEAN1	True
BECN1	True
BEGAIN	True
BEND2	True
BEND3	True
BEND4	True
BEND5	True
BEND6	True
BEND7	True
BEST1	True
BEST2	True
BEST3	True
BEST4	True
BET1	True
BET1L	True
BEX1	True
BEX2	True
BEX4	True
BEX5	True
BFAR	True
BFSP1	True
BFSP2	True
BGLAP	True
BGN	True
BHLHA15	True
BHLHA9	True
BHLHB9	True
BHLHE22	True
BHLHE23	True
BHLHE40	True
BHLHE41	True
BHMT	True
BHMT2	True
BICC1	True
BICD1	True
BICD2	True
BID	True
BIK	True
BIN1	True
BIN2	True
BIN3	True
BIRC2	True
BIRC3	True
BIRC5	True
BIRC6	True
BIRC7	True
BIRC8	True
BIVM	True
BLCAP	True
BLID	True
BLK	True
BLM	True
BLMH	True
BLNK	True
BLOC1S1	True
BLOC1S2	True
BLOC1S3	True
BLOC1S4	True
BLOC1S5	True
BLOC1S6	True
BLVRA	True
BLVRB	True
BLZF1	True
BMF	True
BMI1	True
BMP1	True
BMP10	True
BMP15	True
BMP2	True
BMP2K	True
BMP3	True
BMP4	True
BMP5	True
BMP6	True
BMP7	True
BMP8A	True
BMP8B	True
BMPER	True
BMPR1A	True
BMPR1B	True
BMPR2	True
BMS1	True
BMX	True
BNC1	True
BNC2	True
BNIP1	True
BNIP2	True
BNIP3	True
BNIP3L	True
BNIPL	True
BOC	True
BOD1	True
BOD1L1	True
BOD1L2	True
BOK	True
BOLA1	True
BOLA2	True
BOLA2B	True
BOLA3	True
BOLL	True
BOP1	True
BORA	True
BPGM	True
BPHL	True
BPI	True
BPIFA1	True
BPIFA2	True
BPIFA3	True
BPIFB1	True
BPIFB2	True
BPIFB3	True
BPIFB4	True
BPIFB6	True
BPIFC	True
BPNT1	True
BPTF	True
BRAF	True
BRAP	True
BRAT1	True
BRCA1	True
BRCA2	True
BRCC3	True
BRD1	True
BRD2	True
BRD3	True
BRD4	True
BRD7	True
BRD8	True
BRD9	True
BRDT	True
BRE	True
BRF1	True
BRF2	True
BRI3	True
BRI3BP	True
BRICD5	True
BRINP1	True
BRINP2	False
BRINP3	False
BRIP1	True
BRIX1	True
BRK1	True
BRMS1	True
BRMS1L	True
BROX	True
BRPF1	True
BRPF3	True
BRS3	True
BRSK1	True
BRSK2	True
BRWD1	True
BRWD3	True
BSCL2	True
BSDC1	True
BSG	True
BSN	True
BSND	True
BSPH1	True
BSPRY	True
BST1	True
BST2	True
BSX	True
BTAF1	True
BTBD1	True
BTBD10	True
BTBD11	True
BTBD16	True
BTBD17	True
BTBD18	True
BTBD19	True
BTBD2	True
BTBD3	True
BTBD6	True
BTBD7	True
BTBD8	True
BTBD9	True
BTC	True
BTD	True
BTF3	True
BTF3L4	True
BTG1	True
BTG2	True
BTG3	True
BTG4	True
BTK	True
BTLA	True
BTN1A1	True
BTN2A1	True
BTN2A2	True
BTN3A1	True
BTN3A2	True
BTN3A3	True
BTNL10	True
BTNL2	True
BTNL3	True
BTNL8	True
BTNL9	True
BTRC	True
BUB1	True
BUB1B	True
BUB3	True
BUD13	True
BUD31	True
BVES	True
BYSL	True
BZRAP1	True
BZW1	True
BZW2	True
C10orf10	False
C10orf105	False
C10orf107	False
C10orf11	False
C10orf113	False
C10orf118	False
C10orf12	False
C10orf120	False
C10orf126	False
C10orf128	False
C10orf129	False
C10orf131	False
C10orf2	False
C10orf32	False
C10orf35	False
C10orf53	False
C10orf54	False
C10orf55	False
C10orf62	False
C10orf67	False
C10orf71	False
C10orf76	False
C10orf82	False
C10orf88	False
C10orf90	False
C10orf99	False
C11orf1	False
C11orf16	False
C11orf21	False
C11orf24	False
C11orf30	False
C11orf31	False
C11orf35	False
C11orf40	False
C11orf42	False
C11orf44	False
C11orf45	False
C11orf48	False
C11orf49	False
C11orf52	False
C11orf53	False
C11orf54	False
C11orf57	False
C11orf58	False
C11orf63	False
C11orf65	False
C11orf68	False
C11orf70	False
C11orf71	False
C11orf73	False
