Approved_symbol	Previous_symbols	Gene_group_ID	NCBI_Gene_ID
PPP1R14BP4			94302
PPP1R14BP5			442256
PPP1R14C		694	81706
PPP1R14D		694	54866
PPP1R15A		694	23645
PPP1R15B		694	84919
PPP1R15B-AS1		1987	<NA>
PPP1R16A		694|1180|403	84988
PPP1R16B		694|403|1180	26051
PPP1R17	C7orf16	694	10842
PPP1R18	KIAA1949	694	170954
PPP1R21	CCDC128|KLRAQ1	694|2246	129285
PPP1R21-DT		1990	<NA>
PPP1R26	KIAA0649	694	9858
PPP1R26-AS1		1987	100506599
PPP1R26P1	KIAA0649P1		100418740
PPP1R26P2	KIAA0649P2		100133064
PPP1R26P3	KIAA0649P3		100132173
PPP1R26P4	KIAA0649P4		100132295
PPP1R26P5	KIAA0649P5		100133040
PPP1R27	DYSFIP1	694|403	116729
PPP1R35	C7orf47	694	221908
PPP1R35-AS1		1987	101927632
PPP1R36	C14orf50	694	145376
PPP1R37	LRRC68	694	284352
PPP1R42	LRRC67	694	286187
PPP2CA		693|1371	5515
PPP2CA-DT		1990	<NA>
PPP2CB		1371|693	5516
PPP2CBP1	PPP2CBP		5517
PPP2R1A		1266|1371|1691|1492	5518
PPP2R1B		1492|1371|1266	5519
PPP2R2A		696|362	5520
PPP2R2B	SCA12	362|696	5521
PPP2R2B-IT1		1989	<NA>
PPP2R2C		696|362	5522
PPP2R2D		696|362	55844
PPP2R2DP1			100327036
PPP2R3A	PPP2R3	863|696	5523
PPP2R3B	PPP2R3L	696|715|863	28227
PPP2R3C	C14orf10	696	55012
PPP2R5A		1835|1492|696	5525
PPP2R5B		696|1492	5526
PPP2R5C		1492|696	5527
PPP2R5CP			140921
PPP2R5D		696|1492	5528
PPP2R5E		1492|696	5529
PPP3CA	CALN|CALNA	693|1691	5530
PPP3CB	CALNB	693	5532
PPP3CB-AS1		1987	101929145
PPP3CC		693	5533
PPP3R1		697|863	5534
PPP3R2		863|697	5535
PPP4C		693	5531
PPP4R1		698|1492	9989
PPP4R1-AS1		1987	101927323
PPP4R1L	C20orf192	1492	55370
PPP4R2		698	151987
PPP4R2P1			100421419
PPP4R2P2			124900550
PPP4R2P3			124900549
PPP4R2P4			100131868
PPP4R2P5			124901187
PPP4R2P6			<NA>
PPP4R3A	KIAA2010|SMEK1	1492	55671
PPP4R3B	SMEK2	1492	57223
PPP4R3B-DT		1990	107985885
PPP4R3C	SMEK3P|PPP4R3CP	1492	139420
PPP4R4	KIAA1622	1491|698|1492	57718
PPP5			<NA>
PPP5C	PPP5	769|693	5536
PPP5D1P	PPP5D1		100506012
PPP6C		693	5537
PPP6CP			100144631
PPP6R1	KIAA1115|SAPS1	699|1691	22870
PPP6R2	KIAA0685|SAPS2	1492|699	9701
PPP6R2P1			<NA>
PPP6R3	C11orf23|SAPS3	1492|699	55291
PPRC1		725	23082
PPT			<NA>
PPT1	PPT	1749	5538
PPT2			9374
PPT2-EGFL8			100532746
PPTC7		701	160760
PPWD1		1510|1516|909|362	23398
PPY		1902	5539
PPY2P	PPY2		23614
PQBP1	RENS1|MRXS8|SHS|MRX55|MRX2|MRXS3	1507	10084
PQBP2	PQBP2		<NA>
PQBP3	PQBP3		<NA>
PQBP4			<NA>
PQBP5	PQBP5		<NA>
PR@			<NA>
PRAC1	C17orf92|PRAC		84366
PRAC2	C17orf93|NCRNA00253|HOXB13-AS1|HOXB-AS5		360205
PRADC1	C2orf7		84279
PRADC1P1			645571
PRADX		1992	<NA>
PRAF2		1144	11230
PRAG1			157285
PRAL		1992	<NA>
PRAM1			84106
PRAME	MAPE	686	23532
PRAMEF1		686	65121
PRAMEF2		686	65122
PRAMEF3			<NA>
PRAMEF4		686	400735
PRAMEF5	PRAMEF23	686	343068
PRAMEF6		686	440561
PRAMEF7		686	441871
PRAMEF8		686	391002
PRAMEF9		686	343070
PRAMEF10		686	343071
PRAMEF11		686	440560
PRAMEF12		686	390999
PRAMEF13		686	400736
PRAMEF14		686	729528
PRAMEF15		686	653619
PRAMEF16			<NA>
PRAMEF17		686	391004
PRAMEF18		686	391003
PRAMEF19		686	645414
PRAMEF20	PRAMEF21	686	645425
PRAMEF21			<NA>
PRAMEF22		686	653606
PRAMEF23			<NA>
PRAMEF25		686	441873
PRAMEF26		686	645359
PRAMEF27		686	101929983
PRAMEF28P	PRAMEF28		102724742
PRAMEF29P			729356
PRAMEF30P			441870
PRAMEF31P			100129611
PRAMEF32P			650236
PRAMEF33	PRAMEF33P		645382
PRAMEF34P			649324
PRAMEF35P			100419649
PRAMEF36P			645354
PRAMENP	PRAMEL|PRAMEF24P	686	649179
PRANCR	LINC01481|CNOT2-DT	1992	101928062
PRAP1			118471
PRB1		972	5542
PRB2		972	653247
PRB3		972	5544
PRB4		972	5545
PRC1			9055
PRC1-AS1		1987	100507118
PRCA1	PRCA1		<NA>
PRCC		1508	5546
PRCD			768206
PRCP		1321|870	5547
PRCPP1			100421289
PRD			<NA>
PRDM1	BLIMP1	28|1197	639
PRDM2		1197|487|28	7799
PRDM4		28|1197	11108
PRDM4-AS1		1987	101929162
PRDM5		1197|28	11107
PRDM6		28|1197|487	93166
PRDM6-AS1		1987	105379152
PRDM7		28|1197	11105
PRDM8		1197|487|28	56978
PRDM8-AS1		1987	105377303
PRDM9	MSBP3	28|1197|487	56979
PRDM10		28|1197	56980
PRDM10-DT	C11orf37|NCRNA00167|LINC00167	1990	440072
PRDM11		1197	56981
PRDM12		1197|28	59335
PRDM13		28|1197	59336
PRDM14		1197|28	63978
PRDM15	ZNF298|C21orf83	1197|28	63977
PRDM16		28|487|1691|1197	63976
PRDM16-DT	LINC00982	1990	440556
PRDX1	PAGA	953	5052
PRDX1P1	PAGB|TDPX2		7002
PRDX2	TDPX1	953	7001
PRDX2P1			359844
PRDX2P2			646218
PRDX2P3			100418943
PRDX2P4			442239
PRDX3	AOP1	953	10935
PRDX3P1			100419031
PRDX3P2			100128092
PRDX3P3			100128902
PRDX3P4			100418955
PRDX4		953	10549
PRDX4P1			100418949
PRDX4P2			100418942
PRDX5		953	25824
PRDX5P1			111501764
PRDX6		953	9588
PRDX6-AS1		1987	101928673
PREB		362	10113
PRECSIT	C13orf29|NCRNA00346|LINC00346	1992	283487
PRELID1		1295	27166
PRELID1P1			728666
PRELID1P2			100419971
PRELID1P3			100420046
PRELID1P4			390572
PRELID1P5			388734
PRELID1P6			388955
PRELID1P7			<NA>
PRELID2		1295	153768
PRELID2P1			<NA>
PRELID3A	C18orf43|SLMO1	1295	10650
PRELID3B	C20orf45|SLMO2	1295	51012
PRELID3BP1	SLMO2P1		100129664
PRELID3BP2	SLMO2P2		<NA>
PRELID3BP3	SLMO2P3		100128712
PRELID3BP4			100420275
PRELID3BP5			106480242
PRELID3BP6			100132940
PRELID3BP7			730974
PRELID3BP8			106480243
PRELID3BP9			100420277
PRELID3BP10			646873
PRELID3BP11	SLMO2P11		102723314
PRELP		573	5549
PREP			5550
PREPL			9581
PREX1		722|2329|1220|682	57580
PREX2	DEPDC2	722|2329|1220|694	80243
PRF1		823	5551
PRG2		1298	5553
PRG3		1298	10394
PRG4	CACP		10216
PRGS			<NA>
PRH1		972|2293	5554
PRH2		972|2293	5555
PRHX			<NA>
PRICKLE1		1184|1218	144165
PRICKLE1P1			100131977
PRICKLE2		1184|1218	166336
PRICKLE2-AS1		1987	100652759
PRICKLE2-AS2		1987	<NA>
PRICKLE2-AS3		1987	<NA>
PRICKLE2-DT		1990	101929316
PRICKLE3	LMO6	1218|1184	4007
PRICKLE4	C6orf49	1184|1218	29964
PRIM1			5557
PRIM2	PRIM2A	1691	5558
PRIM2B			<NA>
PRIM2BP			100996481
PRIMA1			145270
PRIMPOL	CCDC111	535	201973
PRINS		1992	100169750
PRIP			<NA>
PRKA1			<NA>
PRKA2			<NA>
PRKAA			<NA>
PRKAA1		2134	5562
PRKAA2	PRKAA	2134	5563
PRKAB1			5564
PRKAB2			5565
PRKACA		2144|1625	5566
PRKACB		1625|2144	5567
PRKACB-DT		1990	<NA>
PRKACG		2144|1625	5568
PRKACN1			<NA>
PRKACN2			<NA>
PRKAG1			5571
PRKAG2			51422
PRKAG2-AS1		1987	100505483
PRKAG2-AS2		1987	644090
PRKAG3			53632
PRKAR1A	PRKAR1|TSE1|PKR1|Prkar1alpha	2144	5573
PRKAR1AP1	PRKAR1AP		5574
PRKAR1B		2144	5575
PRKAR1B-AS1		1987	101926963
PRKAR1B-AS2		1987	101927000
PRKAR2A	PRKAR2	2144	5576
PRKAR2A-AS1		1987	100506637
PRKAR2B	PRKAR2	2144	5577
PRKAR2B-AS1		1987	105375441
PRKCA	PKCA	1691|1625|835	5578
PRKCA-AS1		1987	101928001
PRKCB	PRKCB2|PKCB|PRKCB1	1625|835|1691	5579
PRKCB2			<NA>
PRKCD		1625|835	5580
PRKCE		1625|835	5581
PRKCE-AS1		1987	105374580
PRKCG	PKCG|SCA14	835	5582
PRKCH	PRKCL	1625|835	5583
PRKCH-AS1		1987	<NA>
PRKCI	DXS1179E	1625	5584
PRKCIP1			158948
PRKCNH1			<NA>
PRKCQ		1625|835	5588
PRKCQ-AS1		1987	439949
PRKCSH	G19P1|PCLD|PLD1	863|1233	5589
PRKCZ		1625	5590
PRKCZ-AS1		1987	<NA>
PRKCZ-DT		1990	105378591
PRKD1	PRKCM	682	5587
PRKD2		1691|682	25865
PRKD3	PRKCN	682	23683
PRKD3-DT		1990	101929542
PRKDC	HYRC|HYRC1	1492	5591
PRKG1	PRKGR1B|PRKG1B	1625|1691	5592
PRKG1-AS1		1987	100506939
PRKG1B			<NA>
PRKG2		1625	5593
PRKG2-AS1		1987	101928942
PRKGR1B			<NA>
PRKM1			<NA>
PRKM2			<NA>
PRKM3			<NA>
PRKM4			<NA>
PRKM6			<NA>
PRKM7			<NA>
PRKM8			<NA>
PRKM8IP			<NA>
PRKM8IPL			<NA>
PRKM8IPP			<NA>
PRKM9			<NA>
PRKM11			<NA>
PRKM13			<NA>
PRKMK1			<NA>
PRKMK2			<NA>
PRKMK3			<NA>
PRKMK5			<NA>
PRKMK6			<NA>
PRKMK7			<NA>
PRKN	PARK2	1391	5071
PRKRA		1776	8575
PRKRAP1			731716
PRKRIP1			79706
PRKX		1625	5613
PRKX-AS1		1987	<NA>
PRKXP1			441733
PRKXP2			5615
PRKY		1625	5616
PRL		1902|1175	5617
PRLH		1902	51052
PRLHR	GPR10	220	2834
PRLR			5618
PRM1			5619
PRM2			5620
PRM3			58531
PRMT1	HRMT1L2	2057|1691	3276
PRMT1P1			100420910
PRMT2	HRMT1L1	2057	3275
PRMT3	HRMT1L3	2057	10196
PRMT5	HRMT1L5|SKB1	2057	10419
PRMT5-AS1		1987	100505758
PRMT5-DT		1990	101926933
PRMT5P1			100420927
PRMT6	HRMT1L6	2057	55170
PRMT7		2057	54496
PRMT8	HRMT1L3|HRMT1L4	2057	56341
PRMT9	PRMT10	2057	90826
PRNCR1	PCAT8	1992	101867536
PRND			23627
PRNP	PRIP|GSS|CJD	454|471	5621
PRNT		1992	149830
PRO1			<NA>
PROB1	C5orf65		389333
PROC		1250|542	5624
PROCA1			147011
PROCR		471	10544
PRODH		2258	5625
PRODH2		2258	58510
PRODHLP			440792
PROK1		2243|542	84432
PROK2		2243|542	60675
PROKR1	GPR73	216	10887
PROKR2	GPR73L1|KAL3	216	128674
PROM1	PROML1|MCDR2|STGD4	2244|471	8842
PROM2		2244	150696
PROP1		521	5626
PRORP	KIAA0391	1823|1534	9692
PRORSD1P	NCRNA00117|PRDXDD1P		344405
PRORY	CYorf17	1992	100533178
PROS1	PROS	1250	5627
PROS2P	PROS2|PROSP		5628
PROSER1	C13orf23		80209
PROSER2	C10orf47		254427
PROSER2-AS1		1987	219731
PROSER3	C19orf55		148137
PROX1		528	5629
PROX1-AS1		1987	100505832
PROX1-IT1			<NA>
PROX2		528	283571
PROZ		1250	8858
PRP4K	PRPF4B		8899
PRPF3	RP18	1502	9129
PRPF4		1502|362	9128
PRPF4BP1			653155
PRPF6	C20orf14	1503	24148
PRPF8	RP13	999|1508|1510|1516|1503	10594
PRPF18		1510	8559
PRPF19	PRP19	1510|365|1361|362	27339
PRPF19-DT		1990	107984333
PRPF19P1	PRP19P|PRPF19P		100422496
PRPF31	RP11	1502	26121
PRPF31-AS1		1987	<NA>
PRPF38A		1507	84950
PRPF38AP1			389935
PRPF38AP2			100131947
PRPF38B			55119
PRPF39		1835	55015
PRPF39-DT		1990	105370474
PRPF40A	FNBP3	1504	55660
PRPF40B			25766
PRPH	NEF4	610	5630
PRPH2	RP7|RDS	768	5961
PRPS1	DFN2		5631
PRPS1L1	PRPSL		221823
PRPS1P1			<NA>
PRPS1P2	PRPS1L2		100421295
PRPS2			5634
PRPSAP1			5635
PRPSAP2			5636
PRR3		73	80742
PRR3P1			100128772
PRR4	PROL4		11272
PRR5		1333	55615
PRR5-ARHGAP8			553158
PRR5L			79899
PRR7			80758
PRR7-AS1		1987	340037
PRR8	PRR8		<NA>
PRR9			574414
PRR11			55771
PRR11-AS1		1987	<NA>
PRR11P1			100418956
PRR12	KIAA1205		57479
PRR13			54458
PRR13P1			647195
PRR13P2			<NA>
PRR13P3			100129201
PRR13P4			100288008
PRR13P5			440525
PRR13P6			<NA>
PRR13P7			100289644
PRR14			78994
PRR14L	C22orf30		253143
PRR15			222171
PRR15-DT		1990	107986700
PRR15L	ATAD4		79170
PRR16			51334
PRR18			285800
PRR19			284338
PRR20A	PRR20		122183
PRR20B			729233
PRR20C			729240
PRR20D			729246
PRR20E			729250
PRR20FP			106480416
PRR20G			100419008
PRR21			643905
PRR22			163154
PRR23A			729627
PRR23B			389151
PRR23C			389152
PRR23D1			100131608
PRR23D2			100133251
PRR23D3P			101929013
PRR23E	C3orf56		285311
PRR23E2P			101060159
PRR25			388199
PRR27	C4orf40	2245	401137
PRR29	C17orf72		92340
PRR29-AS1		1987	400612
PRR30	C2orf53		339779
PRR32	CXorf64		100130613
PRR33	C11orf89		102724536
PRR34	C22orf26	1992	55267
PRR34-AS1		1987	150381
PRR35	C16orf11		146325
PRR36			80164
PRRC1			133619
PRRC2A	BAT2	1835|1691	7916
PRRC2B	KIAA0515|BAT2L|BAT2L1	1835	84726
PRRC2C	BAT2D1|BAT2L2		23215
PRRC2CP1	BAT2L2P1		360018
PRRG1		1249	5638
PRRG2		1249	5639
PRRG3		1249	79057
PRRG4		1249	79056
PRRT1	C6orf31	1600	80863
PRRT1B		1600	642515
PRRT2	ICCA|DYT10	1600	112476
PRRT3			285368
PRRT3-AS1		1987	100874032
PRRT4			401399
PRRX1	PMX1	521	5396
PRRX2		521	51450
PRRX2-AS1		1987	101929437
PRS	MRXS2		<NA>
PRSM1			<NA>
PRSM2			<NA>
PRSS1	TRY1	738	5644
PRSS2		738	5645
PRSS3	PRSS4	738	5646
PRSS3P1			168330
PRSS3P2			154754
PRSS3P3			136540
PRSS3P4			<NA>
PRSS4			<NA>
PRSS5			<NA>
PRSS6			<NA>
PRSS8		738	5652
PRSS9			<NA>
PRSS12		1404|738	8492
PRSS14			<NA>
PRSS16		738	10279
PRSS17			<NA>
PRSS18			<NA>
PRSS19			<NA>
PRSS20			<NA>
PRSS21		738	10942
PRSS22		738	64063
PRSS23		738	11098
PRSS23-AS1		1987	107984429
PRSS27		738	83886
PRSS29P		738	123787
PRSS30P	TMPRSS8|TMPRSS8P	738	124221
PRSS33		738	260429
PRSS35	C6orf158	738	167681
PRSS36		738	146547
PRSS37		738	136242
PRSS38		738	339501
PRSS40A			150527
PRSS40B			646743
PRSS41		738	360226
PRSS42P	PRSS42	738	339906
PRSS43P	PRSS43	738	100288960
PRSS44P	PRSS44	738	729756
PRSS45P	PRSS45	738	377047
PRSS46P	PRSS46	738	100287362
PRSS47P	PRSS47	738	138652
PRSS48		738	345062
PRSS50		738	29122
PRSS51			346702
PRSS52P			100419209
PRSS53		738	339105
PRSS54		738	221191
PRSS55		738	203074
PRSS56		738	646960
PRSS57	PRSSL1	1636|738	400668
PRSS58		738	136541
PRSS59P			207147
PRSSL1			<NA>
PRTFDC1			56952
PRTG		593|555	283659
PRTH			<NA>
PRTN3		1636	5657
PRTS	MRXS1		<NA>
PRUNE1	PRUNE		58497
PRUNE1P1	PRUNEP1		100129595
PRUNE2	C9orf65|KIAA0367	1299	158471
PRX		1220	57716
PRXL2A	C10orf58|FAM213A		84293
PRXL2AP1	FAM213AP1		100420900
PRXL2AP2	FAM213AP2		100131252
PRXL2B	C1orf93|FAM213B		127281
PRXL2C	C9orf21|AAED1		195827
PRXL2CP1			650181
PRY		2293	9081
PRY2		2293	442862
PRYP1	PRYP7|PRY4P		442863
PRYP2			442864
PRYP3			442865
PRYP4			442866
PRYP5			<NA>
PRYP6			<NA>
PRYP7	PRY4P		<NA>
PSACH			<NA>
PSAP	SAP1|GLBA|SAP2	542	5660
PSAPL1			768239
PSAT1			29968
PSAT1P1	C8orf62		137133
PSAT1P2			<NA>
PSAT1P3			729779
PSAT1P4			100287630
PSBP1			<NA>
PSCA		1226	8000
PSCD2L	PSCD2L		<NA>
PSD		1948|682	5662
PSD2		1948|682	84249
PSD2-AS1		1987	101929696
PSD3		1948|682	23362
PSD4		1948|682	23550
PSEN1	AD3	2099	5663
PSEN2	AD4	2099	5664
PSENEN			55851
PSF1			<NA>
PSF2			<NA>
PSF3			<NA>
PSF4			<NA>
PSG1	PSBG1	1315|471|590	5669
PSG2	PSBG2	590|1315	5670
PSG3		1315|590	5671
PSG4		590|1315	5672
PSG5		1315|590	5673
PSG6		590|1315	5675
PSG7		1315	5676
PSG8		1315|590	440533
PSG8-AS1		1987	100289650
PSG9	PSG11	590|1315	5678
PSG10P	PSG12|PSG10	1315	653492
PSG11	PSG13|PSG14	1315|590	5680
PSG11-AS1		1987	<NA>
PSG12			<NA>
PSG13			<NA>
PSIP1	PSIP2	1418	11168
PSIP1P1	PSIP1P		353329
PSIP1P2			360022
PSIP2			<NA>
PSKH1			5681
PSKH2			85481
PSLNR		1992	106146148
PSMA1		690	5682
PSMA1P1			100422286
PSMA2		690	5683
PSMA2P1			100130923
PSMA2P2			100131775
PSMA2P3			79055
PSMA3		690	5684
PSMA3-AS1		1987	379025
PSMA3P1	PSMA3P		326617
PSMA4		690	5685
PSMA5		690	5686
PSMA5P1			<NA>
PSMA6		690	5687
PSMA6P1	PSMA6P		64596
PSMA6P2			729412
PSMA6P3			<NA>
PSMA6P4			121906
PSMA7		690	5688
PSMA7P1	PSMA7P		117134610
PSMA8		690	143471
PSMB1		690	5689
PSMB2		690	5690
PSMB3		690	5691
PSMB3P1	PSMB3P		121131
PSMB3P2			130700
PSMB4		690	5692
PSMB5		690	5693
PSMB6		690	5694
PSMB7		690	5695
PSMB7P1			100422289
PSMB8	LMP7	690	5696
PSMB8-AS1	TAPSAR1	1987	100507463
PSMB9	LMP2	690	5698
PSMB10	MECL1	690	5699
PSMB11			122706
PSMC1		690|413	5700
PSMC1P1	PSMC1P		151645
PSMC1P2			442291
PSMC1P3			392100
PSMC1P4			345645
PSMC1P5			<NA>
PSMC1P6			643766
PSMC1P7			646085
PSMC1P8			390297
PSMC1P9			643668
PSMC1P10			388925
PSMC1P11			442153
PSMC1P12			644094
PSMC1P13			100422305
PSMC2		413|690	5701
PSMC2P1			729674
PSMC2P2			100422271
PSMC3		690|413	5702
PSMC3IP			29893
PSMC3P1	PSMC3P		5703
PSMC4	MIP224	413|690	5704
PSMC5		690|413	5705
PSMC6		413|690	5706
PSMC6P1	PSMC6P		266723
PSMC6P2			160410
PSMC6P3			100128218
PSMD1		690|1492	5707
PSMD2		690|1492	5708
PSMD2P1			266783
PSMD3	TSTA2	690	5709
PSMD4		690	5710
PSMD4P1	PSMD4P|PSMD15		54035
PSMD5		690|1492	5711
PSMD6		690	9861
PSMD6-AS1		1987	<NA>
PSMD6-AS2		1987	100507062
PSMD7		690|999	5713
PSMD7-DT		1990	101928035
PSMD7P1	MOV34L|PSMD7L		280637
PSMD8		690	5714
PSMD8P1			100422411
PSMD9		1220|690	5715
PSMD10		403|690	5716
PSMD10P1	PSMD10P		170541
PSMD10P2			280644
PSMD10P3			338091
PSMD11		690	5717
PSMD12		690	5718
PSMD12P1	PSMD12P		317753
PSMD13		690	5719
PSMD14		999|690	10213
PSMD14-DT		1990	101929512
PSMD14P1			100131284
PSME1		690	5720
PSME2		690|1691	5721
PSME2P1	PSME2P		257093
PSME2P2			338099
PSME2P3			338095
PSME2P4			338096
PSME2P5			338097
PSME2P6			338098
PSME3		690	10197
PSME3IP1	C16orf94|FAM192A		80011
PSME4		690|1492	23198
PSMF1		690	9491
PSMG1	DSCR2		8624
PSMG2	TNFSF5IP1		56984
PSMG3	C7orf48		84262
PSMG3-AS1		1987	114796
PSMG3P1			<NA>
PSMG3P2			<NA>
PSMG4	C6orf86		389362
PSOR1			<NA>
PSORS1			<NA>
PSORS1C1	C6orf16		170679
PSORS1C2	C6orf17		170680
PSORS1C3		1992	100130889
PSORS2			<NA>
PSORS3			<NA>
PSORS4			<NA>
PSORS5			<NA>
PSORS6			<NA>
PSORS7			<NA>
PSORS8			<NA>
PSORS9			<NA>
PSORS10			<NA>
PSP			<NA>
PSPC1		725	55269
PSPC1-AS1			<NA>
PSPC1-AS2		1987	<NA>
PSPC1-OT1			<NA>
PSPC1P1			642395
PSPC1P2			100873875
PSPH	PSP	1045	5723
PSPHP1	PSPHL		8781
PSPN		1586	5623
PSRC1			84722
PSTK	C10orf89		118672
PSTPIP1		1288	9051
PSTPIP2		1288	9050
PTAFR		208	5724
PTAR1		687	375743
PTBP1	PTB	725|1691|1950	5725
PTBP1P			122888
PTBP2		725|1950	58155
PTBP3	ROD1	725	9991
PTC			<NA>
PTCD1		1823	26024
PTCD2		1823	79810
PTCD2P1			100131302
PTCD2P2			100132487
PTCD3		1823|1835|1996|646	55037
PTCH1	NBCCS|PTCH		5727
PTCH2			8643
PTCHD1			139411
PTCHD1-AS		1987	100873065
PTCHD3			374308
PTCHD3P1			387647
PTCHD3P2			100533664
PTCHD3P3			100533665
PTCHD4	C6orf138		442213
PTCRA			171558
PTCSC1	PTCSC	1992	100302522
PTCSC2		1992	101928337
PTCSC3		1992	100886964
PTDSS1			9791
PTDSS2			81490
PTEN	BZS|MHAM	1079|902|837	5728
PTENP1			11191
PTENP1-AS		1987	101243555
PTER			9317
PTF1A		420|1608	256297
PTGDR		207	5729
PTGDR2	GPR44	471|207	11251
PTGDS		631	5730
PTGER1		207	5731
PTGER2		207	5732
PTGER3		207	5733
PTGER4		207	5734
PTGER4P1			5735
PTGER4P2			<NA>
PTGER4P2-CDK2AP2P2			442421
PTGER4P3			<NA>
PTGES	MGST1L1		9536
PTGES2	C9orf15	1468	80142
PTGES2-AS1		1987	389791
PTGES3			10728
PTGES3L			100885848
PTGES3L-AARSD1			100885850
PTGES3P1			284672
PTGES3P2			<NA>
PTGES3P3			441050
PTGES3P4			<NA>
PTGES3P5			<NA>
PTGFR		207	5737
PTGFRN		590|471	5738
PTGIR		207	5739
PTGIS		1006	5740
PTGR1	LTB4DH		22949
PTGR2	ZADH1		145482
PTGR3	ZADH2		284273
PTGS1			5742
PTGS2			5743
PTH		542	5741
PTH1R	PTHR|PTHR1	270	5745
PTH2		542	113091
PTH2R	PTHR2	270	5746
PTHLH		1902|542	5744
PTK1			<NA>
PTK2		694|1644|1293|1691	5747
PTK2B	FAK2	1691|870|1644|1293	2185
PTK3A			<NA>
PTK3B			<NA>
PTK4			<NA>
PTK5			<NA>
PTK6		1645|741	5753
PTK7		593|321	5754
PTK8			<NA>
PTLAH			<NA>
PTMA	TMSA	1691	5757
PTMAP1			5758
PTMAP2			5759
PTMAP3			5760
PTMAP4			5761
PTMAP5			150928
PTMAP6			170542
PTMAP7			326626
PTMAP8			728873
PTMAP9			100506248
PTMAP10			442727
PTMAP11			441454
PTMAP12			728026
PTMAP13			105371898
PTMAP14			105373140
PTMAP15			112935968
PTMS			5763
PTN	NEGF1	542	5764
PTOS1			<NA>
PTOV1		1691	53635
PTOV1-AS1		1987	100506033
PTOV1-AS2		1987	101928378
PTOV1P1			442087
PTP4A			<NA>
PTP4A1		899	7803
PTP4A1P1			100421652
PTP4A1P2			100499563
PTP4A1P3			<NA>
PTP4A1P4			100129564
PTP4A1P5			100289380
PTP4A1P6			100129472
PTP4A1P7			100421681
PTP4A2	PTP4A	899	8073
PTP4A2P1	PTP4AP1		5767
PTP4A2P2	PTP4AP2		5769
PTP4A3		899	11156
PTPA	PPP2R4	1265|909	5524
PTPDC1		900	138639
PTPLC			<NA>
PTPMT1		1079|896	114971
PTPN1	PTP1B	812	5770
PTPN2	PTPT	812	5771
PTPN2P1	PTPN2P|PTPTP1		646981
PTPN2P2			646758
PTPN3		1220|812|1691|1293	5774
PTPN4		1293|1220|812	5775
PTPN5		812	84867
PTPN6		812|741	5777
PTPN7		812	5778
PTPN8			<NA>
PTPN9		812	5780
PTPN10			<NA>
PTPN11	NS1	812|741	5781
PTPN11P1			344593
PTPN11P2			100421822
PTPN11P3			442263
PTPN11P4			391771
PTPN11P5			442113
PTPN12		812	5782
PTPN13		1220|812|1293	5783
PTPN14		1293|812	5784
PTPN17	PTPN17		<NA>
PTPN18		812	26469
PTPN20	PTPN20A|PTPN20B	812	26095
PTPN20A			<NA>
PTPN20CP	PTPN20C	812	653045
PTPN21		812|1293	11099
PTPN22	PTPN8	812	26191
PTPN23		812	25930
PTPN23-DT		1990	<NA>
PTPRA	PTPRL2|PTPA	813	5786
PTPRB	PTPB	813|555	5787
PTPRC	CD45	555|813|471	5788
PTPRCAP			5790
PTPRD		555|593|2295|813	5789
PTPRD-AS1		1987	101929407
PTPRD-DT	PTPRD-AS2	1990	101929428
PTPRE		813	5791
PTPRF	LAR	813|555|593|2295	5792
PTPRG	PTPG	813|555	5793
PTPRG-AS1		1987	100506994
PTPRH		555|813	5794
PTPRJ		813|471|555|1691	5795
PTPRJ-AS1		1987	<NA>
PTPRK		813|594|555	5796
PTPRK-AS1		1987	101928140
PTPRM	PTPRL1	555|813|593|1410	5797
PTPRN		1691|813	5798
PTPRN2		813|1691	5799
PTPRN2-AS1		1987	100506585
PTPRO		555|813	5800
PTPRQ	DFNB84	813|555	374462
PTPRR	PTPRQ	813	5801
PTPRS		813|593|2295|555	5802
PTPRS-AS1		1987	<NA>
PTPRT		555|813|594	11122
PTPRT-AS1		1987	101927138
PTPRT-DT		1990	<NA>
PTPRU		555|813	10076
PTPRVP	PTPRV	813	148713
PTPRZ			<NA>
PTPRZ1	PTPZ|PTPRZ	813|555	5803
PTPRZ2			5804
PTPTP1			<NA>
PTRH1	C9orf115		138428
PTRH2		1491	51651
PTRHD1	C2orf79		391356
PTS			5805
PTTG1	TUTR1		9232
PTTG1IP	C21orf3|C21orf1		754
PTTG1IP2			102723899
PTTG1P1	PTTG4P		326315
PTTG1P2			100127954
PTTG2			10744
PTTG3P	PTTG3		26255
PTX3	TNFAIP5	1142	5806
PTX4	C16orf38	1142	390667
PUAB1			<NA>
PUAB2			<NA>
PUAB3			<NA>
PUAB4			<NA>
PUAB5			<NA>
PUDP	FAM16AX|HDHD1A|HDHD1	1045|1377	8226
PUDPP1	FAM16AY|HDHD1BP|HDHD1P1	1377	327658
PUDPP2	FAM16B|HDHD1CP|HDHD1P2		327659
PUDPP3	HDHD1DP|HDHD1P3		391242
PUF60		725|1504	22827
PUM			<NA>
PUM1		1494|1835	9698
PUM2		1494	23369
PUM3	KIAA0020	870|1494	9933
PUMB1			<NA>
PURA			5813
PURB		1691	5814
PURG			29942
PURPL	LINC01021	1992	643401
PUS1		1665	80324
PUS1-AS1		1987	107984455
PUS3		1665	83480
PUS7		1665	54517
PUS7L		1665	83448
PUS7P1			100421790
PUS10	CCDC139	1665	150962
