Approved_symbol	Chromosome	NCBI_Gene_ID	Chromosome_number	Arm_name	Region_name	Chromosome_arm
ABCC6P1	16p12.3	653190	16	p	12.3	16p
ABCC6P2	16p13.11	730013	16	p	13.11	16p
ABCC8	11p15.1	6833	11	p	15.1	11p
ABCC9	12p12.1	10060	12	p	12.1	12p
ABCC10	6p21.1	89845	6	p	21.1	6p
ABCC11	16q12.1	85320	16	q	12.1	16q
ABCC12	16q12.1	94160	16	q	12.1	16q
ABCC13	21q11.2	150000	21	q	11.2	21q
ABCD1	Xq28	215	X	q	28	Xq
ABCD1P1	2p11.2	23785	2	p	11.2	2p
ABCD1P2	10p11.1	26983	10	p	11.1	10p
ABCD1P3	16p11.2	26982	16	p	11.2	16p
ABCD1P4	22q11.1	26957	22	q	11.1	22q
ABCD1P5	2p11.1	642762	2	p	11.1	2p
ABCD2	12q12	225	12	q	12	12q
ABCD3	1p21.3	5825	1	p	21.3	1p
ABCD4	14q24.3	5826	14	q	24.3	14q
ABCE1	4q31.21	6059	4	q	31.21	4q
ABCF1	6p21.33	23	6	p	21.33	6p
ABCF1-DT	6p21.33	107986587	6	p	21.33	6p
ABCF2	7q36.1	10061	7	q	36.1	7q
ABCF2-H2BK1	7q36.1	114483834	7	q	36.1	7q
ABCF2P1	3p11.1	344653	3	p	11.1	3p
ABCF2P2	7q11.22	100422059	7	q	11.22	7q
ABCF3	3q27.1	55324	3	q	27.1	3q
ABCG1	21q22.3	9619	21	q	22.3	21q
ABCG2	4q22.1	9429	4	q	22.1	4q
ABCG4	11q23.3	64137	11	q	23.3	11q
ABCG5	2p21	64240	2	p	21	2p
ABCG8	2p21	64241	2	p	21	2p
ABHD1	2p23.3	84696	2	p	23.3	2p
ABHD2	15q26.1	11057	15	q	26.1	15q
ABHD3	18q11.2	171586	18	q	11.2	18q
ABHD4	14q11.2	63874	14	q	11.2	14q
ABHD5	3p21.33	51099	3	p	21.33	3p
ABHD6	3p14.3	57406	3	p	14.3	3p
ABHD8	19p13.11	79575	19	p	13.11	19p
ABHD10	3q13.2	55347	3	q	13.2	3q
ABHD11	7q11.23	83451	7	q	11.23	7q
ABHD12	20p11.21	26090	20	p	11.21	20p
ABHD12B	14q22.1	145447	14	q	22.1	14q
ABHD13	13q33.3	84945	13	q	33.3	13q
ABHD14A	3p21.2	25864	3	p	21.2	3p
ABHD14A-ACY1	3p21.2	100526760	3	p	21.2	3p
ABHD14B	3p21.2	84836	3	p	21.2	3p
ABHD15	17q11.2	116236	17	q	11.2	17q
ABHD16A	6p21.33	7920	6	p	21.33	6p
ABHD16B	20q13.33	140701	20	q	13.33	20q
ABHD17A	19p13.3	81926	19	p	13.3	19p
ABHD17AP1	1q21.2	728917	1	q	21.2	1q
ABHD17AP3	1q41	648359	1	q	41	1q
ABHD17AP4	22q11.21	729495	22	q	11.21	22q
ABHD17AP5	22q11.22	91219	22	q	11.22	22q
ABHD17AP6	17p11.2	644988	17	p	11.2	17p
ABHD17AP7	16p11.2	100133212	16	p	11.2	16p
ABHD17AP8	16p11.2	647144	16	p	11.2	16p
ABHD17AP9	16p11.2	100132251	16	p	11.2	16p
ABHD17B	9q21.13	51104	9	q	21.13	9q
ABHD17C	15q25.1	58489	15	q	25.1	15q
ABHD18	4q28.2	80167	4	q	28.2	4q
ABI1	10p12.1	10006	10	p	12.1	10p
ABI1P1	14q22.3	326268	14	q	22.3	14q
ABI2	2q33.2	10152	2	q	33.2	2q
ABI3	17q21.32	51225	17	q	21.32	17q
ABI3BP	3q12.2	25890	3	q	12.2	3q
ABITRAM	9q31.3	54942	9	q	31.3	9q
ABITRAMP1	13q14.13	390403	13	q	14.13	13q
ABL1	9q34.12	25	9	q	34.12	9q
ABL2	1q25.2	27	1	q	25.2	1q
ABLIM1	10q25.3	3983	10	q	25.3	10q
ABLIM2	4p16.1	84448	4	p	16.1	4p
ABLIM3	5q32	22885	5	q	32	5q
ABO	9q34.2	28	9	q	34.2	9q
ABR	17p13.3	29	17	p	13.3	17p
ABR-AS1	17p13.3	105371479	17	p	13.3	17p
ABRA	8q23.1	137735	8	q	23.1	8q
ABRACL	6q24.1	58527	6	q	24.1	6q
ABRAXAS1	4q21.23	84142	4	q	21.23	4q
ABRAXAS1P1	3q12.2	100421580	3	q	12.2	3q
ABRAXAS1P2	8p22	100133073	8	p	22	8p
ABRAXAS2	10q26.13	23172	10	q	26.13	10q
ABT1	6p22.2	29777	6	p	22.2	6p
ABT1P1	4q23	100420695	4	q	23	4q
ABTB1	3q21.3	80325	3	q	21.3	3q
ABTB2	11p13	25841	11	p	13	11p
ABTB3	12q23.3	121551	12	q	23.3	12q
ACAA1	3p22.2	30	3	p	22.2	3p
ACAA2	18q21.1	10449	18	q	21.1	18q
ACAA2P1	Xp11.23	100420869	X	p	11.23	Xp
ACACA	17q12	31	17	q	12	17q
ACACB	12q24.11	32	12	q	24.11	12q
ACAD8	11q25	27034	11	q	25	11q
ACAD9	3q21.3	28976	3	q	21.3	3q
ACAD9-DT	3q21.3	123706524	3	q	21.3	3q
ACAD10	12q24.12	80724	12	q	24.12	12q
ACAD11	3q22.1	84129	3	q	22.1	3q
ACADL	2q34	33	2	q	34	2q
ACADM	1p31.1	34	1	p	31.1	1p
ACADS	12q24.31	35	12	q	24.31	12q
ACADSB	10q26.13	36	10	q	26.13	10q
ACADVL	17p13.1	37	17	p	13.1	17p
ACAN	15q26.1	176	15	q	26.1	15q
ACAP1	17p13.1	9744	17	p	13.1	17p
ACAP2	3q29	23527	3	q	29	3q
ACAP3	1p36.33	116983	1	p	36.33	1p
ACAT1	11q22.3	38	11	q	22.3	11q
ACAT2	6q25.3	39	6	q	25.3	6q
ACBD3	1q42.12	64746	1	q	42.12	1q
ACBD3-AS1	1q42.12	107985353	1	q	42.12	1q
ACBD4	17q21.31	79777	17	q	21.31	17q
ACBD5	10p12.1	91452	10	p	12.1	10p
ACBD6	1q25.2-q25.3	84320	1	q	25.2	1q
ACBD7	10p13	414149	10	p	13	10p
ACCS	11p11.2	84680	11	p	11.2	11p
ACCSL	11p11.2	390110	11	p	11.2	11p
ACCSLP1	6p24.3	100422646	6	p	24.3	6p
ACD	16q22.1	65057	16	q	22.1	16q
ACE	17q23.3	1636	17	q	23.3	17q
ACE2	Xp22.2	59272	X	p	22.2	Xp
ACE2-DT	Xp22.2	104798195	X	p	22.2	Xp
ACE3P	17q23.3	100129123	17	q	23.3	17q
ACER1	19p13.3	125981	19	p	13.3	19p
ACER2	9p22.1	340485	9	p	22.1	9p
ACER2P1	2q33.3	645978	2	q	33.3	2q
ACER3	11q13.5	55331	11	q	13.5	11q
ACER3-AS1	11q13.5	124902721	11	q	13.5	11q
ACHE	7q22.1	43	7	q	22.1	7q
ACIN1	14q11.2	22985	14	q	11.2	14q
ACKR1	1q23.2	2532	1	q	23.2	1q
ACKR2	3p22.1	1238	3	p	22.1	3p
ACKR3	2q37.3	57007	2	q	37.3	2q
ACKR4	3q22.1	51554	3	q	22.1	3q
ACKR4P1	6q24.1	285737	6	q	24.1	6q
ACLY	17q21.2	47	17	q	21.2	17q
ACMSD	2q21.3	130013	2	q	21.3	2q
ACNATP	9q31.1	347275	9	q	31.1	9q
ACO1	9p21.1	48	9	p	21.1	9p
ACO2	22q13.2	50	22	q	13.2	22q
ACO2P1	22q12.3	441996	22	q	12.3	22q
ACO2P2	1q42.3	343508	1	q	42.3	1q
ACOD1	13q22.3	730249	13	q	22.3	13q
ACOT1	14q24.3	641371	14	q	24.3	14q
ACOT2	14q24.3	10965	14	q	24.3	14q
ACOT4	14q24.3	122970	14	q	24.3	14q
ACOT6	14q24.3	641372	14	q	24.3	14q
ACOT7	1p36.31	11332	1	p	36.31	1p
ACOT8	20q13.12	10005	20	q	13.12	20q
ACOT9	Xp22.11	23597	X	p	22.11	Xp
ACOT11	1p32.3	26027	1	p	32.3	1p
ACOT12	5q14.1	134526	5	q	14.1	5q
ACOT13	6p22.3	55856	6	p	22.3	6p
ACOX1	17q25.1	51	17	q	25.1	17q
ACOX2	3p14.3	8309	3	p	14.3	3p
ACOX3	4p16.1	8310	4	p	16.1	4p
ACOXL	2q13	55289	2	q	13	2q
ACOXL-AS1	2q13	400997	2	q	13	2q
ACP1	2p25.3	52	2	p	25.3	2p
ACP2	11p11.2	53	11	p	11.2	11p
ACP3	3q22.1	55	3	q	22.1	3q
ACP4	19q13.33	93650	19	q	13.33	19q
ACP5	19p13.2	54	19	p	13.2	19p
ACP6	1q21.2	51205	1	q	21.2	1q
ACP7	19q13.2	390928	19	q	13.2	19q
ACR	22q13.33	49	22	q	13.33	22q
ACRBP	12p13.31	84519	12	p	13.31	12p
ACRP1	2q14.1	645529	2	q	14.1	2q
ACRV1	11q24.2	56	11	q	24.2	11q
ACSBG1	15q25.1	23205	15	q	25.1	15q
ACSBG2	19p13.3	81616	19	p	13.3	19p
ACSF2	17q21.33	80221	17	q	21.33	17q
ACSF3	16q24.3	197322	16	q	24.3	16q
ACSL1	4q35.1	2180	4	q	35.1	4q
ACSL3	2q36.1	2181	2	q	36.1	2q
ACSL3-AS1	2q36.1	105373904	2	q	36.1	2q
ACSL3P1	3q22.1	100421637	3	q	22.1	3q
ACSL4	Xq23	2182	X	q	23	Xq
ACSL5	10q25.2	51703	10	q	25.2	10q
ACSL6	5q31.1	23305	5	q	31.1	5q
ACSL6-AS1	5q31.1	101927693	5	q	31.1	5q
ACSM1	16p12.3	116285	16	p	12.3	16p
ACSM2A	16p12.3	123876	16	p	12.3	16p
ACSM2B	16p12.3	348158	16	p	12.3	16p
ACSM3	16p12.3	6296	16	p	12.3	16p
ACSM4	12p13.31	341392	12	p	13.31	12p
ACSM5	16p12.3	54988	16	p	12.3	16p
ACSM5P1	16p12.3	100421779	16	p	12.3	16p
ACSM6	10q23.33	142827	10	q	23.33	10q
ACSS1	20p11.21	84532	20	p	11.21	20p
ACSS2	20q11.22	55902	20	q	11.22	20q
ACSS3	12q21.31	79611	12	q	21.31	12q
ACTA1	1q42.13	58	1	q	42.13	1q
ACTA2	10q23.31	59	10	q	23.31	10q
ACTA2-AS1	10q23.31	100132116	10	q	23.31	10q
ACTB	7p22.1	60	7	p	22.1	7p
ACTBL2	5q11.2	345651	5	q	11.2	5q
ACTBP1	Xp11.3	643309	X	p	11.3	Xp
ACTBP2	5q14.1	62	5	q	14.1	5q
ACTBP3	18q21.33	63	18	q	21.33	18q
ACTBP4	5q31.1	64	5	q	31.1	5q
ACTBP6	8q21.2	66	8	q	21.2	8q
ACTBP7	15q15.3	67	15	q	15.3	15q
ACTBP8	6q15	68	6	q	15	6q
ACTBP9	18q21.33	69	18	q	21.33	18q
ACTBP10	14q11.2	446207	14	q	11.2	14q
ACTBP11	1q41	644220	1	q	41	1q
ACTBP12	1p22.1	100462767	1	p	22.1	1p
ACTBP14	10q22.1	389976	10	q	22.1	10q
ACTBP15	22q13.2	391334	22	q	13.2	22q
ACTBP16	3q26.33	100132223	3	q	26.33	3q
ACTC1	15q14	70	15	q	14	15q
ACTE1P	11q13.4	399923	11	q	13.4	11q
ACTG1	17q25.3	71	17	q	25.3	17q
ACTG1P1	3q23	73	3	q	23	3q
ACTG1P2	Yq11.222	74	Y	q	11.222	Yq
ACTG1P3	20p13	75	20	p	13	20p
ACTG1P4	1p21.1	648740	1	p	21.1	1p
ACTG1P6	1p21	78	1	p	21	1p
ACTG1P7	1p21	79	1	p	21	1p
ACTG1P8	1p21	80	1	p	21	1p
ACTG1P9	6p12.3	82	6	p	12.3	6p
ACTG1P10	Xp11.22	83	X	p	11.22	Xp
ACTG1P11	Yq11.222	414754	Y	q	11.222	Yq
ACTG1P12	3p25.2	100418921	3	p	25.2	3p
ACTG1P13	3q12.1	100418920	3	q	12.1	3q
ACTG1P14	9p24.1	100418910	9	p	24.1	9p
ACTG1P15	15q14	100418951	15	q	14	15q
ACTG1P16	16q12.1	100418960	16	q	12.1	16q
ACTG1P17	15q25.2	283693	15	q	25.2	15q
ACTG1P18	6q16.3	100418924	6	q	16.3	6q
ACTG1P19	9q31.1	644160	9	q	31.1	9q
ACTG1P20	1p36.11	644961	1	p	36.11	1p
ACTG1P21	1p31.1	100131291	1	p	31.1	1p
ACTG1P22	2p16.1	100131953	2	p	16.1	2p
ACTG1P23	3q26.31	442097	3	q	26.31	3q
ACTG1P24	17p11.2	441783	17	p	11.2	17p
ACTG1P25	1q32.1	148709	1	q	32.1	1q
ACTG2	2p13.1	72	2	p	13.1	2p
ACTL6A	3q26.33	86	3	q	26.33	3q
ACTL6B	7q22.1	51412	7	q	22.1	7q
ACTL7A	9q31.3	10881	9	q	31.3	9q
ACTL7B	9q31.3	10880	9	q	31.3	9q
ACTL8	1p36.13	81569	1	p	36.13	1p
ACTL9	19p13.2	284382	19	p	13.2	19p
ACTL10	20q11.22	170487	20	q	11.22	20q
ACTL11P	3p21.31	389120	3	p	21.31	3p
ACTMAP	19q13.2	284325	19	q	13.2	19q
ACTN1	14q24.1	87	14	q	24.1	14q
ACTN1-DT	14q24.1	161159	14	q	24.1	14q
ACTN2	1q43	88	1	q	43	1q
ACTN3	11q13.2	89	11	q	13.2	11q
ACTN4	19q13.2	81	19	q	13.2	19q
ACTN4P1	4q26	344978	4	q	26	4q
ACTN4P2	1p34.3	391026	1	p	34.3	1p
ACTP1	2q12.3	106480335	2	q	12.3	2q
ACTR1A	10q24.32	10121	10	q	24.32	10q
ACTR1AP1	2q13	100287074	2	q	13	2q
ACTR1B	2q11.2	10120	2	q	11.2	2q
ACTR2	2p14	10097	2	p	14	2p
ACTR2P1	22q11.23	100421614	22	q	11.23	22q
ACTR2P2	19p12	284441	19	p	12	19p
ACTR3	2q14.1	10096	2	q	14.1	2q
ACTR3-AS1	2q14.1	101060091	2	q	14.1	2q
ACTR3B	7q36.1-q36.2	57180	7	q	36.1	7q
ACTR3BP1	Yq11.21	643050	Y	q	11.21	Yq
ACTR3BP2	2p11.1	440888	2	p	11.1	2p
ACTR3BP3	16p11.2	647156	16	p	11.2	16p
ACTR3BP4	4q24	777774	4	q	24	4q
ACTR3BP5	10p11.1	399746	10	p	11.1	10p
ACTR3BP6	22q11.1	644773	22	q	11.1	22q
ACTR3BP7	22p11.2	100289004	22	p	11.2	22p
ACTR3C	7q36.1	653857	7	q	36.1	7q
ACTR3P1	14q11.2	100288580	14	q	11.2	14q
ACTR3P2	Xq13.1	100129013	X	q	13.1	Xq
ACTR3P3	3q12.2	100128020	3	q	12.2	3q
ACTR5	20q11.23	79913	20	q	11.23	20q
ACTR6	12q23.1	64431	12	q	23.1	12q
ACTR6P1	4q25	100421495	4	q	25	4q
ACTR8	3p21.1	93973	3	p	21.1	3p
ACTR10	14q23.1	55860	14	q	23.1	14q
ACTRT1	Xq25	139741	X	q	25	Xq
ACTRT1P1	Xq25	100128268	X	q	25	Xq
ACTRT2	1p36.32	140625	1	p	36.32	1p
ACTRT3	3q26.2	84517	3	q	26.2	3q
ACVR1	2q24.1	90	2	q	24.1	2q
ACVR1B	12q13.13	91	12	q	13.13	12q
ACVR1C	2q24.1	130399	2	q	24.1	2q
ACVR2A	2q22.3-q23.1	92	2	q	22.3	2q
ACVR2B	3p22.2	93	3	p	22.2	3p
ACVR2B-AS1	3p22.2	100128640	3	p	22.2	3p
ACVRL1	12q13.13	94	12	q	13.13	12q
ACY1	3p21.2	95	3	p	21.2	3p
ACY3	11q13.2	91703	11	q	13.2	11q
ACYP1	14q24.3	97	14	q	24.3	14q
ACYP2	2p16.2	98	2	p	16.2	2p
ADA	20q13.12	100	20	q	13.12	20q
ADA2	22q11.1	51816	22	q	11.1	22q
ADAD1	4q27	132612	4	q	27	4q
ADAD1P1	3p22.2	100422386	3	p	22.2	3p
ADAD1P2	18q21.1	100422407	18	q	21.1	18q
ADAD2	16q24.1	161931	16	q	24.1	16q
ADAM1A	12q24.12-q24.13	8759	12	q	24.12	12q
ADAM1B	12q24.13	100420505	12	q	24.13	12q
ADAM2	8p11.22	2515	8	p	11.22	8p
ADAM3A	8p11.22	1587	8	p	11.22	8p
ADAM3B	16q12.1	1596	16	q	12.1	16q
ADAM5	8p11.22	255926	8	p	11.22	8p
ADAM6	14q32.33	8755	14	q	32.33	14q
ADAM7	8p21.2	8756	8	p	21.2	8p
ADAM7-AS1	8p21.2	101929294	8	p	21.2	8p
ADAM7-AS2	8p21.2	101929315	8	p	21.2	8p
ADAM8	10q26.3	101	10	q	26.3	10q
ADAM9	8p11.22	8754	8	p	11.22	8p
ADAM10	15q21.3	102	15	q	21.3	15q
ADAM11	17q21.31	4185	17	q	21.31	17q
ADAM12	10q26.2	8038	10	q	26.2	10q
ADAM15	1q21.3	8751	1	q	21.3	1q
ADAM17	2p25.1	6868	2	p	25.1	2p
ADAM18	8p11.22	8749	8	p	11.22	8p
ADAM19	5q33.3	8728	5	q	33.3	5q
ADAM20	14q24.2	8748	14	q	24.2	14q
ADAM20P1	14q24.2	317760	14	q	24.2	14q
ADAM20P2	4q34.2	100533671	4	q	34.2	4q
ADAM20P3	4q35.2	644325	4	q	35.2	4q
ADAM21	14q24.2	8747	14	q	24.2	14q
ADAM21P1	14q24.2	145241	14	q	24.2	14q
ADAM22	7q21.12	53616	7	q	21.12	7q
ADAM23	2q33.3	8745	2	q	33.3	2q
ADAM24P	8p22	646479	8	p	22	8p
ADAM28	8p21.2	10863	8	p	21.2	8p
ADAM29	4q34.1	11086	4	q	34.1	4q
ADAM30	1p12	11085	1	p	12	1p
ADAM32	8p11.22	203102	8	p	11.22	8p
ADAM33	20p13	80332	20	p	13	20p
ADAMDEC1	8p21.2	27299	8	p	21.2	8p
ADAMTS1	21q21.3	9510	21	q	21.3	21q
ADAMTS2	5q35.3	9509	5	q	35.3	5q
ADAMTS3	4q13.3	9508	4	q	13.3	4q
ADAMTS4	1q23.3	9507	1	q	23.3	1q
ADAMTS5	21q21.3	11096	21	q	21.3	21q
ADAMTS6	5q12.3	11174	5	q	12.3	5q
ADAMTS7	15q25.1	11173	15	q	25.1	15q
ADAMTS7P1	15q25.2	390660	15	q	25.2	15q
ADAMTS7P3	15q24.3	400406	15	q	24.3	15q
ADAMTS7P4	15q25.3	642935	15	q	25.3	15q
ADAMTS7P5	22q13.2	100422416	22	q	13.2	22q
ADAMTS8	11q24.3	11095	11	q	24.3	11q
ADAMTS9	3p14.1	56999	3	p	14.1	3p
ADAMTS9-AS1	3p14.1	101929335	3	p	14.1	3p
ADAMTS9-AS2	3p14.1	100507098	3	p	14.1	3p
ADAMTS10	19p13.2	81794	19	p	13.2	19p
ADAMTS12	5p13.3-p13.2	81792	5	p	13.3	5p
ADAMTS13	9q34.2	11093	9	q	34.2	9q
ADAMTS14	10q22.1	140766	10	q	22.1	10q
ADAMTS15	11q24.3	170689	11	q	24.3	11q
ADAMTS16	5p15.32	170690	5	p	15.32	5p
ADAMTS16-DT	5p15.32	101929176	5	p	15.32	5p
ADAMTS17	15q26.3	170691	15	q	26.3	15q
ADAMTS18	16q23.1	170692	16	q	23.1	16q
ADAMTS19	5q23.3	171019	5	q	23.3	5q
ADAMTS19-AS1	5q23.3	103689846	5	q	23.3	5q
ADAMTS20	12q12	80070	12	q	12	12q
ADAMTSL1	9p22.2-p22.1	92949	9	p	22.2	9p
ADAMTSL2	9q34.2	9719	9	q	34.2	9q
ADAMTSL3	15q25.2	57188	15	q	25.2	15q
ADAMTSL4	1q21.2	54507	1	q	21.2	1q
ADAMTSL4-AS2	1q21.2	100289061	1	q	21.2	1q
ADAMTSL5	19p13.3	339366	19	p	13.3	19p
ADAP1	7p22.3	11033	7	p	22.3	7p
ADAP2	17q11.2	55803	17	q	11.2	17q
ADAR	1q21.3	103	1	q	21.3	1q
ADARB1	21q22.3	104	21	q	22.3	21q
ADARB2	10p15.3	105	10	p	15.3	10p
ADARB2-AS1	10p15.3	642394	10	p	15.3	10p
ADAT1	16q23.1	23536	16	q	23.1	16q
ADAT2	6q24.2	134637	6	q	24.2	6q
ADAT3	19p13.3	113179	19	p	13.3	19p
ADCK1	14q24.3	57143	14	q	24.3	14q
ADCK2	7q34	90956	7	q	34	7q
ADCK5	8q24.3	203054	8	q	24.3	8q
ADCY1	7p12.3	107	7	p	12.3	7p
ADCY2	5p15.31	108	5	p	15.31	5p
ADCY3	2p23.3	109	2	p	23.3	2p
ADCY4	14q12	196883	14	q	12	14q
ADCY5	3q21.1	111	3	q	21.1	3q
ADCY6	12q13.12	112	12	q	13.12	12q
ADCY6-DT	12q13.12	100506125	12	q	13.12	12q
ADCY7	16q12.1	113	16	q	12.1	16q
ADCY8	8q24.22	114	8	q	24.22	8q
ADCY9	16p13.3	115	16	p	13.3	16p
ADCY10	1q24.2	55811	1	q	24.2	1q
ADCY10P1	6p21.1	221442	6	p	21.1	6p
ADCYAP1	18p11.32	116	18	p	11.32	18p
ADCYAP1R1	7p14.3	117	7	p	14.3	7p
ADD1	4p16.3	118	4	p	16.3	4p
ADD2	2p13.3	119	2	p	13.3	2p
ADD3	10q25.1-q25.2	120	10	q	25.1	10q
ADD3-AS1	10q25.1	100505933	10	q	25.1	10q
ADGB	6q24.3	79747	6	q	24.3	6q
ADGB-DT	6q24.3	101928661	6	q	24.3	6q
ADGRA1	10q26.3	84435	10	q	26.3	10q
ADGRA2	8p11.23	25960	8	p	11.23	8p
ADGRA3	4p15.2	166647	4	p	15.2	4p
ADGRA3P1	18p11.21	100996333	18	p	11.21	18p
ADGRB1	8q24.3	575	8	q	24.3	8q
ADGRB2	1p35.2	576	1	p	35.2	1p
ADGRB3	6q12-q13	577	6	q	12	6q
ADGRB3-DT	6q12	101928307	6	q	12	6q
ADGRD1	12q24.33	283383	12	q	24.33	12q
ADGRD1-AS1	12q24.33	105755954	12	q	24.33	12q
ADGRD2	9q33.3	347088	9	q	33.3	9q
ADGRE1	19p13.3-p13.2	2015	19	p	13.3	19p
ADGRE2	19p13.12	30817	19	p	13.12	19p
ADGRE3	19p13.12	84658	19	p	13.12	19p
ADGRE4P	19p13.2	326342	19	p	13.2	19p
ADGRE5	19p13.12	976	19	p	13.12	19p
ADGRF1	6p12.3	266977	6	p	12.3	6p
ADGRF2P	6p12.3	222611	6	p	12.3	6p
ADGRF3	2p23.3	165082	2	p	23.3	2p
ADGRF4	6p12.3	221393	6	p	12.3	6p
ADGRF5	6p12.3	221395	6	p	12.3	6p
ADGRF5-AS1	6p12.3	101926962	6	p	12.3	6p
ADGRF5P1	9q13	389740	9	q	13	9q
ADGRF5P2	9p11.1	441416	9	p	11.1	9p
ADGRG1	16q21	9289	16	q	21	16q
ADGRG2	Xp22.13	10149	X	p	22.13	Xp
ADGRG3	16q21	222487	16	q	21	16q
ADGRG4	Xq26.3	139378	X	q	26.3	Xq
ADGRG5	16q21	221188	16	q	21	16q
ADGRG6	6q24.2	57211	6	q	24.2	6q
ADGRG7	3q12.2	84873	3	q	12.2	3q
ADGRL1	19p13.12	22859	19	p	13.12	19p
ADGRL1-AS1	19p13.12	100507373	19	p	13.12	19p
ADGRL2	1p31.1	23266	1	p	31.1	1p
ADGRL3	4q13.1	23284	4	q	13.1	4q
ADGRL3-AS1	4q13.1	101927186	4	q	13.1	4q
ADGRL4	1p31.1	64123	1	p	31.1	1p
ADGRV1	5q14.3	84059	5	q	14.3	5q
ADH1A	4q23	124	4	q	23	4q
ADH1B	4q23	125	4	q	23	4q
ADH1C	4q23	126	4	q	23	4q
ADH4	4q23	127	4	q	23	4q
ADH5	4q23	128	4	q	23	4q
ADH5P2	1p31.1	343296	1	p	31.1	1p
ADH5P3	1q43	100131810	1	q	43	1q
ADH5P4	6q12	642443	6	q	12	6q
ADH6	4q23	130	4	q	23	4q
ADH7	4q23	131	4	q	23	4q
ADHFE1	8q13.1	137872	8	q	13.1	8q
ADI1	2p25.3	55256	2	p	25.3	2p
ADI1P1	20q12	100130936	20	q	12	20q
ADI1P2	8q22.3	100288971	8	q	22.3	8q
