Symbol	ComplexName
AMOT	AMOT-MPP5-NF2-PATJ complex|Amot-cadherin-11-beta-catenin-p120 complex|RICH1/AMOT polarity complex, Flag-Amot precipitated|RICH1/AMOT polarity complex, Flag-Rich1 precipitated
AMOTL1	RICH1/AMOT polarity complex, Flag-Amot precipitated
AMOTL2	RICH1/AMOT polarity complex, Flag-Amot precipitated
ANAPC1	APC/C complex|APC/C complex, 1.5 MDa|APC/C-ANAPC16 complex|Anaphase-promoting complex
ANAPC10	Anaphase-promoting complex|SMAD3-HEF1-APC10-CDH1 complex
ANAPC11	APC/C complex, 1.5 MDa
ANAPC16	APC/C-ANAPC16 complex
ANAPC2	APC/C complex|APC/C complex, 1.5 MDa|APC/C-ANAPC16 complex|Anaphase-promoting complex
ANAPC4	APC/C complex, 1.5 MDa|APC/C-ANAPC16 complex|Anaphase-promoting complex
ANAPC5	APC/C complex|APC/C complex, 1.5 MDa|APC/C-ANAPC16 complex|Anaphase-promoting complex
ANAPC7	APC/C complex|APC/C complex, 1.5 MDa|APC/C-ANAPC16 complex|Anaphase-promoting complex
ANG	Angiogenin-PRI complex
ANGPTL4	ANGPTL4-LRP6-SDC1 complex|ANGPTL4-LRP6-SDC2 complex|ANGPTL4-LRP6-SDC4 complex
ANK3	RhBG-kAE1-ankyrin-G complex
ANKRA2	ANKRA2-CCDC8-OBSL1-CUL7 complex
ANKRD1	ANKRD1-IRF3 complex|ANKRD1-NFKB1 complex
ANKRD11	ANKRD11-HDAC3  complex
ANKRD28	ANKRD28-PPP6C-PPP6R1 complex|ANKRD28-PPP6C-PPP6R3 complex|PP6 holoenzyme|TNF-alpha/NF-kappa B signaling complex (CHUK, BTRC, NFKB2, PPP6C, REL, CUL1, IKBKE, SAPS2, SAPS1, ANKRD28, RELA, SKP1)
ANKRD44	ANKRD44-PPP6C-PPP6R1 complex|PP6 holoenzyme
ANKRD52	ANKRD52-PPP6C-PPP6R1 complex|PP6 holoenzyme
ANKS1A	ANKS1A-EPHA8-RINL complex
ANKS6	ANKS6-NEK8-INVS-NPHP3 complex
ANO1	ANO1-KCNE1 complex|ANO1-KCNE5 complex
ANOS1	FGFR1-KAL11 complex
ANP32A	ACTB-ANP32A-C1QBP-PSMA1-PTMA-PSMA1 complex|ANP32A-ANP32B-PSMA3-PTMA-SLC25A5 complex|ANP32A-APEX1-HMG2-NME1-SET complex|ProTalpha C5 complex|ProTalpha C7 complex|ProTalpha C8 complex|Set/TAF-I beta-TAF-I alpha-PP32 complex
ANP32B	ANP32A-ANP32B-PSMA3-PTMA-SLC25A5 complex|ProTalpha C7 complex|ProTalpha C8 complex
ANP32E	H2A.Z histone-exchange complex p400/TIP60
ANXA2	ABCB1-ANXA2-RACK1-SRC complex|ANXA2-MMP2-WFDC2 complex
ANXA7	Synexin-sorcin complex
AP1AR	Gamma-BAR-AP1 complex
AP1B1	AP1 adaptor complex|AP1B1-AP1G2-AP1M1-AP1S1 complex|Gamma-BAR-AP1 complex
AP1G1	AP1 adaptor complex|AP1G1-LZTFL1-TFRC complex|AP1G1-PACS1-FURIN complex|AP1G1-RABEP1 complex|Gamma-BAR-AP1 complex
AP1G2	AP1 adaptor complex|AP1B1-AP1G2-AP1M1-AP1S1 complex|Gamma-BAR-AP1 complex
AP1M1	AP1 adaptor complex|AP1B1-AP1G2-AP1M1-AP1S1 complex|Gamma-BAR-AP1 complex
AP1M2	AP1 adaptor complex|Gamma-BAR-AP1 complex
AP1S1	AP1 adaptor complex|AP1B1-AP1G2-AP1M1-AP1S1 complex|Gamma-BAR-AP1 complex
AP1S2	AP1 adaptor complex|Gamma-BAR-AP1 complex
AP1S3	AP1 adaptor complex|Gamma-BAR-AP1 complex
AP2A1	AP2-PICALM adaptor complex|RalBP1-CCNB1-AP2A-NUMB-EPN1 complex|Stargazin-AP-2-AP-3a complex
AP2B1	AP2-PICALM adaptor complex
AP2M1	AP2-PICALM adaptor complex|Stargazin-Glu1-mu2 complex|Stargazin-Glu2A-mu2 complex
AP3B1	AP3 adaptor complex|AP3-BLOC1 complex|PI4K2A-WASH complex
AP3B2	AP3 adaptor complex
AP3D1	AP-3-KIF3A-RAB4A-RBSN complex|AP3 adaptor complex|AP3-BLOC1 complex|AP3D1-AP3S1 complex|AP3D1-AP3S2 complex|Stargazin-AP-2-AP-3a complex
AP3M1	AP3 adaptor complex|AP3-BLOC1 complex
AP3M2	AP3 adaptor complex|Stargazin-Glu1-mu3 complex|Stargazin-Glu2A-mu3 complex
AP3S1	AP-3-KIF3A-RAB4A-RBSN complex|AP3 adaptor complex|AP3-BLOC1 complex|AP3D1-AP3S1 complex
AP3S2	AP3 adaptor complex|AP3D1-AP3S2 complex
AP4B1	AP4 adaptor complex
AP4E1	AP4 adaptor complex
AP4M1	AP4 adaptor complex
AP4S1	AP4 adaptor complex
AP5B1	AP5 adaptor complex|AP5-SPG11-SPG15 complex
AP5M1	AP5 adaptor complex|AP5-SPG11-SPG15 complex
AP5S1	AP5 adaptor complex|AP5-SPG11-SPG15 complex
AP5Z1	AP5 adaptor complex|AP5-SPG11-SPG15 complex
APAF1	Apoptosome|Apoptosome, 700 kDa|Aposome complex|Procaspase 7-APAF1 complex
APBA1	CASK-LIN7C-APBA1 complex|LIN2-LIN7-SAP97-MINT1 complex
APBB1	APBB1-TSHZ3-HDAC1 complex|APP-APBB1-KAT5 complex|APP695-APBB1-LRP1 complex
APBB1IP	RIAM-Rap1-GTP complex|RIAM-Rap1-GTP-profilin complex|RIAM-VASP complex|RIAM-profilin complex
APC	60S APC containing complex|APC-AXIN1-CTNNB1 complex|APC-DLG4 complex|APC-IQGAP1 complex|APC-IQGAP1-CLIP-170 complex|APC-IQGAP1-Cdc42 complex|APC-IQGAP1-Rac1 complex|AXIN1-APC-CTNNB1-GSK3B complex|SCRIB-APC complex
APEX1	9-1-1-APE1 complex|ANP32A-APEX1-HMG2-NME1-SET complex|VEGF transcriptional complex
APH1A	APH1A-PSEN1-NCSTN complex|APH1A-PSEN2-NCSTN complex|CD147-gamma-secretase complex|Gamma-secretase complex (APH1A, NCSTN, PSENEN, PSEN1, TMP21)|Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN)|Gamma-secretase complex (APH1A, PSEN2, PSENEN, NCSTN)|Gamma-secretase-Delta1 complex
APH1B	Gamma-secretase complex (APH1B, PSEN1, PSENEN, NCSTN)|Gamma-secretase complex (APH1B, PSEN2, PSENEN, NCSTN)
API5	Emerin complex 52|FIF-FGR2 complex
APOA1	APOA1-BCHE complex|APOL1 complex A (APOL1, APOA1, HPR, C3)|APOL1 complex B (APOL1, APOA1, HPR, FN1, IGHM)
APOB	APOB-BCHE complex
APOL1	APOL1 complex A (APOL1, APOA1, HPR, C3)|APOL1 complex B (APOL1, APOA1, HPR, FN1, IGHM)
APOO	MIB complex, mitochondrial|MICOS complex, mitochondrial|MICOS subcomplex (APOO, IMMT), mitochondrial
APOOL	MIB complex, mitochondrial|MICOS complex, mitochondrial
APP	APP(AICD)-FOXO1 complex|APP(AICD)-FOXO3 complex|APP(AICD)-FOXO4 complex|APP-APBB1-KAT5 complex|APP-Abeta42-VDAC1 complex|APP-PSEN1 complex|APP-PSEN2 complex|APP-TIMM23 complex, mitochondrial|APP-TNFRSF21 complex|APP-TOMM40 complex, mitochondrial|APP695-APBB1-LRP1 complex|Abeta(40/42) oligomer complex|Amyloid-beta protein 40-42 oligomeric complex
APPL1	AKT1-APPL1-HDAC3 complex|AR-AKT-APPL complex
AQP1	AQP1 homotetramer
AQP4	HEPACAM-MLC1-Na,K-ATPase-Kir4.1-AQP4-TRPV4 complex|MLC1-Na,K-ATPase-Kir4.1-AQP4-TRPV4-syntrophin complex
AQR	AQR-ISY1-PPIE-PRPF19-XAB2-ZNF830 complex|C complex spliceosome|PPIE-AQR-XAB2-ISY1-ZNF830 complex|Spliceosome, C complex
AR	AOF2-AR complex|AR-AKT-APPL complex|AR-DTX3L-PARP9 complex|AR-MAGEA11 complex|DJ-1-DJBP-AR complex|ERbeta-AR complex|ICAT-AR-beta-catenin complex|MAK-ACTR-AR complex
ARAF	ARAF-PIK3R1 complex
ARF1	ARF1-ARFIP2-ARL1-PKD2 complex
ARFIP2	ARF1-ARFIP2-ARL1-PKD2 complex
ARHGAP10	Cell-cell junction complex (ARHGAP10, CTNNA1, CTNNB1)
ARHGAP17	RICH1-PAR3-aPKC polarity complex|RICH1/AMOT polarity complex, Flag-Amot precipitated|RICH1/AMOT polarity complex, Flag-Rich1 precipitated
ARHGAP8	BNIP2-ARHGAP8 complex
ARHGEF1	ARHGEF1-GNA14 complex|PI4K2A-WASH complex
ARHGEF18	ARRB1-ARHGEF18-ENAH complex, induce by EDN-1
ARHGEF2	ARHGEF2-MAPK1-MAPK3-PXN complex|PI4K2A-WASH complex
ARHGEF25	GNAQ-GEFT-RHOA complex
ARHGEF6	ILK-PARVB-ARHGEF6 complex|PARVB-ARHGEF6 complex
ARHGEF7	ARHGEF7-GIT2-PAK1 complex|GIT1-ARHGEF7-PAK1-PXN complex|SCRIB-GIT1-ARHGEF7 complex|SCRIB-GIT1-ARHGEF7-PAK1 complex
ARID1A	BAF complex|BRD7-SWI\u2013SNF complex|BRG1-SIN3A complex|BRG1-SIN3A-HDAC containing SWI/SNF remodeling complex I|BRG1-associated complex|BRM-SIN3A complex|BRM-SIN3A-HDAC complex|BRM-associated complex|Brg1-associated complex I|Brg1-associated complex II|Brm-associated complex|EBAFa complex|LARC complex (LCR-associated remodeling complex)|NUMAC complex (nucleosomal methylation activator complex)|SIN3-ING1b complex II|SWI-SNF chromatin remodeling-related-BRCA1 complex|Spliceosome, E complex|WINAC complex|cBAF complex|p300-CBP-p270 complex|p300-CBP-p270-SWI/SNF complex
ARID1B	BAF complex|EBAFb complex|RSmad complex|Spliceosome, E complex|cBAF complex
ARID2	PBAF complex|PBAF complex (Polybromo- and BAF containing complex)|PBAF complex, BAF200-specific|Spliceosome, E complex
ARID4A	ING2 complex
ARID4B	BRMS1-RBP1 complex|ING2 complex|SAP complex (Sin3-associated protein complex)|SIN3-HDAC-SAP30-ARID4 complex|SIN3-ING1b complex I|SIN3-ING1b complex II|SIN3-SAP25 complex|mSin3A corepressor complex
ARL1	ARF1-ARFIP2-ARL1-PKD2 complex
ARL2	ARL2-TBCD complex|TBCD-ARL2-tubulin(beta) complex|TBCD-ARL2-tubulin(beta)-TBCE complex
ARL3	ARL3-RP2-UNC119 complex
ARMC8	CTLH complex|CTLH complex, 20S|CTLH complex, submodule of the IFT/lebercilin complex|GID/CTLH ubiquitin E3 ligase complex
ARNT	AHR-ARNT complex|ARNT-HIF1A complex|ARNT-HLF complex|NEMO-HIF2(alpha)-ARNT complex|Ubiquitin E3 ligase (AHR, ARNT, DDB1, TBL3, CUL4B, RBX1)
ARNTL	ARNTL-EPAS1 complex|ARNTL-HIF1A complex|ARNTL-NPAS2 complex|CRY1-Core clock complex|Core clock complex
ARPC1B	Arp2/3 protein complex
ARPC2	Arp2/3 protein complex
ARPC3	Arp2/3 protein complex
ARPC4	Arp2/3 protein complex
ARPC5	Arp2/3 protein complex
ARRB1	ARRB1-ARHGEF18-ENAH complex, induce by EDN-1
ARRB2	ARRB2-GNB1-GNG2-PTH1R complex|MKK4-ARRB2-ASK1 complex|MKK4-ARRB2-JNK3 complex|RXFP1 signalosome|S1PR1\u2013beta-arrestin 2 complex, ApoM(+)HDL-S1P stimulated
ARTN	ARTN-GFRA3-RET comples
ASAH1	ASAH1-NR5A1 complex|ASAH1-NR5A1-SAPD complex
ASAP1	ASAP1-CTTN-PXN complex|ASAP1-RAB11A-RAB11FIP3 complex
ASB1	Ubiquitin E3 ligase (ASB1, TCEB1, TCEB2, CUL5, RNF7)
ASB12	Ubiquitin E3 ligase (ASB12, TCEB1, TCEB2, CUL5, RNF7)
ASB2	Ubiquitin E3 ligase (ASB2, TCEB1, TCEB2, CUL5, RNF7)
ASB6	Ubiquitin E3 ligase (ASB6, TCEB1, TCEB2, CUL5, RNF7)
ASB7	Ubiquitin E3 ligase (ASB7, TCEB1, TCEB2, CUL5, RNF7)
ASB9	Cullin-RING E3 ubiquitin ligase complex (ASB9, CUL5, TCEB1, TCEB2)
ASCC1	hASC-1 complex
ASCC2	hASC-1 complex
ASCC3	hASC-1 complex
ASF1A	ASF1-histone containing complex|ASF1-interacting protein complex|Codanin-1-Asf1\u2013histone H3.1-histone H4\u2013importin-4 complex,  cytosolic|Histone H3.1 complex|Histone H3.3 complex|Histone-2-Histone-4-ASF1A-MCM2 complex
ASF1B	ASF1-histone containing complex|ASF1-interacting protein complex|Histone H3.1 complex|Histone H3.3 complex
ASH2L	ASCOM complex|ASH2L-KDM6B-KDM6B-WDR5 complex|ASH2L-MRTFA complex|HCF-1 complex|MLL-HCF complex|MLL1 complex|MLL1 core complex|MLL1-WDR5 complex|MLL2 complex|MLL3 complex|MLL4 complex|MWRAD complex (MLL1, WDR5, RBBP5, ASH2L, DPY30)|Menin-associated histone methyltransferase complex|NIF1-ASH2L-RBBP5-WDR5 complex|PITX2-MLL4-ASH2L-RBBP5-PTIP complex|PTIP-HMT complex|Set1A complex|Set1B complex|UTX-MLL2/3 complex|WDR5-ASH2L-RBBP5-MLL2 complex|WRA complex (WDR5, RBBP5, ASH2L)|WRAD  complex (WDR5, RBBP5, ASH2L, DPY30)
ASXL1	ASXL1-BAP1 complex|ASXL1-HCFC1-OGT complex
ASXL2	ASXL2-BAP1 complex
ATF2	ATF2-HK1-VDAC1 complex
ATF3	c-Jun-ATF3 complex
ATF4	ATF4-CREB1 complex
ATF7	ATF7-TAF12 complex
ATF7IP	MBD1-MCAF complex|MBD1-MCAF1-SETDB1 complex|SETDB1-containing HMTase complex
ATF7IP2	SP1-MCAF2 complex
ATG101	ATG101-ATG13-RB1CC1-ULK1 complex|WDR41-(C9orf72-SMCR8)-(FIP200-ULK1-ATG13-ATG101) complex
ATG13	ATG101-ATG13-RB1CC1-ULK1 complex|ATG13-RB1CC1-ULK1 complex|ATG13-RB1CC1-ULK2 complex|ULK1-ATG13-ATG14-PIK3C3 complex|WDR41-(C9orf72-SMCR8)-(FIP200-ULK1-ATG13-ATG101) complex
ATG14	ULK1-ATG13-ATG14-PIK3C3 complex|Vps34 Complex I
ATG16L1	TNF-alpha/NF-kappa B signaling complex 10
ATG2B	ATG2B-TRAPPC11-WDR45 complex
ATL1	ATL1 homo-oligomer complex|ATL1-ZFYVE27 complex|SPG3A-SPG4-SPG31 complex
ATL2	ATL2-SPG31 complex|ATL2-ZFYVE27 complex
ATL3	ATL3-SPG31 complex|ATL3-ZFYVE27 complex
ATM	ATM homodimer complex|ATM-NBN complex|BASC (Ab 81) complex (BRCA1-associated genome surveillance complex)|BASC complex (BRCA1-associated genome surveillance complex)|MDC1-MRN-ATM-FANCD2 complex
ATP1B1	HEPACAM-MLC1-Na,K-ATPase-Kir4.1-AQP4-TRPV4 complex|MLC1-Na,K-ATPase-Kir4.1-AQP4-TRPV4-syntrophin complex
ATP2A1	SLN-ATP2A1 complex|SLN-PLN-SERCA1A complex
ATP2A2	ILK-SERCA2A-PLN complex|SERCA-PLN complex|SERCA2a-alphaKAP-CaM-CaMKII complex|SLN-PLN-SERCA2A complex
ATP4A	ATP4A-ATP4B complex
ATP4B	ATP4A-ATP4B complex
ATP5F1A	F1F0-ATPase, mitochondrial
ATP5F1B	F1F0-ATPase, mitochondrial
ATP5F1C	F1F0-ATPase, mitochondrial
ATP5F1D	F1F0-ATPase, mitochondrial
ATP5F1E	F1F0-ATPase, mitochondrial
ATP5IF1	F1F0-ATPase, mitochondrial
ATP5MC1	F1F0-ATPase, mitochondrial
ATP5ME	F1F0-ATPase, mitochondrial
ATP5MF	F1F0-ATPase, mitochondrial
ATP5MG	F1F0-ATPase, mitochondrial|Frataxin complex
ATP5PB	F1F0-ATPase, mitochondrial
ATP5PD	F1F0-ATPase, mitochondrial
ATP5PF	F1F0-ATPase, mitochondrial
ATP5PO	F1F0-ATPase, mitochondrial
ATP6AP2	Renin-PRR complex
ATP6V0C	v-ATPase-Ragulator-AXIN/LKB1-AMPK complex
ATP6V0D1	v-ATPase-Ragulator-AXIN/LKB1-AMPK complex
ATP6V1A	v-ATPase-Ragulator-AXIN/LKB1-AMPK complex
ATP6V1B2	v-ATPase-Ragulator-AXIN/LKB1-AMPK complex
ATP9A	ATP9A-DOP1B-MON2 complex
ATR	ATR-ATRIP complex|ATR-ATRIP-TIM complex|ATR-HDAC2 complex|ATR-HDAC2-CHD4 complex
ATRIP	ATR-ATRIP complex|ATR-ATRIP-TIM complex
ATRX	ATRX-DAXX complex|ATRX-SETDB1-TRIM28-ZNF274 complex
ATXN1	ATXN1-CIC complex
ATXN3	RNF8-ATX3-p97 complex
ATXN7	STAGA complex|STAGA complex, SPT3-linked|TFTC complex (TATA-binding protein-free TAF-II-containing complex)
ATXN7L1	SAGA complex, GCN5-linked
ATXN7L2	SAGA complex, GCN5-linked
