NCBI GeneID	Symbol	Description	Common Name	Transcripts
1906	EDN1	endothelin 1	human	5
6648	SOD2	superoxide dismutase 2	human	9
6667	SP1	Sp1 transcription factor	human	3
9429	ABCG2	ATP binding cassette subfamily G member 2 (JR blood group)	human	11
3934	LCN2	lipocalin 2	human	3
4153	MBL2	mannose binding lectin 2	human	3
5879	RAC1	Rac family small GTPase 1	human	2
3043	HBB	hemoglobin subunit beta	human	1
4312	MMP1	matrix metallopeptidase 1	human	2
6531	SLC6A3	solute carrier family 6 member 3	human	1
1027	CDKN1B	cyclin dependent kinase inhibitor 1B	human	1
1559	CYP2C9	cytochrome P450 family 2 subfamily C member 9	human	1
324	APC	APC regulator of WNT signaling pathway	human	37
5595	MAPK3	mitogen-activated protein kinase 3	human	5
8626	TP63	tumor protein p63	human	13
114548	NLRP3	NLR family pyrin domain containing 3	human	33
185	AGTR1	angiotensin II receptor type 1	human	7
3075	CFH	complement factor H	human	2
3725	JUN	Jun proto-oncogene, AP-1 transcription factor subunit	human	1
3791	KDR	kinase insert domain receptor	human	1
4000	LMNA	lamin A/C	human	28
8743	TNFSF10	TNF superfamily member 10	human	4
3557	IL1RN	interleukin 1 receptor antagonist	human	10
1576	CYP3A4	cytochrome P450 family 3 subfamily A member 4	human	2
338	APOB	apolipoprotein B	human	1
581	BAX	BCL2 associated X, apoptosis regulator	human	10
4282	MIF	macrophage migration inhibitory factor	human	1
3417	IDH1	isocitrate dehydrogenase (NADP(+)) 1	human	3
406938	MIR146A	microRNA 146a	human	1
1588	CYP19A1	cytochrome P450 family 19 subfamily A member 1	human	11
238	ALK	ALK receptor tyrosine kinase	human	5
3949	LDLR	low density lipoprotein receptor	human	10
4255	MGMT	O-6-methylguanine-DNA methyltransferase	human	1
5747	PTK2	protein tyrosine kinase 2	human	223
387	RHOA	ras homolog family member A	human	7
5071	PRKN	parkin RBR E3 ubiquitin protein ligase	human	9
2322	FLT3	fms related receptor tyrosine kinase 3	human	12
23435	TARDBP	TAR DNA binding protein	human	19
4288	MKI67	marker of proliferation Ki-67	human	5
5663	PSEN1	presenilin 1	human	18
2332	FMR1	fragile X messenger ribonucleoprotein 1	human	7
3107	HLA-C	major histocompatibility complex, class I, C	human	2
4982	TNFRSF11B	TNF receptor superfamily member 11b	human	1
54658	UGT1A1	UDP glucuronosyltransferase family 1 member A1	human	1
2033	EP300	E1A binding protein p300	human	2
3082	HGF	hepatocyte growth factor	human	6
6772	STAT1	signal transducer and activator of transcription 1	human	16
7490	WT1	WT1 transcription factor	human	16
929	CD14	CD14 molecule	human	4
19	ABCA1	ATP binding cassette subfamily A member 1	human	1
406947	MIR155	microRNA 155	human	1
4869	NPM1	nucleophosmin 1	human	8
6331	SCN5A	sodium voltage-gated channel alpha subunit 5	human	13
1277	COL1A1	collagen type I alpha 1 chain	human	7
2157	F8	coagulation factor VIII	human	2
4843	NOS2	nitric oxide synthase 2	human	1
6934	TCF7L2	transcription factor 7 like 2	human	17
7428	VHL	von Hippel-Lindau tumor suppressor	human	4
2247	FGF2	fibroblast growth factor 2	human	2
59272	ACE2	angiotensin converting enzyme 2	human	6
7276	TTR	transthyretin	human	1
861	RUNX1	RUNX family transcription factor 1	human	32
282617	IFNL3	interferon lambda 3	human	2
3320	HSP90AA1	heat shock protein 90 alpha family class A member 1	human	4
3552	IL1A	interleukin 1 alpha	human	2
3757	KCNH2	potassium voltage-gated channel subfamily H member 2	human	20
4204	MECP2	methyl-CpG binding protein 2	human	28
2335	FN1	fibronectin 1	human	18
4023	LPL	lipoprotein lipase	human	1
5265	SERPINA1	serpin family A member 1	human	19
1815	DRD4	dopamine receptor D4	human	1
2068	ERCC2	ERCC excision repair 2, TFIIH core complex helicase subunit	human	8
213	ALB	albumin	human	1
3039	HBA1	hemoglobin subunit alpha 1	human	1
3064	HTT	huntingtin	human	2
3356	HTR2A	5-hydroxytryptamine receptor 2A	human	3
54106	TLR9	toll like receptor 9	human	1
217	ALDH2	aldehyde dehydrogenase 2 family member	human	2
5241	PGR	progesterone receptor	human	11
10	NAT2	N-acetyltransferase 2	human	3
1071	CETP	cholesteryl ester transfer protein	human	4
2697	GJA1	gap junction protein alpha 1	human	1
3558	IL2	interleukin 2	human	1
5599	MAPK8	mitogen-activated protein kinase 8	human	32
5781	PTPN11	protein tyrosine phosphatase non-receptor type 11	human	6
841	CASP8	caspase 8	human	76
1471	CST3	cystatin C	human	2
2321	FLT1	fms related receptor tyrosine kinase 1	human	4
5578	PRKCA	protein kinase C alpha	human	21
7316	UBC	ubiquitin C	human	1
10891	PPARGC1A	PPARG coactivator 1 alpha	human	39
25	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	human	2
255738	PCSK9	proprotein convertase subtilisin/kexin type 9	human	18
3065	HDAC1	histone deacetylase 1	human	3
3265	HRAS	HRas proto-oncogene, GTPase	human	5
3309	HSPA5	heat shock protein family A (Hsp70) member 5	human	1
4436	MSH2	mutS homolog 2	human	60
6790	AURKA	aurora kinase A	human	13
8074	FGF23	fibroblast growth factor 23	human	1
1869	E2F1	E2F transcription factor 1	human	3
1950	EGF	epidermal growth factor	human	4
2067	ERCC1	ERCC excision repair 1, endonuclease non-catalytic subunit	human	15
4314	MMP3	matrix metallopeptidase 3	human	1
4353	MPO	myeloperoxidase	human	1
56729	RETN	resistin	human	5
6513	SLC2A1	solute carrier family 2 member 1	human	1
2152	F3	coagulation factor III, tissue factor	human	2
3481	IGF2	insulin like growth factor 2	human	5
3627	CXCL10	C-X-C motif chemokine ligand 10	human	2
3953	LEPR	leptin receptor	human	6
407040	MIR34A	microRNA 34a	human	1
4128	MAOA	monoamine oxidase A	human	2
4170	MCL1	MCL1 apoptosis regulator, BCL2 family member	human	3
4988	OPRM1	opioid receptor mu 1	human	31
6352	CCL5	C-C motif chemokine ligand 5	human	2
1577	CYP3A5	cytochrome P450 family 3 subfamily A member 5	human	5
196	AHR	aryl hydrocarbon receptor	human	1
2263	FGFR2	fibroblast growth factor receptor 2	human	35
3486	IGFBP3	insulin like growth factor binding protein 3	human	4
4089	SMAD4	SMAD family member 4	human	6
5347	PLK1	polo like kinase 1	human	1
650	BMP2	bone morphogenetic protein 2	human	1
6657	SOX2	SRY-box transcription factor 2	human	1
8842	PROM1	prominin 1	human	56
328	APEX1	apurinic/apyrimidinic endodeoxyribonuclease 1	human	4
3643	INSR	insulin receptor	human	6
4968	OGG1	8-oxoguanine DNA glycosylase	human	24
682	BSG	basigin (Ok blood group)	human	6
7098	TLR3	toll like receptor 3	human	1
7132	TNFRSF1A	TNF receptor superfamily member 1A	human	4
7291	TWIST1	twist family bHLH transcription factor 1	human	2
8600	TNFSF11	TNF superfamily member 11	human	10
983	CDK1	cyclin dependent kinase 1	human	7
10135	NAMPT	nicotinamide phosphoribosyltransferase	human	5
2309	FOXO3	forkhead box O3	human	16
4088	SMAD3	SMAD family member 3	human	13
5460	POU5F1	POU class 5 homeobox 1	human	5
5888	RAD51	RAD51 recombinase	human	16
2260	FGFR1	fibroblast growth factor receptor 1	human	14
2261	FGFR3	fibroblast growth factor receptor 3	human	26
3784	KCNQ1	potassium voltage-gated channel subfamily Q member 1	human	6
7161	TP73	tumor protein p73	human	17
718	C3	complement C3	human	1
1387	CREBBP	CREB binding protein	human	17
1756	DMD	dystrophin	human	44
356	FASLG	Fas ligand	human	2
5329	PLAUR	plasminogen activator, urokinase receptor	human	32
7076	TIMP1	TIMP metallopeptidase inhibitor 1	human	1
90865	IL33	interleukin 33	human	21
1490	CCN2	cellular communication network factor 2	human	1
1786	DNMT1	DNA methyltransferase 1	human	4
1803	DPP4	dipeptidyl peptidase 4	human	8
2308	FOXO1	forkhead box O1	human	5
26191	PTPN22	protein tyrosine phosphatase non-receptor type 22	human	22
2778	GNAS	GNAS complex locus	human	51
3117	HLA-DQA1	major histocompatibility complex, class II, DQ alpha 1	human	11
3596	IL13	interleukin 13	human	4
4763	NF1	neurofibromin 1	human	3
11093	ADAMTS13	ADAM metallopeptidase with thrombospondin type 1 motif 13	human	29
11200	CHEK2	checkpoint kinase 2	human	43
1191	CLU	clusterin	human	3
1571	CYP2E1	cytochrome P450 family 2 subfamily E member 1	human	1
3315	HSPB1	heat shock protein family B (small) member 1	human	1
8878	SQSTM1	sequestosome 1	human	3
598	BCL2L1	BCL2 like 1	human	11
7298	TYMS	thymidylate synthetase	human	5
846	CASR	calcium sensing receptor	human	10
1017	CDK2	cyclin dependent kinase 2	human	5
1116	CHI3L1	chitinase 3 like 1	human	15
1586	CYP17A1	cytochrome P450 family 17 subfamily A member 1	human	1
9518	GDF15	growth differentiation factor 15	human	2
100507436	MICA	MHC class I polypeptide-related sequence A	human	5
1457	CSNK2A1	casein kinase 2 alpha 1	human	5
2305	FOXM1	forkhead box M1	human	34
2629	GBA1	glucosylceramidase beta 1	human	5
406937	MIR145	microRNA 145	human	1
4210	MEFV	MEFV innate immunity regulator, pyrin	human	2
5111	PCNA	proliferating cell nuclear antigen	human	2
796	CALCA	calcitonin related polypeptide alpha	human	9
958	CD40	CD40 molecule	human	17
959	CD40LG	CD40 ligand	human	1
1385	CREB1	cAMP responsive element binding protein 1	human	39
1728	NQO1	NAD(P)H quinone dehydrogenase 1	human	4
2896	GRN	granulin precursor	human	1
3084	NRG1	neuregulin 1	human	33
378938	MALAT1	metastasis associated lung adenocarcinoma transcript 1	human	3
5027	P2RX7	purinergic receptor P2X 7	human	16
5806	PTX3	pentraxin 3	human	1
6469	SHH	sonic hedgehog signaling molecule	human	10
860	RUNX2	RUNX family transcription factor 2	human	6
1268	CNR1	cannabinoid receptor 1	human	23
1545	CYP1B1	cytochrome P450 family 1 subfamily B member 1	human	1
3620	IDO1	indoleamine 2,3-dioxygenase 1	human	1
5295	PIK3R1	phosphoinositide-3-kinase regulatory subunit 1	human	13
5465	PPARA	peroxisome proliferator activated receptor alpha	human	40
648	BMI1	BMI1 proto-oncogene, polycomb ring finger	human	5
2200	FBN1	fibrillin 1	human	4
23405	DICER1	dicer 1, ribonuclease III	human	34
2885	GRB2	growth factor receptor bound protein 2	human	2
3308	HSPA4	heat shock protein family A (Hsp70) member 4	human	2
3559	IL2RA	interleukin 2 receptor subunit alpha	human	3
4018	LPA	lipoprotein(a)	human	1
4297	KMT2A	lysine methyltransferase 2A	human	15
4323	MMP14	matrix metallopeptidase 14	human	1
5580	PRKCD	protein kinase C delta	human	10
7431	VIM	vimentin	human	1
203228	C9orf72	C9orf72-SMCR8 complex subunit	human	3
3667	IRS1	insulin receptor substrate 1	human	4
60489	APOBEC3G	apolipoprotein B mRNA editing enzyme catalytic subunit 3G	human	5
811	CALR	calreticulin	human	1
948	CD36	CD36 molecule (CD36 blood group)	human	38
2022	ENG	endoglin	human	4
331	XIAP	X-linked inhibitor of apoptosis	human	7
354	KLK3	kallikrein related peptidase 3	human	3
57817	HAMP	hepcidin antimicrobial peptide	human	1
6280	S100A9	S100 calcium binding protein A9	human	1
6285	S100B	S100 calcium binding protein B	human	3
6615	SNAI1	snail family transcriptional repressor 1	human	1
7052	TGM2	transglutaminase 2	human	10
7057	THBS1	thrombospondin 1	human	5
8678	BECN1	beclin 1	human	14
998	CDC42	cell division cycle 42	human	3
100124700	HOTAIR	HOX transcript antisense RNA	human	17
10673	TNFSF13B	TNF superfamily member 13b	human	4
11186	RASSF1	Ras association domain family member 1	human	9
2312	FLG	filaggrin	human	1
283120	H19	H19 imprinted maternally expressed transcript	human	7
3593	IL12B	interleukin 12B	human	1
4893	NRAS	NRAS proto-oncogene, GTPase	human	1
5021	OXTR	oxytocin receptor	human	6
5315	PKM	pyruvate kinase M1/2	human	21
5328	PLAU	plasminogen activator, urokinase	human	7
6794	STK11	serine/threonine kinase 11	human	3
6935	ZEB1	zinc finger E-box binding homeobox 1	human	71
7412	VCAM1	vascular cell adhesion molecule 1	human	3
9365	KL	klotho	human	7
2034	EPAS1	endothelial PAS domain protein 1	human	3
2056	EPO	erythropoietin	human	1
2155	F7	coagulation factor VII	human	14
2212	FCGR2A	Fc gamma receptor IIa	human	19
22943	DKK1	dickkopf WNT signaling pathway inhibitor 1	human	1
3172	HNF4A	hepatocyte nuclear factor 4 alpha	human	18
3685	ITGAV	integrin subunit alpha V	human	5
5371	PML	PML nuclear body scaffold	human	9
7048	TGFBR2	transforming growth factor beta receptor 2	human	17
7139	TNNT2	troponin T2, cardiac type	human	27
867	CBL	Cbl proto-oncogene	human	1
116519	APOA5	apolipoprotein A5	human	3
1788	DNMT3A	DNA methyltransferase 3 alpha	human	38
1994	ELAVL1	ELAV like RNA binding protein 1	human	5
2521	FUS	FUS RNA binding protein	human	10
2539	G6PD	glucose-6-phosphate dehydrogenase	human	3
285	ANGPT2	angiopoietin 2	human	6
302	ANXA2	annexin A2	human	20
3240	HP	haptoglobin	human	3
3600	IL15	interleukin 15	human	3
4160	MC4R	melanocortin 4 receptor	human	1
4854	NOTCH3	notch receptor 3	human	3
5591	PRKDC	protein kinase, DNA-activated, catalytic subunit	human	2
6927	HNF1A	HNF1 homeobox A	human	5
7430	EZR	ezrin	human	4
1050	CEBPA	CCAAT enhancer binding protein alpha	human	4
1544	CYP1A2	cytochrome P450 family 1 subfamily A member 2	human	1
268	AMH	anti-Mullerian hormone	human	1
2688	GH1	growth hormone 1	human	3
3956	LGALS1	galectin 1	human	1
4049	LTA	lymphotoxin alpha	human	17
5156	PDGFRA	platelet derived growth factor receptor alpha	human	13
5894	RAF1	Raf-1 proto-oncogene, serine/threonine kinase	human	21
6850	SYK	spleen associated tyrosine kinase	human	13
7153	TOP2A	DNA topoisomerase II alpha	human	5
1589	CYP21A2	cytochrome P450 family 21 subfamily A member 2	human	7
23586	RIGI	RNA sensor RIG-I	human	7
3303	HSPA1A	heat shock protein family A (Hsp70) member 1A	human	1
3689	ITGB2	integrin subunit beta 2	human	6
4615	MYD88	MYD88 innate immune signal transduction adaptor	human	8
4792	NFKBIA	NFKB inhibitor alpha	human	1
567	B2M	beta-2-microglobulin	human	4
6662	SOX9	SRY-box transcription factor 9	human	1
7133	TNFRSF1B	TNF receptor superfamily member 1B	human	10
7189	TRAF6	TNF receptor associated factor 6	human	2
10855	HPSE	heparanase	human	4
1111	CHEK1	checkpoint kinase 1	human	19
11315	PARK7	Parkinsonism associated deglycase	human	4
133	ADM	adrenomedullin	human	1
1958	EGR1	early growth response 1	human	1
2214	FCGR3A	Fc gamma receptor IIIa	human	10
4316	MMP7	matrix metallopeptidase 7	human	1
4613	MYCN	MYCN proto-oncogene, bHLH transcription factor	human	6
5300	PIN1	peptidylprolyl cis/trans isomerase, NIMA-interacting 1	human	5
540	ATP7B	ATPase copper transporting beta	human	41
5566	PRKACA	protein kinase cAMP-activated catalytic subunit alpha	human	3
5950	RBP4	retinol binding protein 4	human	3
6323	SCN1A	sodium voltage-gated channel alpha subunit 1	human	20
7128	TNFAIP3	TNF alpha induced protein 3	human	19
7253	TSHR	thyroid stimulating hormone receptor	human	8
7424	VEGFC	vascular endothelial growth factor C	human	1
7442	TRPV1	transient receptor potential cation channel subfamily V member 1	human	4
8091	HMGA2	high mobility group AT-hook 2	human	5
9314	KLF4	KLF transcription factor 4	human	2
2065	ERBB3	erb-b2 receptor tyrosine kinase 3	human	5
2534	FYN	FYN proto-oncogene, Src family tyrosine kinase	human	37
2625	GATA3	GATA binding protein 3	human	11
2784	GNB3	G protein subunit beta 3	human	6
5159	PDGFRB	platelet derived growth factor receptor beta	human	4
5562	PRKAA1	protein kinase AMP-activated catalytic subunit alpha 1	human	10
7046	TGFBR1	transforming growth factor beta receptor 1	human	30
79001	VKORC1	vitamin K epoxide reductase complex subunit 1	human	3
80339	PNPLA3	patatin like phospholipase domain containing 3	human	1
9021	SOCS3	suppressor of cytokine signaling 3	human	3
10018	BCL2L11	BCL2 like 11	human	53
1019	CDK4	cyclin dependent kinase 4	human	1
174	AFP	alpha fetoprotein	human	2
3014	H2AX	H2A.X variant histone	human	1
545	ATR	ATR serine/threonine kinase	human	16
6786	STIM1	stromal interaction molecule 1	human	22
729230	CCR2	C-C motif chemokine receptor 2	human	2
10631	POSTN	periostin	human	17
30835	CD209	CD209 molecule	human	8
3375	IAPP	islet amyloid polypeptide	human	2
3570	IL6R	interleukin 6 receptor	human	35
4087	SMAD2	SMAD family member 2	human	9
4157	MC1R	melanocortin 1 receptor	human	1
4904	YBX1	Y-box binding protein 1	human	4
5053	PAH	phenylalanine hydroxylase	human	4
5058	PAK1	p21 (RAC1) activated kinase 1	human	63
5080	PAX6	paired box 6	human	53
5340	PLG	plasminogen	human	2
5478	PPIA	peptidylprolyl isomerase A	human	5
5624	PROC	protein C, inactivator of coagulation factors Va and VIIIa	human	21
652	BMP4	bone morphogenetic protein 4	human	9
7077	TIMP2	TIMP metallopeptidase inhibitor 2	human	1
7415	VCP	valosin containing protein	human	3
7474	WNT5A	Wnt family member 5A	human	29
7517	XRCC3	X-ray repair cross complementing 3	human	12
864	RUNX3	RUNX family transcription factor 3	human	8
2078	ERG	ETS transcription factor ERG	human	10
23621	BACE1	beta-secretase 1	human	7
3066	HDAC2	histone deacetylase 2	human	5
3767	KCNJ11	potassium inwardly rectifying channel subfamily J member 11	human	4
4035	LRP1	LDL receptor related protein 1	human	1
406906	MIR122	microRNA 122	human	1
4683	NBN	nibrin	human	11
6382	SDC1	syndecan 1	human	8
6401	SELE	selectin E	human	1
6403	SELP	selectin P	human	13
65018	PINK1	PTEN induced kinase 1	human	1
6597	SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	human	39
6868	ADAM17	ADAM metallopeptidase domain 17	human	8
820	CAMP	cathelicidin antimicrobial peptide	human	1
10599	SLCO1B1	solute carrier organic anion transporter family member 1B1	human	1
1280	COL2A1	collagen type II alpha 1 chain	human	12
135	ADORA2A	adenosine A2a receptor	human	7
1789	DNMT3B	DNA methyltransferase 3 beta	human	30
216	ALDH1A1	aldehyde dehydrogenase 1 family member A1	human	1
26291	FGF21	fibroblast growth factor 21	human	1
2638	GC	GC vitamin D binding protein	human	5
3329	HSPD1	heat shock protein family D (Hsp60) member 1	human	2
3350	HTR1A	5-hydroxytryptamine receptor 1A	human	1
345	APOC3	apolipoprotein C3	human	1
3932	LCK	LCK proto-oncogene, Src family tyrosine kinase	human	13
4057	LTF	lactotransferrin	human	4
4363	ABCC1	ATP binding cassette subfamily C member 1 (ABCC1 blood group)	human	81
4627	MYH9	myosin heavy chain 9	human	1
4684	NCAM1	neural cell adhesion molecule 1	human	31
59067	IL21	interleukin 21	human	2
6093	ROCK1	Rho associated coiled-coil containing protein kinase 1	human	1
6598	SMARCB1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1	human	4
7137	TNNI3	troponin I3, cardiac type	human	1
7249	TSC2	TSC complex subunit 2	human	56
7341	SUMO1	small ubiquitin like modifier 1	human	7
84868	HAVCR2	hepatitis A virus cellular receptor 2	human	1
1051	CEBPB	CCAAT enhancer binding protein beta	human	3
2244	FGB	fibrinogen beta chain	human	9
2272	FHIT	fragile histidine triad diadenosine triphosphatase	human	10
3115	HLA-DPB1	major histocompatibility complex, class II, DP beta 1	human	6
4072	EPCAM	epithelial cell adhesion molecule	human	1
5228	PGF	placental growth factor	human	5
6464	SHC1	SHC adaptor protein 1	human	79
6502	SKP2	S-phase kinase associated protein 2	human	8
6678	SPARC	secreted protein acidic and cysteine rich	human	3
7351	UCP2	uncoupling protein 2	human	8
768	CA9	carbonic anhydrase 9	human	5
7941	PLA2G7	phospholipase A2 group VII	human	7
801	CALM1	calmodulin 1	human	3
9212	AURKB	aurora kinase B	human	19
1045	CDX2	caudal type homeobox 2	human	8
149233	IL23R	interleukin 23 receptor	human	7
153	ADRB1	adrenoceptor beta 1	human	1
155	ADRB3	adrenoceptor beta 3	human	1
1585	CYP11B2	cytochrome P450 family 11 subfamily B member 2	human	1
1814	DRD3	dopamine receptor D3	human	4
197	AHSG	alpha 2-HS glycoprotein	human	4
1977	EIF4E	eukaryotic translation initiation factor 4E	human	4
2150	F2RL1	F2R like trypsin receptor 1	human	1
2243	FGA	fibrinogen alpha chain	human	3
2289	FKBP5	FKBP prolyl isomerase 5	human	4
22914	KLRK1	killer cell lectin like receptor K1	human	1
2316	FLNA	filamin A	human	2
2492	FSHR	follicle stimulating hormone receptor	human	10
2690	GHR	growth hormone receptor	human	11
2735	GLI1	GLI family zinc finger 1	human	7
3312	HSPA8	heat shock protein family A (Hsp70) member 8	human	4
3456	IFNB1	interferon beta 1	human	1
3551	IKBKB	inhibitor of nuclear factor kappa B kinase subunit beta	human	26
3674	ITGA2B	integrin subunit alpha 2b	human	5
50616	IL22	interleukin 22	human	1
5428	POLG	DNA polymerase gamma, catalytic subunit	human	2
55294	FBXW7	F-box and WD repeat domain containing 7	human	29
6462	SHBG	sex hormone binding globulin	human	8
7172	TPMT	thiopurine S-methyltransferase	human	7
