Approved symbol	Chromosome	NCBI Gene ID
ABR-AS1	17p13.3	105371479
ABRA	8q23.1	137735
ABRACL	6q24.1	58527
ABRAXAS1	4q21.23	84142
ABRAXAS1P1	3q12.2	100421580
ABRAXAS1P2	8p22	100133073
ABRAXAS2	10q26.13	23172
ABT1	6p22.2	29777
ABT1P1	4q23	100420695
ABTB1	3q21.3	80325
ABTB2	11p13	25841
ABTB3	12q23.3	121551
ACAA1	3p22.2	30
ACAA2	18q21.1	10449
ACAA2P1	Xp11.23	100420869
ACACA	17q12	31
ACACB	12q24.11	32
ACAD		
ACAD8	11q25	27034
ACAD9	3q21.3	28976
ACAD9-DT	3q21.3	123706524
ACAD10	12q24.12	80724
ACAD11	3q22.1	84129
ACADL	2q34	33
ACADM	1p31.1	34
ACADS	12q24.31	35
ACADSB	10q26.13	36
ACADVL	17p13.1	37
ACAN	15q26.1	176
ACAP1	17p13.1	9744
ACAP2	3q29	23527
ACAP2-IT1	3q29	
ACAP3	1p36.33	116983
ACAT1	11q22.3	38
ACAT2	6q25.3	39
ACBD3	1q42.12	64746
ACBD3-AS1	1q42.12	107985353
ACBD4	17q21.31	79777
ACBD5	10p12.1	91452
ACBD6	1q25.2-q25.3	84320
ACBD7	10p13	414149
ACBP		
ACC		
ACCN		
ACCPN	15q13-q15	
ACCS	11p11.2	84680
ACCSL	11p11.2	390110
ACCSLP1	6p24.3	100422646
ACD	16q22.1	65057
ACE	17q23.3	1636
ACE2	Xp22.2	59272
ACE2-DT	Xp22.2	104798195
ACE3P	17q23.3	100129123
ACER1	19p13.3	125981
ACER2	9p22.1	340485
ACER2P1	2q33.3	645978
ACER3	11q13.5	55331
ACER3-AS1	11q13.5	124902721
ACH		
ACHAP	reserved	
ACHE	7q22.1	43
ACHM1	14	
ACHM2		
ACHM3	8q22.1-q22.2	
ACHRD		
ACHRG		
ACIN1	14q11.2	22985
ACKR1	1q23.2	2532
ACKR2	3p22.1	1238
ACKR3	2q37.3	57007
ACKR4	3q22.1	51554
ACKR4P1	6q24.1	285737
ACLS	12p13.3-p11.2	
ACLY	17q21.2	47
ACMG		
ACMSD	2q21.3	130013
ACNATP	9q31.1	347275
ACO1	9p21.1	48
ACO2	22q13.2	50
ACO2P1	22q12.3	441996
ACO2P2	1q42.3	343508
ACOD1	13q22.3	730249
ACOT1	14q24.3	641371
ACOT2	14q24.3	10965
ACOT4	14q24.3	122970
ACOT6	14q24.3	641372
ACOT7	1p36.31	11332
ACOT8	20q13.12	10005
ACOT9	Xp22.11	23597
ACOT11	1p32.3	26027
ACOT12	5q14.1	134526
ACOT13	6p22.3	55856
ACOX1	17q25.1	51
ACOX2	3p14.3	8309
ACOX3	4p16.1	8310
ACOXL	2q13	55289
ACOXL-AS1	2q13	400997
ACP1	2p25.3	52
ACP2	11p11.2	53
ACP3	3q22.1	55
ACP4	19q13.33	93650
ACP5	19p13.2	54
ACP6	1q21.2	51205
ACP7	19q13.2	390928
ACR	22q13.33	49
ACRBP	12p13.31	84519
ACRP1	2q14.1	645529
ACRV1	11q24.2	56
ACS3		
ACSBG1	15q25.1	23205
ACSBG2	19p13.3	81616
ACSF2	17q21.33	80221
ACSF3	16q24.3	197322
ACSL1	4q35.1	2180
ACSL3	2q36.1	2181
ACSL3-AS1	2q36.1	105373904
ACSL3P1	3q22.1	100421637
ACSL4	Xq23	2182
ACSL5	10q25.2	51703
ACSL6	5q31.1	23305
ACSL6-AS1	5q31.1	101927693
ACSM1	16p12.3	116285
ACSM2A	16p12.3	123876
ACSM2B	16p12.3	348158
ACSM3	16p12.3	6296
ACSM4	12p13.31	341392
ACSM5	16p12.3	54988
ACSM5P1	16p12.3	100421779
ACSM6	10q23.33	142827
ACSS1	20p11.21	84532
ACSS2	20q11.22	55902
ACSS3	12q21.31	79611
ACTA1	1q42.13	58
ACTA2	10q23.31	59
ACTA2-AS1	10q23.31	100132116
ACTA3		
ACTB	7p22.1	60
ACTBL2	5q11.2	345651
ACTBP1	Xp11.3	643309
ACTBP2	5q14.1	62
ACTBP3	18q21.33	63
ACTBP4	5q31.1	64
ACTBP5	7q36.1	
ACTBP6	8q21.2	66
ACTBP7	15q15.3	67
ACTBP8	6q15	68
ACTBP9	18q21.33	69
ACTBP10	14q11.2	446207
ACTBP11	1q41	644220
ACTBP12	1p22.1	100462767
ACTBP14	10q22.1	389976
ACTBP15	22q13.2	391334
ACTBP16	3q26.33	100132223
ACTC1	15q14	70
ACTE1P	11q13.4	399923
ACTG1	17q25.3	71
ACTG1P1	3q23	73
ACTG1P2	Yq11.222	74
ACTG1P3	20p13	75
ACTG1P4	1p21.1	648740
ACTG1P6	1p21	78
ACTG1P7	1p21	79
ACTG1P8	1p21	80
ACTG1P9	6p12.3	82
ACTG1P10	Xp11.22	83
ACTG1P11	Yq11.222	414754
ACTG1P12	3p25.2	100418921
ACTG1P13	3q12.1	100418920
ACTG1P14	9p24.1	100418910
ACTG1P15	15q14	100418951
ACTG1P16	16q12.1	100418960
ACTG1P17	15q25.2	283693
ACTG1P18	6q16.3	100418924
ACTG1P19	9q31.1	644160
ACTG1P20	1p36.11	644961
ACTG1P21	1p31.1	100131291
ACTG1P22	2p16.1	100131953
ACTG1P23	3q26.31	442097
ACTG1P24	17p11.2	441783
ACTG1P25	1q32.1	148709
ACTG2	2p13.1	72
ACTL2		
ACTL3		
ACTL4	3pter-q21	
ACTL5	21q22.3	
ACTL6A	3q26.33	86
ACTL6B	7q22.1	51412
ACTL7A	9q31.3	10881
ACTL7B	9q31.3	10880
ACTL8	1p36.13	81569
ACTL9	19p13.2	284382
ACTL10	20q11.22	170487
ACTL11P	3p21.31	389120
ACTMAP	19q13.2	284325
ACTN1	14q24.1	87
ACTN1-DT	14q24.1	161159
ACTN2	1q43	88
ACTN3	11q13.2	89
ACTN4	19q13.2	81
ACTN4P1	4q26	344978
ACTN4P2	1p34.3	391026
ACTP1	2q12.3	106480335
ACTR1A	10q24.32	10121
ACTR1AP1	2q13	100287074
ACTR1B	2q11.2	10120
ACTR2	2p14	10097
ACTR2P1	22q11.23	100421614
ACTR2P2	19p12	284441
ACTR3	2q14.1	10096
ACTR3-AS1	2q14.1	101060091
ACTR3B	7q36.1-q36.2	57180
ACTR3BP1	Yq11.21	643050
ACTR3BP2	2p11.1	440888
ACTR3BP3	16p11.2	647156
ACTR3BP4	4q24	777774
ACTR3BP5	10p11.1	399746
ACTR3BP6	22q11.1	644773
ACTR3BP7	22p11.2	100289004
ACTR3C	7q36.1	653857
ACTR3P1	14q11.2	100288580
ACTR3P2	Xq13.1	100129013
ACTR3P3	3q12.2	100128020
ACTR5	20q11.23	79913
ACTR6	12q23.1	64431
ACTR6P1	4q25	100421495
ACTR8	3p21.1	93973
ACTR10	14q23.1	55860
ACTRT1	Xq25	139741
ACTRT1P1	Xq25	100128268
ACTRT2	1p36.32	140625
ACTRT3	3q26.2	84517
ACVR1	2q24.1	90
ACVR1B	12q13.13	91
ACVR1C	2q24.1	130399
ACVR2A	2q22.3-q23.1	92
ACVR2B	3p22.2	93
ACVR2B-AS1	3p22.2	100128640
ACVRL1	12q13.13	94
ACVRLK2		
ACY1	3p21.2	95
ACY1L	18q22.1	
ACY3	11q13.2	91703
ACYP1	14q24.3	97
ACYP2	2p16.2	98
AD1		
AD2	19	
AD3		
AD4		
AD5	12p11.23-q13.12	
ADA	20q13.12	100
ADA2	22q11.1	51816
ADAD1	4q27	132612
ADAD1P1	3p22.2	100422386
ADAD1P2	18q21.1	100422407
ADAD2	16q24.1	161931
ADAM1A	12q24.12-q24.13	8759
ADAM1B	12q24.13	100420505
ADAM2	8p11.22	2515
ADAM3A	8p11.22	1587
ADAM3B	16q12.1	1596
ADAM5	8p11.22	255926
ADAM6	14q32.33	8755
ADAM7	8p21.2	8756
ADAM7-AS1	8p21.2	101929294
ADAM7-AS2	8p21.2	101929315
ADAM8	10q26.3	101
ADAM9	8p11.22	8754
ADAM10	15q21.3	102
ADAM11	17q21.31	4185
ADAM12	10q26.2	8038
ADAM12-OT1	10q26.2	
ADAM15	1q21.3	8751
ADAM17	2p25.1	6868
ADAM18	8p11.22	8749
ADAM19	5q33.3	8728
ADAM20	14q24.2	8748
ADAM20P1	14q24.2	317760
ADAM20P2	4q34.2	100533671
ADAM20P3	4q35.2	644325
ADAM21	14q24.2	8747
ADAM21P1	14q24.2	145241
ADAM22	7q21.12	53616
ADAM23	2q33.3	8745
ADAM24P	8p22	646479
ADAM28	8p21.2	10863
ADAM29	4q34.1	11086
ADAM30	1p12	11085
ADAM32	8p11.22	203102
ADAM33	20p13	80332
ADAMDEC1	8p21.2	27299
ADAMTS1	21q21.3	9510
ADAMTS2	5q35.3	9509
ADAMTS3	4q13.3	9508
ADAMTS4	1q23.3	9507
ADAMTS5	21q21.3	11096
ADAMTS6	5q12.3	11174
ADAMTS7	15q25.1	11173
ADAMTS7P1	15q25.2	390660
ADAMTS7P2	15q25.2	
ADAMTS7P3	15q24.3	400406
ADAMTS7P4	15q25.3	642935
ADAMTS7P5	22q13.2	100422416
ADAMTS8	11q24.3	11095
ADAMTS9	3p14.1	56999
ADAMTS9-AS1	3p14.1	101929335
ADAMTS9-AS2	3p14.1	100507098
ADAMTS10	19p13.2	81794
ADAMTS12	5p13.3-p13.2	81792
ADAMTS13	9q34.2	11093
ADAMTS14	10q22.1	140766
ADAMTS15	11q24.3	170689
ADAMTS16	5p15.32	170690
ADAMTS16-DT	5p15.32	101929176
ADAMTS17	15q26.3	170691
ADAMTS18	16q23.1	170692
ADAMTS19	5q23.3	171019
ADAMTS19-AS1	5q23.3	103689846
ADAMTS20	12q12	80070
ADAMTS21	reserved	
ADAMTSL1	9p22.2-p22.1	92949
ADAMTSL2	9q34.2	9719
ADAMTSL3	15q25.2	57188
ADAMTSL4	1q21.2	54507
ADAMTSL4-AS1	1q21.2	
ADAMTSL4-AS2	1q21.2	100289061
ADAMTSL5	19p13.3	339366
ADAP1	7p22.3	11033
ADAP2	17q11.2	55803
ADAR	1q21.3	103
ADARB1	21q22.3	104
ADARB2	10p15.3	105
ADARB2-AS1	10p15.3	642394
ADAT1	16q23.1	23536
ADAT2	6q24.2	134637
ADAT3	19p13.3	113179
ADCK1	14q24.3	57143
ADCK2	7q34	90956
ADCK5	8q24.3	203054
ADCP1	6	106
ADCP2		
ADCR		
ADCY1	7p12.3	107
ADCY2	5p15.31	108
ADCY3	2p23.3	109
ADCY4	14q12	196883
ADCY5	3q21.1	111
ADCY6	12q13.12	112
ADCY6-DT	12q13.12	100506125
ADCY7	16q12.1	113
ADCY8	8q24.22	114
ADCY9	16p13.3	115
ADCY10	1q24.2	55811
ADCY10P1	6p21.1	221442
ADCYAP1	18p11.32	116
ADCYAP1R1	7p14.3	117
ADD1	4p16.3	118
ADD2	2p13.3	119
ADD3	10q25.1-q25.2	120
ADD3-AS1	10q25.1	100505933
ADDL		
ADFN	Xq26.3-q27.1	
ADGB	6q24.3	79747
ADGB-DT	6q24.3	101928661
ADGRA1	10q26.3	84435
ADGRA1-AS1	10q26.3	
ADGRA2	8p11.23	25960
ADGRA3	4p15.2	166647
ADGRA3P1	18p11.21	100996333
ADGRB1	8q24.3	575
ADGRB2	1p35.2	576
ADGRB3	6q12-q13	577
ADGRB3-DT	6q12	101928307
ADGRD1	12q24.33	283383
ADGRD1-AS1	12q24.33	105755954
ADGRD2	9q33.3	347088
ADGRE1	19p13.3-p13.2	2015
ADGRE2	19p13.12	30817
ADGRE3	19p13.12	84658
ADGRE4P	19p13.2	326342
ADGRE5	19p13.12	976
ADGRF1	6p12.3	266977
ADGRF2P	6p12.3	222611
ADGRF3	2p23.3	165082
ADGRF4	6p12.3	221393
ADGRF5	6p12.3	221395
ADGRF5-AS1	6p12.3	101926962
ADGRF5P1	9q13	389740
ADGRF5P2	9p11.1	441416
ADGRG1	16q21	9289
ADGRG2	Xp22.13	10149
ADGRG3	16q21	222487
ADGRG4	Xq26.3	139378
ADGRG5	16q21	221188
ADGRG6	6q24.2	57211
ADGRG7	3q12.2	84873
ADGRL1	19p13.12	22859
ADGRL1-AS1	19p13.12	100507373
ADGRL2	1p31.1	23266
ADGRL3	4q13.1	23284
ADGRL3-AS1	4q13.1	101927186
ADGRL4	1p31.1	64123
ADGRV1	5q14.3	84059
ADH1A	4q23	124
ADH1B	4q23	125
ADH1C	4q23	126
ADH4	4q23	127
ADH5	4q23	128
ADH5P1	4q21-q23	
ADH5P2	1p31.1	343296
ADH5P3	1q43	100131810
ADH5P4	6q12	642443
ADH5P5	5p14.2	
ADH6	4q23	130
ADH7	4q23	131
ADHFE1	8q13.1	137872
ADI1	2p25.3	55256
ADI1P1	20q12	100130936
ADI1P2	8q22.3	100288971
ADI1P3	12q13.11	100288129
ADIG	20q11.23	149685
ADIPINT	9q22.33	125906382
ADIPOQ	3q27.3	9370
ADIPOQ-AS1	3q27.3	100874095
ADIPOR1	1q32.1	51094
ADIPOR1P1	10p12.31	645220
ADIPOR1P2	14q32.13	390503
ADIPOR2	12p13.33	79602
ADIR	1q25-q31	
ADIRF	10q23.2	10974
ADIRF-AS1	10q23.2	100133190
ADISSP	20p13	54976
ADK	10q22.2	132
ADL		
ADM	11p15.4	133
ADM-DT	11p15.4	105376544
ADM2	22q13.33	79924
ADM5	19q13.33	199800
ADMLX		
ADMLY		
ADNP	20q13.13	23394
ADNP-AS1	20q13.13	101927631
ADNP2	18q23	22850
ADO	10q21.3	84890
ADORA1	1q32.1	134
ADORA2A	22q11.23	135
ADORA2A-AS1	22q11.23	646023
ADORA2B	17p12	136
ADORA2BP1	1q32.2	137
ADORA2L1		
ADORA2L2		
ADORA3	1p13.2	140
ADPGK	15q24.1	83440
ADPGK-AS1	15q24.1	100287559
ADPRH	3q13.33	141
ADPRHL1	13q34	113622
ADPRM	17p13.1	56985
ADPRS	1p34.3	54936
ADRA1A	8p21.2	148
ADRA1B	5q33.3	147
ADRA1C		
ADRA1D	20p13	146
ADRA2A	10q25.2	150
ADRA2B	2q11.2	151
ADRA2C	4p16.3	152
ADRA2L1		
ADRB1	10q25.3	153
ADRB2	5q32	154
ADRB2RL1		
ADRB3	8p11.23	155
ADRM1	20q13.33	11047
ADSL	22q13.1	158
ADSS1	14q32.33	122622
ADSS2	1q44	159
ADT		
ADTAA		
ADTAB		
ADTB1		
ADTB2		
ADTG		
ADTRP	6p24.1	84830
AE1		
AE2		
AEBP1	7p13	165
AEBP2	12p12.3	121536
AEMK		
AEN	15q26.1	64782
AEPLC	reserved	
AEZ	reserved	
AF8T	3	
AFA	reserved	
AFAP1	4p16.1	60312
AFAP1-AS1	4p16.1	84740
AFAP1L1	5q32	134265
AFAP1L2	10q25.3	84632
AFCP		
AFD1	9q32	
AFDN	6q27	4301
AFDN-DT	6q27	653483
AFF1	4q21.3-q22.1	4299
AFF1-AS1	4q21.3	100506746
AFF2	Xq28	2334
AFF2-IT1	Xq28	100874269
AFF3	2q11.2	3899
AFF4	5q31.1	27125
AFF4-DT	5q31.1	124901065
AFF4P1	3q22.1	
AFG1L	6q21	246269
AFG2A	4q28.1	166378
AFG2B	15q21.1	79029
AFG3		
AFG3L1P	16q24.3	172
AFG3L2	18p11.21	10939
AFG3L2P1	8p11.1	347028
AFM	4q13.3	173
AFMID	17q25.3	125061
AFP	4q13.3	174
AFTPH	2p14	54812
AFTPH-DT	2p14	101927402
AGA	4q34.3	175
AGA-DT	4q34.3	285500
AGAP1	2q37.2	116987
AGAP1-IT1	2q37.2	100506749
AGAP2	12q14.1	116986
AGAP2-AS1	12q14.1	100130776
AGAP3	7q36.1	116988
AGAP4	10q11.22	119016
AGAP5	10q22.2	729092
AGAP6	10q11.23	414189
AGAP7P	10q11.22	653268
AGAP8	10q11.23	
AGAP9	10q11.22	642517
AGAP10	10q11.22	
AGAP10P	10q11.22	653234
AGAP11	10q23.2	119385
AGAP12P	10q11.22	414224
AGAP13P	10q11.22	728005
AGAP14P	10q11.22	653259
AGBL1	15q25.3	123624
AGBL1-AS1	15q25.3	727915
AGBL2	11p11.2	79841
AGBL3	7q33	340351
AGBL4	1p33	84871
AGBL4-AS1	1p33	101929721
AGBL4-IT1	1p33	
AGBL5	2p23.3	60509
AGBL5-AS1	2p23.3	100874031
AGBL5-IT1	2p23.3	
AGER	6p21.32	177
AGFG1	2q36.3	3267
AGFG2	7q22.1	3268
AGGF1	5q13.3	55109
AGGF1P1	4q35.2	100132380
AGGF1P2	10q26.3	644435
AGGF1P3	3p12.3	391552
AGGF1P4	16p11.1	100129351
AGGF1P5	16p11.1	100128103
AGGF1P6	16p11.1	
AGGF1P7	16p11.1	100132606
AGGF1P8	16p11.2	100128804
AGGF1P9	16p11.1	100127958
AGGF1P10	20q11.1	100288774
AGK	7q34	55750
AGK-DT	7q34	105375538
AGKP1	Yq11.221	359793
AGKP2	Xq26.2	392543
AGL	1p21.2	178
AGMAT	1p36.21	79814
AGMO	7p21.2	392636
AGMX1		
AGMX2	Xp22	
AGO1	1p34.3	26523
AGO2	8q24.3	27161
AGO3	1p34.3	192669
AGO4	1p34.3	192670
AGPAT1	6p21.32	10554
AGPAT2	9q34.3	10555
AGPAT3	21q22.3	56894
AGPAT4	6q26	56895
AGPAT4-IT1	6q26	79992
AGPAT5	8p23.1	55326
AGPAT5P1	Yp11.2	646231
AGPS	2q31.2	8540
AGR2	7p21.1	10551
AGR3	7p21.1	155465
AGRN	1p36.33	375790
AGRP	16q22.1	181
AGS		
AGS1	3p21	
AGS2	13q14-q21	
AGT	1q42.2	183
AGTBP	reserved	
AGTIL		
AGTPBP1	9q21.33	23287
AGTR1	3q24	185
AGTR1B	reserved	
AGTR2	Xq23	186
AGTRAP	1p36.22	57085
AGTRL2		
AGXT	2q37.3	189
AGXT2	5p13.2	64902
AHC		
AHCTF1	1q44	25909
AHCTF1P1	2q24.2	285116
AHCY	20q11.22	191
AHCYL1	1p13.3	10768
AHCYL2	7q32.1	23382
AHCYP1	10q11.22	340844
AHCYP2	9q33.2	392387
AHCYP3	2q12.1	402093
AHCYP4	2q22.1	129560
AHCYP5	2q32.3	391470
AHCYP6	11q14.1	100419714
AHCYP7	15q21.2	645486
AHCYP8	1q44	
AHDC1	1p36.11-p35.3	27245
AHDS	Xq21	
AHI1	6q23.3	54806
AHI1-DT	6q23.3	100131814
AHNAK	11q12.3	79026
AHNAK2	14q32.33	113146
AHR	7p21.1	196
AHRR	5p15.33	57491
AHSA1	14q24.3	10598
AHSA2P	2p15	130872
AHSG	3q27.3	197
AHSP	16p11.2	51327
AIC	Xp22	
AICDA	12p13.31	57379
AIDA	1q41	64853
AIDAP1	2p25.1	646050
AIDAP2	4q32.1	646890
AIDAP3	18p11.32	100128360
AIED	Xp21-q21	
AIF1	6p21.33	199
AIF1L	9q34.12-q34.13	83543
AIFM1	Xq26.1	9131
AIFM1P1	10p12.31	645120
AIFM2	10q22.1	84883
AIFM3	22q11.21	150209
AIG1	6q24.2	51390
AIG1P1	5p13.1	
AIH1		
AIH2	4q13.3-q21.2	
AIH3	Xq22-q28	
AIM2	1q23.1-q23.2	9447
AIMP1	4q24	9255
AIMP1P1	20p12.1	170547
AIMP1P2	1q24.3	100873064
AIMP2	7p22.1	7965
AIP	11q13.2	9049
AIPL1	17p13.2	23746
AIRE	21q22.3	326
AIRIM	1p34.3	54955
AIRN	6q25.3	100271873
AIS1	1p33-p31	
AIS2	7q11.22	
AIS3	8	
AJAP1	1p36.32	55966
AJM1	9q34.3	389813
AJUBA	14q11.2	84962
AJUBA-DT	14q11.2	107984660
AK1	9q34.11	203
AK2	1p35.1	204
AK2P1	1p32.1	266920
AK2P2	2p22.3	339736
AK3	9p24.1	50808
AK3P2	8q24.3	100419074
AK3P3	7p15.3	100419075
AK3P4	5q22.3	100129959
AK3P5	10p11.22	100288319
AK3P6	12q24.33	100873789
AK3P7	3p21.1	
AK4	1p31.3	205
AK4P1	17q11.2	206
AK4P2	5q11.2	100132104
AK4P3	12p11.21	645619
AK4P4	9p24.1	100128705
AK4P5	6q14.1	100526416
AK4P6	4q31.3	649288
AK5	1p31.1	26289
AK6	5q13.2	102157402
AK6	reserved	
AK6P1	12p11.1	100132086
AK6P2	12q12	100128817
AK7	14q32.2	122481
AK8	9q34.13	158067
AK9	6q21	221264
AKAIN1	18p11.31	642597
AKAP1	17q22	8165
AKAP1-DT	17q22	
AKAP2	9q31.3	
AKAP3	12p13.32	10566
AKAP4	Xp11.22	8852
AKAP5	14q23.3	9495
AKAP6	14q12	9472
AKAP7	6q23.2	9465
AKAP8	19p13.12	10270
AKAP8L	19p13.12	26993
AKAP8P1	9p23	646114
AKAP9	7q21.2	10142
AKAP10	17p11.2	11216
AKAP11	13q14.11	11215
AKAP11-IT1	13q14.11	
AKAP12	6q25.1	9590
AKAP13	15q25.3	11214
AKAP13-AS1	15q25.3	
AKAP14	Xq24	158798
AKAP17A	Xp22.33 and Yp11.32	8227
AKAP17BP	Xq24	139516
AKD2	6q21	
AKIP1	11p15.4	56672
AKIRIN1	1p34.3	79647
AKIRIN1P1	12q21.31	100418731
AKIRIN1P2	Xq12	
AKIRIN2	6q15	55122
AKIRIN2-AS1	6q15	
AKIRIN2P1	4q31.23	100216487
AKNA	9q32	80709
AKNAD1	1p13.3	254268
AKR1A1	1p34.1	10327
AKR1B1	7q33	231
AKR1B1P1	1q42.12	401982
AKR1B1P2	3p12.3	236
AKR1B1P3	11p15.2	729347
AKR1B1P4	13q14.13	390402
AKR1B1P5	14q23.1	390482
AKR1B1P6	18p11.22	100129769
AKR1B1P7	19q13.11	126242
AKR1B1P8	Xq23	392525
AKR1B10	7q33	57016
AKR1B10P1	10q21.3	340888
AKR1B10P2	18q22.1	643582
AKR1B11	reserved	
AKR1B15	7q33	441282
AKR1C1	10p15.1	1645
AKR1C2	10p15.1	1646
AKR1C3	10p15.1	8644
AKR1C4	10p15.1	1109
AKR1C5P	10p15.1	100996684
AKR1C6P	10p15.1	389932
AKR1C7P	10p15.1	648947
AKR1C8	10p15.1	340811
AKR1D1	7q33	6718
AKR1D1P1	1q24.2	80701
AKR1E2	10p15.1	83592
AKR7A2	1p36.13	8574
AKR7A2P1	1p13.2	246182
AKR7A2P2	Xq24	159007
AKR7A3	1p36.13	22977
AKR7L	1p36.13	246181
AKT1	14q32.33	207
AKT1S1	19q13.33	84335
AKT2	19q13.2	208
AKT3	1q43-q44	10000
AKT3-IT1	1q44	
AKTIP	16q12.2	64400
AKTIPP1	3p21.1	101059924
AKTIPP2	5p14.2	100130746
AKTIPP3	11q21	100131233
AKU		
ALAD	9q32	210
ALAS1	3p21.2	211
ALAS2	Xp11.21	212
ALAS3		
ALB	4q13.3	213
ALCAM	3q13.11	214
ALD		
