"treatment_name","Yes (p-value)","Filopodia (p-value)","Yes (mean diff)","Filopodia (mean diff)","Yes (combined error)","Filopodia (combined error)"
"ABRAXAS1 (abraxas 1, BRCA1 A complex subunit)",0.00725111292308922,0.8687417576347218,-0.11581352084435326,0.002426465176972925,0.19666108464332668,0.09256515445729828
"ABRAXAS2 (abraxas 2, BRISC complex subunit)",0.04048722498859392,0.18247305836441563,-0.11511936648827004,0.05655471036832199,0.20835380489003316,0.11742146890913141
"ABT1 (activator of basal transcription 1)",0.5097727195953352,0.0001856230135754977,-0.01696822811531029,0.0865015380723016,0.20486158402010923,0.09840617714533621
"ABTB1 (ankyrin repeat and BTB domain containing 1)",6.240166425808269e-7,0.016120555677541892,-0.5349221959672111,0.08678685064699093,0.19179711785877496,0.09997823679628791
"ABTB2 (ankyrin repeat and BTB domain containing 2)",0.0002579453709141699,0.584832239450789,0.12374625597083788,-0.030631790686256433,0.1914356681566669,0.14471800534791737
"ACAA1 (acetyl-CoA acyltransferase 1)",0.00009597359524415872,0.8309512118985434,-0.47905210849082897,0.005859330257387385,0.20220172804957245,0.10453053053950731
"ACAA2 (acetyl-CoA acyltransferase 2)",0.00021037664773926323,0.7665493961695542,0.18806444675936007,0.007759244711727342,0.1929673507620414,0.10295929662234339
"ACAD10 (acyl-CoA dehydrogenase family member 10)",0.11035799708712757,0.006618655498464188,0.041140943950985887,0.08159345123180067,0.19486362005812546,0.09429646904849676
"ACAD11 (acyl-CoA dehydrogenase family member 11)",0.3124295845659115,0.11128322133124668,0.03359814459395116,0.024855342240776623,0.2138272362653541,0.09796413653794987
"ACAD9 (acyl-CoA dehydrogenase family member 9)",0.03853377584746509,0.03941049851946099,-0.06282393410847686,-0.05181097069606466,0.206498327417597,0.11068735356981406
"ACADS (acyl-CoA dehydrogenase short chain)",0.012844144334090535,0.06753181464598002,0.06459431307615238,-0.09983188373672758,0.19275133313410456,0.12519413762597117
"ACADVL (acyl-CoA dehydrogenase very long chain)",0.15406738870082126,0.859750895650832,-0.052664522458177654,-0.002366811865532059,0.20109737997905994,0.091699213746485
"ACAP3 (ArfGAP with coiled-coil, ankyrin repeat and PH domains 3)",0.004197050272703118,0.09203192544892569,0.10232160822357483,0.1591236656707708,0.19384448829201062,0.18342438457875138
"ACAT1 (acetyl-CoA acetyltransferase 1)",0.00267768833816584,0.24376154170941078,0.1363276057898244,0.02437037445757817,0.19542381145018697,0.09600049896927694
"ACAT2 (acetyl-CoA acetyltransferase 2)",0.0000028190167342678762,0.8393966937384514,0.23669238924628666,0.006979344665880238,0.19079445932613287,0.1132662460699329
"ACBD4 (acyl-CoA binding domain containing 4)",0.8599066114088347,0.1355110722502606,0.0057152002709897065,0.039093896473958833,0.21390202140189715,0.11532325358991861
"ACBD5 (acyl-CoA binding domain containing 5)",0.006335266007339468,0.6251195822736912,0.0905454978263065,0.01527071486632875,0.19373902397859513,0.10860340973890406
"ACBD6 (acyl-CoA binding domain containing 6)",0.8391524571249183,0.4236586188184903,-0.008483776746287308,0.03690863705507291,0.20875666186839995,0.12734419159924248
"ACBD7 (acyl-CoA binding domain containing 7)",0.0000020148676480591377,0.08036720217122806,-0.5379695566973319,0.04094108741026714,0.19280003666708256,0.09579266839259563
"ACCS (1-aminocyclopropane-1-carboxylate synthase homolog (inactive))",0.01917476574387522,0.3804745170064181,0.11920402083049952,-0.0278604252066465,0.20819716500829433,0.11250561206776143
"ACD (ACD shelterin complex subunit and telomerase recruitment factor)",0.000008324134438408848,0.4195692980065011,-0.5071593602516198,0.034988722563067565,0.19450395708737553,0.12328229641665354
"ACER1 (alkaline ceramidase 1)",0.00018809304757350098,0.6534016255812607,0.22922470214561685,-0.012841342848659731,0.1941168743685009,0.10551426092235267
"ACER2 (alkaline ceramidase 2)",0.00010976280381891357,0.6870388520482305,0.23162137334112942,0.014232004818927668,0.19328847500837898,0.11406288592158356
"ACER3 (alkaline ceramidase 3)",0.0014186189455223097,0.04847127153972286,0.176572020452624,-0.04416853098552814,0.19655410346219526,0.09419276380921518
"ACKR1 (atypical chemokine receptor 1 (Duffy blood group))",0.006826601751502848,0.15427497571163307,0.10496855146768469,-0.06236062999353659,0.19846532867730893,0.12615436303262245
"ACKR2 (atypical chemokine receptor 2)",0.002948393326683618,0.05562786953843868,0.10312050883619883,-0.0377457741430115,0.19323984119742393,0.09289856250816748
"ACKR4 (atypical chemokine receptor 4)",0.0018041369158483533,0.20682438979017714,-0.2501510242309202,-0.04473586030413634,0.2153989300624628,0.11548046868751055
"ACLY (ATP citrate lyase)",0.03620501910028051,0.6106210427073657,0.0990454465123024,-0.017451633943558864,0.20798762218307967,0.11756525327791457
"ACMSD (aminocarboxymuconate semialdehyde decarboxylase)",0.015111317074163466,0.16368516970786295,-0.09435851945273077,-0.054062527402374994,0.19669694285109451,0.11252727664877031
"ACO1 (aconitase 1)",0.0586378344706584,0.0278564406830486,0.0684699192518069,-0.07681525592980226,0.19843284553650384,0.1011192583532525
"ACOT1 (acyl-CoA thioesterase 1)",0.25168514475965464,0.6824300208261773,-0.1539040461400779,-0.009190524480845397,0.4401417223797446,0.11106606404755032
"ACOT11 (acyl-CoA thioesterase 11)",0.6938536887141948,0.6362821059162143,0.01329823840678579,-0.02002582544005832,0.2020945470289585,0.12369356390249787
"ACOT12 (acyl-CoA thioesterase 12)",0.21642535157718568,0.015000703298623908,-0.04221831982774993,-0.025737981442136182,0.20018608028992638,0.08853991573407853
"ACOT13 (acyl-CoA thioesterase 13)",0.07806899075971252,0.882110025390578,-0.1013739181588329,-0.0031659937937467686,0.21265605028136617,0.09811707076489654
"ACOT2 (acyl-CoA thioesterase 2)",0.0319909272126051,0.360437128759002,-0.096556783395495,-0.023621737206340143,0.20114182088928723,0.10120545783604398
"ACOT4 (acyl-CoA thioesterase 4)",0.3806968068842116,0.5942050787953701,0.05032149800809982,-0.013914416262535034,0.2562511054224605,0.11813743561622565
"ACOT6 (acyl-CoA thioesterase 6)",0.0038405823623697266,0.00007140785281212203,0.0899113704887069,0.11330241652657808,0.19280529473318653,0.08892766937311432
"ACOT7 (acyl-CoA thioesterase 7)",0.13388788493137982,0.9648282285799765,-0.027351307576305994,0.0018482977364094322,0.19236319997275,0.12401277295419616
"ACOT8 (acyl-CoA thioesterase 8)",0.11301074889622398,0.3517208015828781,-0.06296708589088784,-0.05108479910713459,0.20196068103938017,0.13924399153052883
"ACOT9 (acyl-CoA thioesterase 9)",0.0011985847684712336,0.07619325228411666,0.11374330114731834,-0.04256080297647996,0.19250427366213843,0.0960904751191817
"ACOX2 (acyl-CoA oxidase 2)",0.0038701020159717103,0.7625219755979058,-0.08507461379131143,0.009275329985175162,0.19250804943028121,0.10830507757557957
"ACOX3 (acyl-CoA oxidase 3, pristanoyl)",0.004710230764071843,0.9451203201310947,-0.05036033146559926,-0.0019561860802105313,0.19084725126537969,0.10575859868923257
"ACOXL-AS1 (ACOXL antisense RNA 1)",0.09928790477674254,0.5310460189726962,0.08082830859765722,0.012579682585059537,0.20759777117233555,0.09647578372181728
"ACP1 (acid phosphatase 1)",0.000005807486494591174,0.0005274070517693463,-0.4985610969648606,-0.035435582739134885,0.19375658554903583,0.08785773846311576
"ACP3 (acid phosphatase 3)",0.0011624494467126212,0.0035602782834480706,0.12866693042923216,-0.051814843668765265,0.20877187842750325,0.096898476652766
"ACP5 (acid phosphatase 5, tartrate resistant)",0.007038394796216707,0.6063724830877555,0.15770786088880084,-0.017868001223225682,0.2021099284243713,0.11287369496727008
"ACP6 (acid phosphatase 6, lysophosphatidic)",0.07823817809903688,0.7608819211025633,-0.2029242898262763,0.003889344310460896,0.374491666994158,0.09563064559980046
"ACP7 (acid phosphatase 7, tartrate resistant (putative))",0.11867886083335333,0.5872248892837912,-0.03246842975597364,-0.009705554116017368,0.1931009039555456,0.09474057773825377
"ACRV1 (acrosomal vesicle protein 1)",0.0003759567517240825,0.15623120222760356,0.11784032558793556,0.03940040066866918,0.1915452901655336,0.10089905003395501
"ACSBG1 (acyl-CoA synthetase bubblegum family member 1)",0.4638984714772014,0.3723439034603637,-0.036142550224290804,-0.03209692019060029,0.21422761565921458,0.11285373754465268
"ACSBG2 (acyl-CoA synthetase bubblegum family member 2)",0.0027907997518723526,0.11128067440322997,-0.16935958900045867,-0.060165446254894395,0.19852675704112624,0.10949550509966462
"ACSF2 (acyl-CoA synthetase family member 2)",0.5899284288455446,0.7913157703609137,0.03097363380517615,-0.008724637320160877,0.2580279979739496,0.13361126575431717
"ACSF3 (acyl-CoA synthetase family member 3)",0.593318777379749,0.9317313453281968,-0.01740715028889983,0.0027900077729310913,0.20104875818326332,0.11090811059661068
"ACSL5 (acyl-CoA synthetase long chain family member 5)",0.6447983602683067,0.6054624014161516,-0.03613968456851979,-0.01794197124511926,0.2495380499804749,0.11294237244846102
"ACSL6 (acyl-CoA synthetase long chain family member 6)",0.000014960031870181467,0.9684391009925015,-0.49434377000293467,0.0013010080882814856,0.1955406390526337,0.11133300235417813
"ACSM1 (acyl-CoA synthetase medium chain family member 1)",0.00004355540822742476,0.001342074836404361,0.221308445058628,0.11450318066707638,0.1920253620746862,0.09325109149421971
"ACSM5 (acyl-CoA synthetase medium chain family member 5)",0.9937274733192842,0.3039280433636262,0.00020037802294459173,-0.01577649543160331,0.21260708909173698,0.10429494186219289
"ACSS2 (acyl-CoA synthetase short chain family member 2)",0.10691699649933195,0.0025141568713871187,-0.09023821916783081,-0.10374973244888752,0.21313856127071235,0.09402348569507897
"ACSS3 (acyl-CoA synthetase short chain family member 3)",0.00226030284820955,0.5502336265076244,-0.0552298312724121,-0.018016423826859973,0.19069397597186716,0.1069752511114824
"ACTA1 (actin alpha 1, skeletal muscle)",0.00009501490890828634,0.27952315085797164,0.21232116150506009,0.07860346195673912,0.19261914892904983,0.16553773616225906
"ACTA2 (actin alpha 2, smooth muscle)",0.07193292583018951,0.2614646958882392,0.06741466888642988,-0.049453763181151356,0.19951842840825304,0.12160855669633279
"ACTB (actin beta)",0.00023558003547607953,0.8462666408269959,0.18485321772349128,-0.004495147478458528,0.19302299059334366,0.09990955049296114
"ACTBL2 (actin beta like 2)",0.7432386354345397,0.37421677160301137,-0.011868259123724023,0.014602985423249393,0.20401046702675568,0.0932195264168717
"ACTC1 (actin alpha cardiac muscle 1)",1.3564695677814598e-7,0.01245146803074526,0.1989063901954553,-0.08782064591790073,0.19524067128044115,0.12483388714721282
"ACTG1 (actin gamma 1)",0.002544502797076298,0.0018445283369150633,0.08395197662005915,-0.08034104706712758,0.21803924819744513,0.132249177109875
"ACTG1P17 (actin gamma 1 pseudogene 17)",0.9926285879180408,0.33319438293919634,-0.000267461084124343,0.02486244076396621,0.19901556933009718,0.10088734291067464
"ACTG2 (actin gamma 2, smooth muscle)",0.06172087158495421,0.012601324449993623,0.12014258887293705,0.07673151417263774,0.21647287603722262,0.09609112372902112
"ACTL6A (actin like 6A)",0.0015817639290933716,0.5288428363825504,0.12642232324790126,-0.012348895288541217,0.1935619376781557,0.09606243947808588
"ACTL6B (actin like 6B)",0.00004034569389621545,0.187880343707705,-0.5139421638695977,0.045206229931229025,0.19930785774881205,0.10810539454372013
"ACTL7B (actin like 7B)",0.0000033545569726456392,0.8285306808047657,-0.5011935165163963,0.00688867119901343,0.19303369704915654,0.10981678171092596
"ACTL8 (actin like 8)",0.0027879755282218532,0.0003570912478223498,-0.1729867748191869,-0.18636144301192825,0.19888570632520478,0.09514258058979745
"ACTN2 (actinin alpha 2)",0.3355009040029342,0.48142621319452417,0.0313201865138395,-0.019669111901639502,0.20004879416947036,0.10410988193018521
"ACTN4 (actinin alpha 4)",0.0007988002557384188,0.29824691062647135,0.13598408825406527,0.031440388370417904,0.19294214350638486,0.1052936295364312
"ACTR10 (actin related protein 10)",0.3921504723170317,0.08200730766421183,-0.044225508034122174,-0.06273853545063524,0.2157877071285985,0.10638614294031264
"ACTR1A (actin related protein 1A)",1.1684004874723541e-9,0.04531312905126206,0.22345040893732393,-0.06549389079069406,0.19275344566796943,0.12479203667795882
"ACTR1B (actin related protein 1B)",0.00042057862704480975,0.00032816137661462186,0.16703888948423185,-0.0767093202981477,0.23629128791953843,0.10767873002060836
"ACTR3 (actin related protein 3)",0.032652549705632694,0.1697888157774965,-0.07407064028997157,0.04635236250031599,0.19660169056275303,0.10708725972185695
"ACTR3B (actin related protein 3B)",0.045596003290855114,0.5238929528861267,-0.22074170835468737,-0.011855900357899074,0.35574045817915284,0.10395196690820122
"ACTR6 (actin related protein 6)",0.013979503830791273,0.2916839730128551,0.12895667739368089,-0.04081704793959057,0.20196575743080475,0.11523839910569583
"ACTR8 (actin related protein 8)",0.003307613412213639,0.39084514348909694,0.10481670916370345,0.02181535950553437,0.19355880200874157,0.10098011861245157
"ACTRT1 (actin related protein T1)",0.008706813882546571,0.8114389886001954,-0.09937377631627264,0.008499596719173053,0.19540937862489519,0.11481798505913322
"ACTRT2 (actin related protein T2)",0.00016723253077755018,0.21754107158829328,-0.16227820410219163,-0.054483282547991396,0.19201547498408292,0.12069866631873719
"ACTRT3 (actin related protein T3)",0.0008191040210565603,0.02984956547622386,0.1553926685378315,0.09432220338949465,0.19388086773704974,0.10823747680321755
"ACVR1 (activin A receptor type 1)",0.00012872470378622047,0.23681894460591035,0.13073259898335543,0.02954661259634167,0.20308955308967439,0.11693293711575405
"ACVR1B (activin A receptor type 1B)",0.4539018018686882,0.26250863278705827,0.045111650596808106,-0.02558191242289609,0.2628252653365738,0.11041668378595067
"ACVR1C (activin A receptor type 1C)",0.5200805725108806,0.5638692166818362,0.036851618740384784,0.014200136054289714,0.26355127449427834,0.11761383364627762
"ACVR2A (activin A receptor type 2A)",0.42436172651684156,0.001105227503951589,-0.0719042750646065,-0.09902882719019529,0.3877287192399375,0.12815606464159743
"ACVR2B (activin A receptor type 2B)",0.0000049398015395940575,0.01122827095509571,0.16956375559789205,0.05150459117563505,0.1982092411103825,0.10126398614174816
"ACVRL1 (activin A receptor like type 1)",0.000546098865234157,0.00048343204775314064,0.11189390540316357,0.09478064457153929,0.2015324222775723,0.10404808448912975
"ACY1 (aminoacylase 1)",0.000011943508797962465,0.8095931642268122,-0.49863764053370274,-0.009951455870776726,0.19510172055212072,0.1228618965869601
"ACY3 (aminoacylase 3)",0.2838191961318559,0.9444086690997755,-0.051836546966811836,-0.0021926331066542404,0.21144017951623534,0.10947463942365357
"ACYP1 (acylphosphatase 1)",0.0025433018826481746,0.47617976079979085,0.09700017235714875,-0.022593001715974892,0.19264346650131278,0.10844164237020637
"ACYP2 (acylphosphatase 2)",0.000041131935251348395,0.4460172496432633,-0.507926106570418,-0.019945157534565883,0.1991859973224351,0.10203613674036517
"ADA (adenosine deaminase)",0.025419260080731476,0.025724714281583738,-0.10551357512165827,-0.06946074205207309,0.20149661685962889,0.09823185256671631
"ADA2 (adenosine deaminase 2)",0.03511240201682431,0.13514091280805918,-0.0819540145738693,-0.05176940106474165,0.19851406996278173,0.10708746608828115
"ADAD1 (adenosine deaminase domain containing 1)",0.028556532730581674,0.652967424248257,-0.11042000253328654,-0.00705732233177736,0.20352762157208784,0.09315705494090237
"ADAD2 (adenosine deaminase domain containing 2)",0.000001844667017136814,0.009377922913174075,-0.523409701205618,-0.09649048584461789,0.19258454940456754,0.09881106613020746
"ADAL (adenosine deaminase like)",0.002396931112375489,0.4588559101237992,0.1835956446769631,0.02649638099215318,0.19923945355891792,0.11338688500156426
"ADAM17 (ADAM metallopeptidase domain 17)",0.7693282558287673,0.01715544032546945,-0.02195674730903774,-0.06529340246744625,0.2457219237417109,0.09499886318027449
"ADAM18 (ADAM metallopeptidase domain 18)",0.010409612024104176,0.25065205986912,-0.10856061284274798,0.027322941974407655,0.21743180234180937,0.11208743369952685
"ADAM2 (ADAM metallopeptidase domain 2)",0.024409846566184834,0.6732571779397665,-0.13160575816843323,-0.010039850813019002,0.25117001379241444,0.11611815357962443
"ADAM20 (ADAM metallopeptidase domain 20)",0.007766170171359388,0.012187573570805244,-0.10866933315161564,0.11299932723850398,0.1960847211285427,0.1049955893309
"ADAM21 (ADAM metallopeptidase domain 21)",0.21440484802686433,0.46325638964461247,-0.03205237523779414,-0.018134962801904797,0.19568620470460377,0.1006284860520917
"ADAM22 (ADAM metallopeptidase domain 22)",0.000025092255336867098,0.01920068870028291,0.2614910591563153,-0.08344055146520574,0.19218334250865748,0.10029758598493167
"ADAM30 (ADAM metallopeptidase domain 30)",0.0059932793425405695,0.013523274110351924,-0.10730757165908777,0.08062663444184343,0.1951392260598903,0.09732900308669724
"ADAM32 (ADAM metallopeptidase domain 32)",0.01283557511063771,0.02143715451034156,-0.043869643037351636,0.06330646330837958,0.19479013426332156,0.11319521179415301
"ADAM33 (ADAM metallopeptidase domain 33)",0.06828685639262488,0.01751675817530063,0.08473592337274849,0.0571285155524664,0.22943729524736498,0.1072288927822193
"ADAM7 (ADAM metallopeptidase domain 7)",0.32779801803993514,0.13039461618336823,-0.05451791425265695,0.05012541087424377,0.2188630349636423,0.10541120644703406
"ADAMTS1 (ADAM metallopeptidase with thrombospondin type 1 motif 1)",0.0065220252574023085,0.06114679519410049,0.1387180312787828,0.09323641222275608,0.1990164589150995,0.11894716865134927
"ADAMTS12 (ADAM metallopeptidase with thrombospondin type 1 motif 12)",0.04237032661450546,0.05035114836056698,0.06644657774173002,-0.04081312571906398,0.21183743693708382,0.1063996986464638
"ADAMTS15 (ADAM metallopeptidase with thrombospondin type 1 motif 15)",0.014639296821606695,0.06816071878544294,-0.10064951777285658,-0.07803254379594848,0.19749152675932646,0.1121577289899807
"ADAMTS18 (ADAM metallopeptidase with thrombospondin type 1 motif 18)",0.40161580731277935,0.3350907701673851,-0.04076979520579138,-0.027097902309354327,0.21301112553221396,0.10337115756568348
"ADAMTS4 (ADAM metallopeptidase with thrombospondin type 1 motif 4)",0.018668444014005248,0.11660436811562702,0.08796800764771728,-0.04732111783466608,0.1998415887318934,0.10661453710365755
