"treatment_name","Yes (p-value)","Filopodia (p-value)","Count_Nuclei (p-value)","Yes (mean diff)","Filopodia (mean diff)","Count_Nuclei (mean diff)","Yes (combined error)","Filopodia (combined error)","Count_Nuclei (combined error)"
"AANAT (aralkylamine N-acetyltransferase)",0.46007478957836634,0.023240193859784153,0.09328738084709132,0.01411384161181059,-0.1293580460168583,27.350087361677353,0.06427523563457453,0.11908352034358537,110.2257461466949
"AAR2 (AAR2 splicing factor)",0.0018404206165525405,0.05049087051461032,0.3836911075842575,-0.032662149279492125,0.08093321679378135,183.35008736167737,0.05243248900043688,0.10914213502901716,432.77270606358206
"AASDH (aminoadipate-semialdehyde dehydrogenase)",0.701020665246985,2.782498453868243e-7,0.08979406282661695,0.0025372940610181582,-0.13723199099610617,9.650087361677336,0.0551572452416589,0.09345190409172466,107.74508806662378
"AASDHPPT (aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase)",0.04703728553303543,0.019710187492315567,0.025894520588459757,0.03598110733252066,0.0357662182251508,-32.249912638322655,0.07130828239414853,0.09602443467880517,113.25965056863349
"AATF (apoptosis antagonizing transcription factor)",0.08345217674438232,0.014767716113021967,0.00017053623523843875,-0.013553513729609806,0.07862619247669372,-59.04991263832265,0.05305392488216579,0.09734422565120654,107.33738916889877
"ABAT (4-aminobutyrate aminotransferase)",0.6631577418454473,0.6242334178376456,0.06648391988732771,0.0071933937123827285,-0.006803440957262319,-15.268094456504471,0.07387876977325898,0.0979784068900043,109.33974003060032
"ABCA11P (ATP binding cassette subfamily A member 11, pseudogene)",0.00035669172487007295,0.5752860825559973,0.8940689702621523,0.09372676849898723,0.0025868869669607997,-1.4499126383226582,0.054807487762853206,0.08780833994211126,108.99548207882576
"ABCA3 (ATP binding cassette subfamily A member 3)",0.00022748501233671448,0.8318909700672417,0.3349693501871842,-0.04857831811401642,0.004667606960817305,-11.249912638322655,0.05224601747002618,0.09870266034083723,109.03997025676239
"ABCA8 (ATP binding cassette subfamily A member 8)",0.0005788382637437195,0.034682457717090553,0.4284244915317672,-0.060396929857777115,-0.0412899261283215,4.7500873616773305,0.05328556855103654,0.09218649307587813,107.26469649234843
"ABCA9 (ATP binding cassette subfamily A member 9)",0.0002611609356666378,0.04686061580731771,0.00017043523215098944,-0.033361032530593054,-0.03895322409734031,14.550087361677342,0.05187328172624191,0.0926006901819964,106.73104100305414
"ABCB5 (ATP binding cassette subfamily B member 5)",0.015058571283248057,0.009488740233728032,0.9880471676357141,-0.04276611765104141,-0.06438294783355053,-0.04991263832265247,0.05650845155096676,0.09271118557920577,106.79801081291554
"ABCB6 (ATP binding cassette subfamily B member 6 (Langereis blood group))",0.20522007481208182,0.20041160211994757,0.941630768276426,0.015188555067114251,-0.044597467774053656,0.7500873616773447,0.056066041156863936,0.10892811109417137,108.72311214086739
"ABCB8 (ATP binding cassette subfamily B member 8)",0.0025347942181659366,0.27045400826295896,0.010352143247742251,-0.028591185260116697,-0.010490988622361253,7.150087361677336,0.055856535282877436,0.09170363280208225,106.799155230929
"ABCB9 (ATP binding cassette subfamily B member 9)",0.18793153328077894,0.00781665825988398,0.001713649288629826,0.03421439354581016,-0.14702119904282035,28.75008736167733,0.07046742446613542,0.10989829694658522,107.12709794256365
"ABCC11 (ATP binding cassette subfamily C member 11)",0.025728672195780344,0.40392016729806723,0.3436130959285344,0.09801028616274074,-0.02426119498938234,231.55008736167736,0.08152641611720474,0.10491491916970629,494.0824982870731
"ABCD3 (ATP binding cassette subfamily D member 3)",0.03378777398454025,0.0033437715936666113,0.0031031005600392625,-0.018868815141554113,0.11180113150582888,-25.64991263832266,0.053096957097722414,0.09621183602153743,107.13876569008823
"ABCE1 (ATP binding cassette subfamily E member 1)",0.0030187026096206715,0.029732523530897392,0.00676804847272483,-0.05762981877050283,-0.06076465839160783,7.9500873616773475,0.05524334521764621,0.09657008569513967,106.7066779240907
"ABCF2 (ATP binding cassette subfamily F member 2)",0.0005910817160890147,0.07307760950778142,0.35582528279822245,0.10841479631966475,0.03735328516415898,229.75008736167734,0.057079719684478836,0.09394952185090892,503.94812740360055
"ABCF3 (ATP binding cassette subfamily F member 3)",0.5507426716059203,0.036016960131717735,0.2927993177841204,-0.005917917463085204,-0.06557137127237028,102.05008736167734,0.059535546931229553,0.12129258609482797,307.8420655722961
"ABCG8 (ATP binding cassette subfamily G member 8)",0.002445403215104225,0.7646577964188657,0.6717845223461112,-0.03552530293383996,0.006011539099510577,-3.2499126383226553,0.05278268285786244,0.0968458489899911,107.75766846770408
"ABHD10 (abhydrolase domain containing 10)",0.09614383233166457,0.0009088580735463481,0.15588577937044734,0.02875211944516154,-0.05648531719562594,8.550087361677342,0.05933242635997464,0.08869867865372284,107.17516089838925
"ABHD11 (abhydrolase domain containing 11)",0.4639258304503002,0.3060354508621237,0.9006100996038615,-0.015039353965537933,-0.045624027390257005,1.9500873616773475,0.0660710753893918,0.1232591045887388,111.50029198883573
"ABHD12 (abhydrolase domain containing 12)",0.013263460231252244,0.09470099506420526,0.055719942809389966,-0.045577672730657215,-0.03346610528813626,-10.649912638322661,0.0567700443966253,0.09384843286737857,107.01735893580829
"ABHD12B (abhydrolase domain containing 12B)",0.21585137806236743,0.49928110405523674,0.11262138880870198,-0.008875609050835315,0.022698220084504395,-17.049912638322652,0.055484441560350116,0.13418861544378555,110.86655443087155
"ABHD13 (abhydrolase domain containing 13)",0.0883356901216874,0.4500191065183583,0.11423288102202456,-0.021121381714696075,0.01887728994172827,5.7500873616773305,0.055530048414471324,0.100839927386889,106.80222429142394
"ABHD14A (abhydrolase domain containing 14A)",0.000002661400502645961,0.39009739466112814,0.16757248032022698,-0.0387251797659765,0.022424684029553388,-17.449912638322658,0.05156059016942623,0.10165322649331866,109.10781417293458
"ABHD14B (abhydrolase domain containing 14B)",0.021430094861381033,0.20521331540533505,0.20458783100164712,0.047150250230006935,-0.04169398550286013,-8.849912638322664,0.058906702643148255,0.10691137827472225,107.4049119621427
"ABHD15 (abhydrolase domain containing 15)",0.00018368341283525602,0.012478119218530814,0.2506272404124823,-0.043091460241620735,-0.05869869381009951,6.7500873616773305,0.05203364871522129,0.09256842991695713,107.19008869105215
"ABHD16A (abhydrolase domain containing 16A)",0.0011947944187835624,0.21567711197706774,0.09603643697450903,0.1310418150993153,-0.025914204560845144,14.550087361677342,0.06264093975502603,0.09581265322618862,107.68711674845615
"ABHD17A (abhydrolase domain containing 17A)",0.01933536675587355,0.08651462003531663,0.06494799472291213,0.06770026562306553,-0.03734433781991203,8.650087361677336,0.0911709594260285,0.10669633976125738,107.34008054484309
"ABHD17B (abhydrolase domain containing 17B)",0.0002588434423378416,0.3952595675513997,0.3002631936992999,-0.058129597490204965,-0.015622467384653338,-5.449912638322658,0.05262523014640544,0.09470959232418609,107.0841496842349
"ABHD18 (abhydrolase domain containing 18)",0.00017359170731201523,0.6552755222560527,0.1706296112367358,-0.0441449554282439,-0.016060584927717836,-13.449912638322658,0.056281901518536806,0.14039503638527795,110.2895865046805
"ABHD4 (abhydrolase domain containing 4)",0.9312682374519672,0.7880107607974653,0.006173400956318131,-0.002307482234422148,0.008511880990576925,-35.44991263832266,0.09695960717728436,0.1305695744485852,111.21157814542345
"ABHD5 (abhydrolase domain containing 5)",0.04413545541094588,0.5017100626103668,0.8289715365211219,-0.027346364551977642,-0.02341215795101026,1.1500873616773362,0.05555688358071037,0.1125120447476963,107.15323193257227
"ABHD8 (abhydrolase domain containing 8)",0.00006462994789124821,0.011061620386172866,0.008542971649838638,-0.07580304245269646,0.04671477985126077,-10.649912638322661,0.05248879098834255,0.09050248512930392,106.78817871653972
"ABI1 (abl interactor 1)",0.006669859557199009,0.00015045889713749538,0.6430438964420966,-0.023382451699989898,-0.06965522474500424,2.7500873616773305,0.052429337323847254,0.0882988304788012,107.28101003251054
"ABI2 (abl interactor 2)",0.26842443873938926,0.7913233529197821,0.06185751110478788,0.026039512635629897,0.006597137322502833,-12.649912638322661,0.0685121175852436,0.10168355306875633,107.21340920610456
"ABI3 (ABI family member 3)",0.02871728750872915,0.2578636846882665,0.4102585749783403,0.0563449767195319,-0.04565038493364054,-5.249912638322655,0.06373535866938584,0.11670757034347191,107.34856828852273
"ABI3BP (ABI family member 3 binding protein)",0.0033785496928522285,0.3384923874992385,0.6964109006416692,-0.024046788900832727,-0.02106849630141938,-2.449912638322658,0.05217677289337173,0.09748785811846968,107.37092303596735
"ABITRAM (actin binding transcription modulator)",0.012712813048575855,0.007150464116196575,0.0000035894485268528342,-0.036475100404168126,-0.029988043063204295,15.350087361677353,0.05482724312925944,0.08843861937901179,106.69215113397811
"ABL1 (ABL proto-oncogene 1, non-receptor tyrosine kinase)",0.000003413130182039481,0.0023948411637240152,0.02569459690592968,0.33296878108438943,0.07778896119984174,-13.849912638322664,0.05560228301806036,0.09113444951153526,107.0481906133664
"ABL2 (ABL proto-oncogene 2, non-receptor tyrosine kinase)",0.18322402099220203,0.4202423804779858,0.000005120723079787837,-0.017668996035160117,0.013004082738183043,-20.64991263832266,0.056945128670738816,0.09312106029942019,106.7296355919743
"ABLIM1 (actin binding LIM protein 1)",0.005503080287538431,0.9048936903446054,0.01573901638086528,0.12461514004866828,-0.002366872044992585,-24.249912638322655,0.07253279417241275,0.09669351715584266,107.55796164671226
"ABLIM2 (actin binding LIM protein family member 2)",0.0022740791057038745,0.001448888279319105,0.00047877072691471234,-0.05726922323405363,0.12442068061361639,-15.649912638322661,0.05469513041741956,0.09450864808468909,106.76944840915695
"ABLIM3 (actin binding LIM protein family member 3)",0.4106186291210865,0.025170416940583307,0.007968534797682114,0.01063928639789874,-0.06516423176376018,13.883420695010685,0.05898915972277149,0.1009493256595257,106.9779499722363
"ABO (ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase)",0.08124872718809395,0.03861325463857268,0.17031900465716698,0.02808828746624975,-0.04207118590804532,6.050087361677342,0.06030370046292087,0.09486774281202368,106.98932242796768
"ABRACL (ABRA C-terminal like)",0.00555639512864059,0.7089448558301061,0.1700723239409021,0.04939236314590348,0.011178447767625721,-5.449912638322658,0.055320105181399425,0.10726649627418305,106.85277307396203
"ABRAXAS1",0.010006556885103324,0.32743169719664866,0.08771449964639566,0.08833953971694283,-0.023991371789020777,11.150087361677336,0.06698828668849142,0.09969364360508462,107.20921188776468
"ABRAXAS1 (abraxas 1, BRCA1 A complex subunit)",0.5992108228105679,0.8687417576347114,0.09674920634737916,0.008952045906395506,0.002426465176973147,-21.449912638322658,0.0622126051844205,0.09256515445729828,108.92435500656235
"ABRAXAS2 (abraxas 2, BRISC complex subunit)",0.07885697234422429,0.1824730583644143,2.2538959010276471e-7,0.04188777384926448,0.056554710368322214,-82.44991263832266,0.06507270974847584,0.11742146890913142,106.89955618989083
"ABT1 (activator of basal transcription 1)",0.16626684112165302,0.0001856230135754977,0.00014213140204266672,-0.011160295158384598,0.08650153807230171,-42.44991263832266,0.056421246212567215,0.09840617714533623,108.90267623604758
"ABTB1 (ankyrin repeat and BTB domain containing 1)",0.00015495081733019056,0.01612055567754167,0.7914910278487257,0.16766526486891128,0.08678685064699115,-1.2499126383226553,0.05819065973605661,0.09997823679628792,107.02903864650764
"ABTB2 (ankyrin repeat and BTB domain containing 2)",0.6878636123013235,0.5848322394507914,0.11098389530492025,0.005643869323792239,-0.03063179068625621,-33.849912638322664,0.05906958880976827,0.1447180053479174,112.90843685746263
"ACAA1 (acetyl-CoA acyltransferase 1)",0.008251725232581997,0.8309512118985376,0.008069985463454277,0.06880209702632586,0.005859330257387607,12.350087361677353,0.0603879666205322,0.10453053053950731,106.83499011838596
"ACAA2 (acetyl-CoA acyltransferase 2)",0.004925401677152497,0.7665493961695482,0.19345213811147421,-0.04529362240982272,0.007759244711727564,9.550087361677342,0.05452100866000059,0.1029592966223434,107.48262703151438
"ACAD10 (acyl-CoA dehydrogenase family member 10)",0.007434244465448492,0.006618655498464188,0.6792269153586521,0.019664117962709088,0.0815934512318009,51.95008736167735,0.05218134942691453,0.09429646904849676,281.86843582351617
"ACAD11 (acyl-CoA dehydrogenase family member 11)",0.015296736754155882,0.11128322133124402,0.018881709155734727,-0.018553165398417226,0.024855342240776845,-7.149912638322661,0.05499554655147927,0.09796413653794989,106.85620453173956
"ACAD9 (acyl-CoA dehydrogenase family member 9)",0.10470472329502556,0.039410498519461656,0.8519898101014576,0.026092781632766238,-0.05181097069606444,-1.149912638322661,0.06875216857368263,0.11068735356981407,108.16255052381969
"ACADS (acyl-CoA dehydrogenase short chain)",0.09004087527883065,0.06753181464598046,0.5443272957024632,0.05027606574762705,-0.09983188373672736,9.950087361677348,0.07205207664034854,0.12519413762597117,111.75784139645694
"ACADVL (acyl-CoA dehydrogenase very long chain)",0.0002542146090860342,0.8597508956508437,0.746958584164072,-0.05105842917652409,-0.002366811865531837,-1.2499126383226553,0.05236623510148833,0.09169921374648501,106.8771028499352
"ACAP3 (ArfGAP with coiled-coil, ankyrin repeat and PH domains 3)",0.25521183848059437,0.09203192544892547,0.021468574007771357,0.016686738493729675,0.15912366567077102,-63.84991263832266,0.05855571514321675,0.18342438457875138,113.60156298922838
"ACAT1 (acetyl-CoA acetyltransferase 1)",0.011271159222791427,0.2437615417094081,0.3817466150412403,-0.02646719869904629,0.02437037445757828,188.35008736167737,0.05312594256964274,0.09600049896927694,441.97705270024557
"ACAT2 (acetyl-CoA acetyltransferase 2)",0.00010143699496145686,0.8393966937384452,0.010289914319502547,-0.0653619083112791,0.00697934466588046,-19.249912638322655,0.05241457242796731,0.11326624606993291,107.12943159372978
"ACBD4 (acyl-CoA binding domain containing 4)",0.5182857200531432,0.13551107225026104,0.015002779892402618,-0.0047391208246402305,0.039093896473958945,-25.14991263832266,0.055945105479638234,0.11532325358991863,109.85962559474635
"ACBD5 (acyl-CoA binding domain containing 5)",0.01199604188245118,0.6251195822736857,0.3760021766130164,-0.03344348672935707,0.015270714866328972,206.55008736167736,0.054207848905727496,0.10860340973890406,476.2084786242215
"ACBD6 (acyl-CoA binding domain containing 6)",0.0017553282977122997,0.42365861881848765,0.8027375737418962,-0.058015327471762315,0.036908637055073135,-1.8499126383226638,0.05437089648990076,0.12734419159924248,107.69315258453355
"ACBD7 (acyl-CoA binding domain containing 7)",0.00025389762404870453,0.08036720217122695,0.9692269939381588,0.09456261734573343,0.04094108741026736,0.15008736167733616,0.054355934920981994,0.09579266839259566,106.88224882362658
"ACCS (1-aminocyclopropane-1-carboxylate synthase homolog (inactive))",0.08254902129084618,0.38047451700642165,0.6409711714501922,-0.01429869738615927,-0.027860425206646278,-4.449912638322658,0.05385730476933747,0.11250561206776144,108.8026429531729
"ACD (ACD shelterin complex subunit and telomerase recruitment factor)",0.0011785202359779756,0.4195692980064978,0.3979315056458912,0.09589838347287324,0.03498872256306779,148.75008736167734,0.057693368608468354,0.12328229641665354,367.5734145903313
"ACER1 (alkaline ceramidase 1)",0.004060330966158654,0.6534016255812665,0.9833136608327182,-0.04775721492152922,-0.01284134284865951,0.15008736167733616,0.05452585655383213,0.10551426092235268,107.63277899225507
"ACER2 (alkaline ceramidase 2)",0.0007554466766663825,0.6870388520482256,0.01118182652197941,-0.059003314129414175,0.01423200481892789,-14.649912638322661,0.05344433834571434,0.11406288592158358,106.94725388524769
"ACER3 (alkaline ceramidase 3)",0.039478864199938624,0.048471271539723526,0.14360632151015684,-0.014625719220575512,-0.044168530985527865,5.350087361677353,0.05253380347694972,0.0941927638092152,106.8092463862358
"ACKR1 (atypical chemokine receptor 1 (Duffy blood group))",0.17189981920887698,0.15427497571163418,0.02588007587636909,0.01997400150249276,-0.06236062999353631,15.050087361677342,0.05983609904102701,0.12615436303262248,107.30477675106371
"ACKR2 (atypical chemokine receptor 2)",0.2952616177657901,0.05562786953843957,0.00860454768182728,-0.011593748611947452,-0.03774577414301128,17.75008736167733,0.05569635754578513,0.0928985625081675,107.03137443570286
"ACKR4 (atypical chemokine receptor 4)",0.08761619141315369,0.20682438979017936,0.7982289407135155,-0.01590977638119856,-0.04473586030413612,2.050087361677342,0.054564561847409196,0.11548046868751057,108.17169275552466
"ACLY (ATP citrate lyase)",0.09125565975537286,0.610621042707368,0.9492893229654895,-0.024656540429296214,-0.017451633943558642,-0.28324597165598675,0.05896226122819451,0.11756525327791459,107.05784315155192
"ACMSD (aminocarboxymuconate semialdehyde decarboxylase)",0.008857337348101568,0.16368516970786384,0.5518948125965832,0.025769580307570455,-0.05406252740237483,4.550087361677342,0.052838819707600064,0.11252727664877032,107.72657570718391
"ACO1 (aconitase 1)",0.04917471792682715,0.027856440683048822,0.00036593479598767686,0.04708973522285412,-0.07681525592980198,-50.849912638322664,0.06374311029466156,0.10111925835325251,107.35136288653081
"ACOT1 (acyl-CoA thioesterase 1)",0.22657754920563722,0.68243002082618,0.08622931729050909,0.05359870858360363,-0.009190524480845286,-8.249912638322655,0.14030834489553667,0.11106606404755032,107.39839437159024
"ACOT11 (acyl-CoA thioesterase 11)",0.08185475968627554,0.6362821059162183,0.7418313312187195,-0.023401284583171866,-0.020025825440058098,-1.0499126383226525,0.05614825533240971,0.12369356390249789,106.77694092637991
"ACOT12 (acyl-CoA thioesterase 12)",0.001810895976206206,0.015000703298624352,0.0825899507917387,-0.04890721789359739,-0.02573798144213596,-6.649912638322661,0.05358382698733206,0.08853991573407854,106.81626801941559
"ACOT13 (acyl-CoA thioesterase 13)",0.1085591549694016,0.8821100253905865,0.20200752032498137,-0.022864147618431224,-0.0031659937937465465,-8.449912638322658,0.05706329443400667,0.09811707076489656,107.32434539094858
"ACOT2 (acyl-CoA thioesterase 2)",0.3075835535829503,0.36043712875900424,0.2055749291133515,-0.006222705007497914,-0.02362173720633992,6.9500873616773475,0.05272145891366501,0.101205457836044,107.0995570186713
"ACOT4 (acyl-CoA thioesterase 4)",0.10693267749945479,0.5942050787953752,0.0006804044590160707,-0.007110494535485734,-0.013914416262534812,-38.94991263832266,0.052845235825224,0.11813743561622567,109.47178024107939
"ACOT6 (acyl-CoA thioesterase 6)",0.10423624281414146,0.00007140785281212203,0.40919706549229495,-0.023571829648797032,0.11330241652657841,172.15008736167738,0.057208377947875845,0.08892766937311433,431.3604236756029
"ACOT7 (acyl-CoA thioesterase 7)",0.35652001179701753,0.9648282285799765,0.1738524244202111,-0.012460085895053458,0.0018482977364096542,-16.049912638322652,0.05790824648663117,0.12401277295419617,108.80631927234569
"ACOT8 (acyl-CoA thioesterase 8)",0.16283336105727497,0.3517208015828803,0.684119701117659,0.03784140834634611,-0.05108479910713437,-2.649912638322661,0.07136807760496211,0.13924399153052883,107.43004753603913
"ACOT9 (acyl-CoA thioesterase 9)",0.30227590581079955,0.07619325228411777,0.004534202443305713,-0.015069429733955642,-0.04256080297647974,11.75008736167733,0.058727560176093936,0.09609047511918171,106.78349644769844
"ACOX2 (acyl-CoA oxidase 2)",0.028352384686539223,0.7625219755979014,0.41020376271036985,0.027288405355895107,0.009275329985175385,-4.449912638322658,0.0545260666262658,0.1083050775755796,107.13316532986238
"ACOX3 (acyl-CoA oxidase 3, pristanoyl)",0.2170649074452311,0.9451203201310996,0.36497596320437076,-0.01344294490498149,-0.0019561860802103093,-6.849912638322664,0.05531700035978551,0.10575859868923258,107.6397469041786
"ACOXL-AS1 (ACOXL antisense RNA 1)",0.625145814833761,0.5310460189726856,0.00007543895479389384,0.00791367207920271,0.01257968258505987,-39.249912638322655,0.06130281176915375,0.0964757837218173,106.96127857124571
"ACP1 (acid phosphatase 1)",0.003928693577820219,0.0005274070517693463,0.35474639544516195,0.08168946619396594,-0.03543558273913466,241.35008736167737,0.05984666285797077,0.08785773846311577,527.0063710370072
"ACP3 (acid phosphatase 3)",0.6595159921133258,0.0035602782834480706,0.08507471853702331,-0.004757766467690716,-0.051814843668765154,9.450087361677348,0.06102114571997727,0.09689847665276602,107.65739692931288
"ACP5 (acid phosphatase 5, tartrate resistant)",0.01192353896867937,0.6063724830877617,0.3502623168272119,-0.03354999364619385,-0.01786800122322535,6.9500873616773475,0.05421562934981725,0.1128736949672701,107.60025610376411
"ACP6 (acid phosphatase 6, lysophosphatidic)",0.009370452665680151,0.7608819211025424,0.059881889331266924,0.06788218488974554,0.003889344310461229,-28.14991263832266,0.08303853184025914,0.09563064559980047,114.31158006001775
"ACP7 (acid phosphatase 7, tartrate resistant (putative))",0.002378355751268657,0.5872248892837995,0.033772797742971594,-0.05737459041961507,-0.009705554116017145,-8.449912638322658,0.05478135580343926,0.09474057773825378,106.81065074979941
"ACRV1 (acrosomal vesicle protein 1)",0.05213606849213104,0.15623120222760178,0.7501812959956355,-0.029465593099867987,0.0394004006686694,-2.0499126383226525,0.05675824107024374,0.10089905003395501,107.41654953309394
"ACSBG1 (acyl-CoA synthetase bubblegum family member 1)",0.13832626792699254,0.37234390346036483,0.5803367886698267,-0.022514484024532183,-0.032096920190600065,-1.8499126383226638,0.05815041018743835,0.1128537375446527,106.79566991969115
"ACSBG2 (acyl-CoA synthetase bubblegum family member 2)",0.09640262611317052,0.11128067440323086,0.7369149326304552,0.029590365982441663,-0.06016544625489417,2.9500873616773475,0.05978694868166165,0.10949550509966463,108.13563295045545
"ACSF2 (acyl-CoA synthetase family member 2)",0.31638881917417905,0.7913157703609208,0.5224701946802148,0.02180022746076221,-0.008724637320160544,-8.149912638322661,0.08280285665137818,0.1336112657543172,113.32364469486922
"ACSF3 (acyl-CoA synthetase family member 3)",0.0038783274919484967,0.931731345328193,0.20195715284579063,-0.04583655187681891,0.0027900077729313133,-6.849912638322664,0.0542234790904398,0.1109081105966107,107.07621170734247
"ACSL5 (acyl-CoA synthetase long chain family member 5)",0.8962185819244528,0.605462401416156,0.018290419918908007,-0.0027182758746723545,-0.017941971245119037,-39.64991263832266,0.06745793853537956,0.11294237244846103,109.17515795086182
"ACSL6 (acyl-CoA synthetase long chain family member 6)",0.0011151551189856335,0.9684391009924935,0.1287134906383196,0.08998334680367384,0.0013010080882817077,9.350087361677353,0.05684069873679253,0.11133300235417815,107.1807590642818
"ACSM1 (acyl-CoA synthetase medium chain family member 1)",0.02577136319869089,0.001342074836404361,0.0035966961887472504,-0.04009379703499674,0.1145031806670766,-50.44991263832266,0.05756636719223243,0.09325109149421974,108.37672773061395
"ACSM5 (acyl-CoA synthetase medium chain family member 5)",0.8635846854147815,0.3039280433636342,0.10804967006261434,0.002603202083772932,-0.015776495431603033,-6.516579304989321,0.0771223585317117,0.1042949418621929,107.4620015645637
"ACSS2 (acyl-CoA synthetase short chain family member 2)",0.6960497832583106,0.0025141568713871187,0.05646301619521621,-0.003423921491886528,-0.10374973244888736,14.950087361677348,0.05448771148731313,0.09402348569507898,107.39327313009704
"ACSS3 (acyl-CoA synthetase short chain family member 3)",0.9552559993290428,0.5502336265076289,0.14423623527962182,-0.0007975904994662608,-0.01801642382685975,-13.849912638322664,0.059404043206231,0.10697525111148241,107.98293899313737
"ACTA1 (actin alpha 1, skeletal muscle)",0.00011787546493424728,0.2795231508579694,0.10612298514893515,-0.06236720451112966,0.07860346195673934,-19.64991263832266,0.05239513271422488,0.16553773616225906,108.70931475083276
"ACTA2 (actin alpha 2, smooth muscle)",0.5800837334530153,0.2614646958882405,0.3604406934717299,-0.010576060827517358,-0.04945376318115119,235.15008736167738,0.06468297333757035,0.1216085566963328,520.6066798587929
"ACTB (actin beta)",0.11742711564146013,0.8462666408270039,0.05320819542691879,-0.017998098375636845,-0.004495147478458306,-17.049912638322652,0.05521311532662917,0.09990955049296116,107.57934334060431
"ACTBL2 (actin beta like 2)",0.0065674083668392225,0.37421677160300426,0.17766938906681418,-0.04863534318760515,0.014602985423249615,-4.249912638322655,0.05555543074581408,0.09321952641687171,106.75539852202148
"ACTC1 (actin alpha cardiac muscle 1)",0.16669060330444196,0.012451468030745483,0.05875358304558742,-0.013660072132605144,-0.08782064591790045,10.350087361677353,0.058810464269676316,0.12483388714721283,107.6226618134761
"ACTG1 (actin gamma 1)",0.26321126261771455,0.0018445283369150633,0.11468651182937228,0.012553481237876085,-0.08034104706712736,7.7500873616773305,0.07068753294558505,0.132249177109875,108.41962513122624
"ACTG1P17 (actin gamma 1 pseudogene 17)",0.292424599892952,0.3331943829391921,0.00009464372680945132,-0.01460787078839898,0.02486244076396643,-23.449912638322658,0.058007935059581295,0.10088734291067465,106.81065074979941
"ACTG2 (actin gamma 2, smooth muscle)",0.1734106641739106,0.0126013244499934,0.032732536373107024,-0.0167511827682236,0.07673151417263796,-52.249912638322655,0.056137696142217315,0.09609112372902114,112.74845947327007
"ACTL6A (actin like 6A)",0.2174258997284968,0.5288428363825546,0.7607010522801851,-0.017063734187455798,-0.012348895288540995,-2.0499126383226525,0.057610761044153684,0.09606243947808588,107.49565160319568
"ACTL6B (actin like 6B)",0.01281614031198286,0.18788034370770368,0.27014437445327877,0.09209685723569791,0.04520622993122919,-7.249912638322655,0.07040631537983139,0.10810539454372015,107.34856828852273
"ACTL7B (actin like 7B)",0.023070678498534836,0.8285306808047599,0.09801260847857618,0.087531647868522,0.006888671199013652,13.350087361677353,0.07499902195361535,0.10981678171092597,107.53471585304732
